arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,reentry
split_every,분리·매탭·재진입 켬,False,every_tap,full,True,48,12,49431,0.40426048431146444,-0.09810767893188604,0.07690242690732474,0.10539281353984914,0.026525960267094594,0.010883662899711209,0.03126939259741602,3.805982697688772e-06,0.0009344705524412561,0.17501010583920915,5.684341886080802e-14,0.008608235529573184,0.026801826773497583,-0.007828473084885984,15794,0.31951609313993246,6216,0,-29.418246687520018,20.65579126431821,-1.4242130117928955,24,247.06611451684418,247.06611451684418,44657,0,3042,True
split_every,분리·매탭·재진입 켬,False,every_tap,oos_warm,True,48,12,14825,0.4008094435075885,-0.11941478623732331,0.07654604116592223,0.11864930985984014,0.02986463450477969,0.012255004564201488,0.035189728284928175,1.2690288750722003e-05,-1.0540099254702407e-05,0.1959608274032462,5.684341886080802e-14,0.007237420176222316,0.021228217146692055,-0.008800000000000405,4824,0.32539629005059023,1591,0,-11.06157160318877,9.956212511599691,-1.1110220468176284,16,42.65054766675442,42.65054766675442,12185,0,681,True
split_every_no_reentry,분리·매탭·재진입 끔,False,every_tap,full,False,48,12,43669,0.4082529941148183,-0.08580431629790677,0.08565159262111287,0.10311524762601865,0.02603448319301211,0.010813976181679657,0.030429720389403173,4.308171259462174e-06,0.0010581733576476326,0.17145590891902013,5.684341886080802e-14,0.00880309266495049,0.02715228180327481,-0.006255836703757885,16041,0.3673315166365156,0,0,-22.492292109766275,13.92344792733708,-1.6154254482903807,24,55.14132308350941,55.14132308350941,37869,0,2745,False
split_every_no_reentry,분리·매탭·재진입 끔,False,every_tap,oos_warm,False,48,12,13393,0.4035690285970283,-0.10982899216787703,0.08195283559948134,0.11608801528870995,0.029271826562111254,0.012095580377890304,0.03432479114277476,1.4047153791492099e-05,-1.2432757919589481e-05,0.19178182776735828,5.684341886080802e-14,0.007420007918573656,0.02176045561723761,-0.007319991196629421,4912,0.36675875457328455,0,0,-9.299702090682745,8.562893534244195,-1.0860466796056674,16,71.50784022597203,71.50784022597203,10936,0,632,False
split_once,분리·첫탭만·재진입 켬,False,once,full,False,48,12,42733,0.41045561977862544,-0.08093281730744127,0.09184817389719567,0.10396571307461612,0.026296693430205433,0.010999187713684739,0.030585807642314212,4.356775055639839e-06,0.0009292325687618862,0.1727809912046365,5.684341886080802e-14,0.008669230458649875,0.026743622503686906,-0.013108510638293406,0,0.0,14106,0,-20.593315964162965,10.462854647323223,-1.9682311050198409,23,34.35185422666194,34.35185422666194,35538,0,2685,True
split_once,분리·첫탭만·재진입 켬,False,once,oos_warm,False,48,12,12945,0.40617999227500967,-0.10417348577632622,0.08942878915733656,0.11723194018864286,0.029605995062350433,0.012307508607607633,0.034571469411263094,1.4382237810170508e-05,-0.00012902057401139244,0.19360227493366305,5.684341886080802e-14,0.007338908281571869,0.021016736569402453,-0.01580751879698641,0,0.0,4142,0,-8.213014180814092,7.534580727216163,-1.0900426285363582,16,127.31147209996408,127.31147209996408,10091,0,608,True
split_once_no_reentry,분리·첫탭만·재진입 끔,False,once,full,False,48,12,30587,0.4246575342465753,-0.04348973121481363,0.12664228414317577,0.10213944848980035,0.026034546489083803,0.01121262050335043,0.029649900789662315,3.7523160656717693e-06,0.001091746770027073,0.17013201535798914,5.684341886080802e-14,0.008775521323996468,0.02676209691513761,-0.013918022648080794,0,0.0,0,0,-6.29875727063898,2.905928508950398,-2.1675541057663694,20,1410.6234522325956,1410.6234522325956,18850,0,2010,False
split_once_no_reentry,분리·첫탭만·재진입 끔,False,once,oos_warm,False,48,12,9452,0.4205459162082099,-0.06583035099700374,0.12415872891446862,0.11489317494776621,0.029203868584274924,0.012446109661274065,0.033507081442588224,1.2142625000074313e-05,-7.329734943117556e-05,0.18998907991147185,5.684341886080802e-14,0.007481371599858705,0.02125267107969516,-0.017431930733121798,0,0.0,0,0,-3.114822803010564,2.676930817843078,-1.1635798662590446,14,45.466802105871146,45.466802105871146,4782,0,471,False
