arm,segment,symbol,timeframe,direction,trades,win_rate,mean_net_r,net_r_sum
long_only,full,ADA,15m,all,2968,0.4002695417789757,-0.12302558852738697,-365.13994674928455
long_only,full,ADA,15m,long,2968,0.4002695417789757,-0.12302558852738697,-365.13994674928455
long_only,full,ADA,1h,all,730,0.3972602739726027,-0.08063506294128552,-58.86359594713842
long_only,full,ADA,1h,long,730,0.3972602739726027,-0.08063506294128552,-58.86359594713842
long_only,full,ADA,2h,all,332,0.35240963855421686,-0.1748168652988373,-58.03919927921399
long_only,full,ADA,2h,long,332,0.35240963855421686,-0.1748168652988373,-58.03919927921399
long_only,full,ADA,4h,all,146,0.3561643835616438,-0.14790488500185667,-21.594113210271072
long_only,full,ADA,4h,long,146,0.3561643835616438,-0.14790488500185667,-21.594113210271072
long_only,full,BCH,15m,all,2985,0.38860971524288107,-0.15231338283644927,-454.6554477668011
long_only,full,BCH,15m,long,2985,0.38860971524288107,-0.15231338283644927,-454.6554477668011
long_only,full,BCH,1h,all,829,0.41133896260554886,-0.04717681236114231,-39.109577447386975
long_only,full,BCH,1h,long,829,0.41133896260554886,-0.04717681236114231,-39.109577447386975
long_only,full,BCH,2h,all,420,0.44285714285714284,0.057168338985152875,24.010702373764207
long_only,full,BCH,2h,long,420,0.44285714285714284,0.057168338985152875,24.010702373764207
long_only,full,BCH,4h,all,213,0.4507042253521127,0.09090512871196178,19.36279241564786
long_only,full,BCH,4h,long,213,0.4507042253521127,0.09090512871196178,19.36279241564786
long_only,full,BNB,15m,all,2553,0.4014884449667058,-0.13396172367243936,-342.0042805357377
long_only,full,BNB,15m,long,2553,0.4014884449667058,-0.13396172367243936,-342.0042805357377
long_only,full,BNB,1h,all,670,0.3850746268656716,-0.1286695885393605,-86.20862432137154
long_only,full,BNB,1h,long,670,0.3850746268656716,-0.1286695885393605,-86.20862432137154
long_only,full,BNB,2h,all,332,0.3885542168674699,-0.09362929658958732,-31.084926467742992
long_only,full,BNB,2h,long,332,0.3885542168674699,-0.09362929658958732,-31.084926467742992
long_only,full,BNB,4h,all,169,0.41420118343195267,-0.01173813337537414,-1.9837445404382295
long_only,full,BNB,4h,long,169,0.41420118343195267,-0.01173813337537414,-1.9837445404382295
long_only,full,BTC,15m,all,2369,0.4225411566061629,-0.09515323912055375,-225.41802347659183
long_only,full,BTC,15m,long,2369,0.4225411566061629,-0.09515323912055375,-225.41802347659183
long_only,full,BTC,1h,all,757,0.42668428005284015,-0.037342088812889314,-28.26796123135721
long_only,full,BTC,1h,long,757,0.42668428005284015,-0.037342088812889314,-28.26796123135721
long_only,full,BTC,2h,all,368,0.45652173913043476,0.06640744108700729,24.43793832001868
long_only,full,BTC,2h,long,368,0.45652173913043476,0.06640744108700729,24.43793832001868
long_only,full,BTC,4h,all,165,0.44242424242424244,0.04650337440822531,7.673056777357176
long_only,full,BTC,4h,long,165,0.44242424242424244,0.04650337440822531,7.673056777357176
long_only,full,DOGE,15m,all,3130,0.41661341853035144,-0.07763605882152112,-243.00086411136112
long_only,full,DOGE,15m,long,3130,0.41661341853035144,-0.07763605882152112,-243.00086411136112
long_only,full,DOGE,1h,all,742,0.3867924528301887,-0.10549498504649409,-78.27727890449862
long_only,full,DOGE,1h,long,742,0.3867924528301887,-0.10549498504649409,-78.27727890449862
long_only,full,DOGE,2h,all,353,0.39943342776203966,-0.06422840382897727,-22.672626551628973
long_only,full,DOGE,2h,long,353,0.39943342776203966,-0.06422840382897727,-22.672626551628973
long_only,full,DOGE,4h,all,162,0.4506172839506173,0.096083043136119,15.565452988051279
long_only,full,DOGE,4h,long,162,0.4506172839506173,0.096083043136119,15.565452988051279
long_only,full,DOT,15m,all,3128,0.41048593350383633,-0.0905423531891389,-283.2164807756265
long_only,full,DOT,15m,long,3128,0.41048593350383633,-0.0905423531891389,-283.2164807756265
long_only,full,DOT,1h,all,750,0.38533333333333336,-0.104991954547315,-78.74396591048625
long_only,full,DOT,1h,long,750,0.38533333333333336,-0.104991954547315,-78.74396591048625
long_only,full,DOT,2h,all,372,0.3951612903225806,-0.057974347443209805,-21.56645724887405
long_only,full,DOT,2h,long,372,0.3951612903225806,-0.057974347443209805,-21.56645724887405
long_only,full,DOT,4h,all,173,0.3815028901734104,-0.08302614768724716,-14.363523549893758
long_only,full,DOT,4h,long,173,0.3815028901734104,-0.08302614768724716,-14.363523549893758
long_only,full,ETH,15m,all,2857,0.4053202660133007,-0.12138516750214084,-346.7974235536164
