symbol,day,status,size_bytes,seconds,cached,note
ADAUSDT,2024-08-27,200,1266526,0.3887455421499908,False,
ADAUSDT,2024-12-09,200,9996821,0.48134941700845957,False,
ADAUSDT,2025-01-07,200,7363070,0.44983483385294676,False,
ADAUSDT,2025-02-21,200,3876379,0.2364754998125136,False,
ADAUSDT,2025-04-15,200,2563926,0.4261161251924932,False,
ADAUSDT,2025-05-18,200,3229848,0.3675985001027584,False,
ADAUSDT,2025-07-08,200,1750345,0.42313937516883016,False,
ADAUSDT,2025-08-07,200,2438246,0.35313049983233213,False,
ADAUSDT,2025-09-22,200,3677693,0.0,True,
ADAUSDT,2025-10-10,200,13652722,0.0,True,
ADAUSDT,2025-10-28,200,2431525,0.42315120808780193,False,
ADAUSDT,2025-12-01,200,2917127,0.3666722080670297,False,
ADAUSDT,2026-02-20,200,1678309,0.313105084002018,False,
ADAUSDT,2026-04-05,200,1294592,0.19223241740837693,False,
ADAUSDT,2026-04-29,200,1818262,0.18828054191544652,False,
BCHUSDT,2024-11-04,200,2691365,0.37660266691818833,False,
BCHUSDT,2024-12-03,200,11716925,0.46669570775702596,False,
BCHUSDT,2024-12-09,200,12537261,0.0,True,
BCHUSDT,2025-01-07,200,3625114,0.0,True,
BCHUSDT,2025-03-04,200,8320472,0.6018460001796484,False,
BCHUSDT,2025-03-14,200,2482511,0.441963457968086,False,
BCHUSDT,2025-03-16,200,2243669,0.1938657918944955,False,
BCHUSDT,2025-05-30,200,3430399,0.3821546249091625,False,
BCHUSDT,2025-06-12,200,2958828,0.0,True,
BCHUSDT,2025-06-21,200,3973435,0.0,True,
BCHUSDT,2025-06-22,200,6629204,0.54641899978742,False,
BCHUSDT,2025-08-29,200,3223657,0.45572520792484283,False,
BCHUSDT,2025-09-03,200,4696607,0.0,True,
BCHUSDT,2025-09-17,200,2661879,0.0,True,
BCHUSDT,2025-10-17,200,6300452,0.5534586659632623,False,
BCHUSDT,2025-11-03,200,4815173,0.0,True,
BCHUSDT,2025-11-29,200,4147126,0.4812319171614945,False,
BCHUSDT,2025-12-10,200,4556931,0.25859125005081296,False,
BCHUSDT,2026-01-12,200,5339362,0.28017491567879915,False,
BCHUSDT,2026-02-06,200,12282823,0.5090546249412,False,
BCHUSDT,2026-04-05,200,2006818,0.18855166621506214,False,
BCHUSDT,2026-05-18,200,8558140,0.47866070782765746,False,
BCHUSDT,2026-05-22,200,1915845,0.27663237508386374,False,
BCHUSDT,2026-05-24,200,2467359,0.0,True,
BCHUSDT,2026-06-02,200,4505412,0.0,True,
BCHUSDT,2026-06-04,200,6860973,0.5212790002115071,False,
BCHUSDT,2026-06-08,200,5909039,0.4282635827548802,False,
BCHUSDT,2026-06-16,200,3641444,0.3795527913607657,False,
BCHUSDT,2026-06-17,200,2998783,0.4218604159541428,False,
BCHUSDT,2026-06-20,200,1364724,0.1789258341304958,False,
BCHUSDT,2026-06-23,200,2587201,0.37795666698366404,False,
BNBUSDT,2024-08-27,200,4607725,0.24286412494257092,False,
BNBUSDT,2024-08-29,200,3276494,0.3992152502760291,False,
BNBUSDT,2024-11-21,200,5828767,0.41830008290708065,False,
BNBUSDT,2025-02-24,200,6256179,0.0,True,
BNBUSDT,2025-03-03,200,7200612,0.4845585827715695,False,
BNBUSDT,2025-08-14,200,8372142,0.4585117092356086,False,
BNBUSDT,2025-10-10,200,28405950,0.0,True,
BNBUSDT,2025-10-28,200,8839206,0.0,True,
BNBUSDT,2025-11-11,200,7118521,0.38738516718149185,False,
BNBUSDT,2025-11-21,200,15720278,0.47406679205596447,False,
BNBUSDT,2026-01-31,200,8806636,0.0,True,
BNBUSDT,2026-02-05,200,20874014,0.7782039162702858,False,
BNBUSDT,2026-05-07,200,3145155,0.5012325411662459,False,
BNBUSDT,2026-05-08,200,2607488,0.34021145896986127,False,
BNBUSDT,2026-05-23,200,3251363,0.0,True,
BNBUSDT,2026-06-16,200,3553781,0.0,True,
BNBUSDT,2026-06-24,200,5102173,0.49636179115623236,False,
BTCUSDT,2024-08-27,200,20679334,0.0,True,
BTCUSDT,2024-12-05,200,51560147,1.1040134578943253,False,
BTCUSDT,2024-12-18,200,33031102,0.0,True,
BTCUSDT,2025-02-02,200,26962764,0.9320106250233948,False,
BTCUSDT,2025-08-24,200,14505730,0.662515917327255,False,
BTCUSDT,2025-09-11,200,11756274,0.6122610000893474,False,
BTCUSDT,2025-10-10,200,52271087,1.2354061668738723,False,
BTCUSDT,2025-10-21,200,33392862,0.9908898342400789,False,
BTCUSDT,2025-10-22,200,27162990,0.8857804168947041,False,
BTCUSDT,2025-11-16,200,23573235,0.5825106669217348,False,
BTCUSDT,2025-12-19,200,27918262,0.7071963748894632,False,
