symbol,timeframe,segment,tp_rule,r_multiple,guard,filter_on,num_candidates,num_trades,total_return,max_drawdown,win_rate,sharpe,n_take_profit,n_stop_loss,n_end_of_data,fill_rate_full,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate,tp_dist_frac_median,height_over_stop_med,height_over_stop_p25,height_over_stop_p75
BTC/USDT:USDT,1h,is,entry_r,1.0,0.003,True,100,79,0.1577147462510975,0.0298966037196803,0.7215189873417721,29.331777336994644,57,22,0,0.6798418972332015,0.2401827770934144,0.8035863749801228,-1.2195447265221482,0.1920839967988675,0.6028006418449987,0.1187183454967734,1.9434579649961563,0.8734177215189873,0.006233457956328,0.18,0.0046651104669864,0.973140184245484,0.9554900979160066,1.055315919945035
BTC/USDT:USDT,1h,is,entry_r,1.0,0.0,True,100,94,0.149107712628899,0.0298966037196804,0.7127659574468085,24.923345059415468,67,27,0,0.6798418972332015,0.1696014564801202,0.7483545603401984,-1.2665636530985924,0.2332511644932982,0.6285930836552379,0.0841728737915705,1.7937365583556968,0.8936170212765957,0.005598039194784,0.0,0.0046651104669864,0.973140184245484,0.9554900979160066,1.055315919945035
BTC/USDT:USDT,1h,oos,entry_r,1.0,0.003,True,72,46,0.0052719351562604,0.0321288922199183,0.6086956521739131,1.9166000118541289,28,18,0,0.6798418972332015,0.0180013681274508,0.7971507348698885,-1.194008757916341,0.179346652255942,0.599655006162045,0.009040646011868,1.0386737110577715,0.8695652173913043,0.0062864545716948,0.2638888888888889,0.0050620454989181,0.981977316113045,0.9664526077611784,1.4204094075303595
BTC/USDT:USDT,1h,oos,entry_r,1.0,0.0,True,72,62,0.0044876191524754,0.0309107789548756,0.5806451612903226,1.442166653367207,42,20,0,0.6798418972332015,-0.0288547412220927,0.7170610058334205,-1.061661160222034,0.2334865928150333,0.5968673357101095,-0.0162221744197869,1.0311759691298228,0.9032258064516128,0.0050673194898441,0.0,0.0050620454989181,0.981977316113045,0.9664526077611784,1.4204094075303595
BTC/USDT:USDT,1h,is,zone_height,1.0,0.003,True,100,79,0.1622980314362999,0.0298966037196802,0.7215189873417721,29.981382422157072,57,22,0,0.6798418972332015,0.2528405392954979,0.8211295892602033,-1.219544726522148,0.192052719631802,0.5976185014386287,0.1239004859031434,1.9686275029173064,0.8734177215189873,0.006233457956328,0.18,0.0055577087565366,0.973140184245484,0.9554900979160066,1.055315919945035
BTC/USDT:USDT,1h,is,zone_height,1.0,0.0,True,100,94,0.1662837962357396,0.0298966037196803,0.7021276595744681,27.10644280131928,66,28,0,0.6798418972332015,0.2514416405957189,0.9062435549512,-1.292020014670772,0.2332511644932982,0.5877457246370854,0.1143819349373826,1.8700948537827584,0.8936170212765957,0.005598039194784,0.0,0.0055577087565366,0.973140184245484,0.9554900979160066,1.055315919945035
BTC/USDT:USDT,1h,oos,zone_height,1.0,0.003,True,72,46,0.0268275090296296,0.0236236740484945,0.6304347826086957,8.323696394732178,29,17,0,0.6798418972332015,0.1072343199115505,0.8706545785283547,-1.195070827140645,0.1793174588806448,0.5785235655528054,0.0519112170558903,1.2054644079638266,0.8695652173913043,0.0062864545716948,0.2638888888888889,0.0059102607554385,0.981977316113045,0.9664526077611784,1.4204094075303595
BTC/USDT:USDT,1h,oos,zone_height,1.0,0.0,True,72,59,0.0306953597989826,0.0271878691929084,0.6101694915254238,8.113103311362424,36,23,0,0.6798418972332015,0.1994451744615393,1.1935292394406194,-1.3565124924622385,0.2197943901775931,0.5319569776020882,0.0782125139233356,1.208971726259114,0.8983050847457628,0.005251880404966,0.0,0.0059102607554385,0.981977316113045,0.9664526077611784,1.4204094075303595
BTC/USDT:USDT,1h,is,entry_r,1.5,0.003,True,100,74,0.1719537157828775,0.0508803736803852,0.6081081081081081,25.16528982627247,45,29,0,0.6798418972332015,0.3140754516506286,1.298159702571297,-1.2129518342607537,0.1996910111796474,0.4830338344074435,0.1250742737006646,1.7381262909349795,0.8918918918918919,0.0061474307219776,0.18,0.0069976657004797,0.973140184245484,0.9554900979160066,1.055315919945035
BTC/USDT:USDT,1h,is,entry_r,1.5,0.0,True,100,86,0.1602153768424079,0.0508803736803851,0.5930232558139535,21.50484726089252,51,35,0,0.6798418972332015,0.2261155213351856,1.2473455393410635,-1.261962504901951,0.2332511644932982,0.5029125490579809,0.0901107067559726,1.627156284911533,0.9069767441860463,0.0055904635336406,0.0,0.0069976657004797,0.973140184245484,0.9554900979160066,1.055315919945035
BTC/USDT:USDT,1h,oos,entry_r,1.5,0.003,True,72,44,0.0346860164870471,0.0395485133311495,0.5227272727272727,8.96238483645993,23,21,0,0.6798418972332015,0.1056474637313292,1.298604649071015,-1.2009246916407077,0.1801312125879784,0.48046032990305,0.0422669428242226,1.2203838590690668,0.8636363636363636,0.0062761536912735,0.2638888888888889,0.0075930682483772,0.981977316113045,0.9664526077611784,1.4204094075303595
