arm,segment,excluded,num_trades,max_drawdown,same_step_tp_trades,same_step_tp_pnl_share,same_step_tp_net_r_share,net_pnl
base,oos_warm,-,6336,0.22896037925774845,467,0.4844231161446582,0.4817865508623895,15198008.735345388
base,oos_warm,BTC/USDT:USDT,5976,0.21165807188433858,441,0.5110370008013749,0.4670069076208598,13603991.918598754
base,oos_warm,ETH/USDT:USDT,5791,0.23099959468356254,407,0.4817094783382565,0.4879682274782706,7710821.342501788
base,oos_warm,SOL/USDT:USDT,5685,0.23872265071369703,415,0.4299709371360079,0.4830136100944113,8510956.14650034
base,oos_warm,BNB/USDT:USDT,5974,0.22002480031236682,432,0.48449307375446343,0.4625037205322286,13659699.13064539
base,oos_warm,XRP/USDT:USDT,5821,0.208248846027593,431,0.4475697143211207,0.47174113498949755,11673017.249150954
base,oos_warm,TRX/USDT:USDT,6097,0.19220916187340323,438,0.4768354681263811,0.46146712688399516,14448716.75065689
base,oos_warm,DOGE/USDT:USDT,5712,0.19907192739251067,418,0.48401390564606217,0.4874794572249404,9415668.185234576
base,oos_warm,LINK/USDT:USDT,5773,0.21109514426693238,435,0.5254757245318579,0.4890323234301967,10747920.401498474
base,oos_warm,LTC/USDT:USDT,5800,0.19139144012998843,434,0.44991912720642174,0.46647111870894603,13354050.050403042
base,oos_warm,ADA/USDT:USDT,5773,0.19679044373671284,443,0.46773624103466954,0.4761133479911896,12455633.048240691
base,oos_warm,DOT/USDT:USDT,5744,0.17826193147296363,425,0.4367481641390635,0.4835172098313078,12094515.16299797
base,oos_warm,BCH/USDT:USDT,5804,0.25366265344459604,413,0.47586308974459973,0.47631729277916013,9842232.902136317
no_same_step_tp,oos_warm,-,6050,0.2522160154101235,0,0.0,0.0,3058258.087612228
no_same_step_tp,oos_warm,BTC/USDT:USDT,5716,0.22539019706753013,0,0.0,0.0,2999000.0237584505
no_same_step_tp,oos_warm,ETH/USDT:USDT,5537,0.24650982377513972,0,0.0,0.0,1512087.1174147269
no_same_step_tp,oos_warm,SOL/USDT:USDT,5438,0.26109147327560034,0,0.0,0.0,1810555.0559577213
no_same_step_tp,oos_warm,BNB/USDT:USDT,5714,0.2436190497436911,0,0.0,0.0,2757787.43609093
no_same_step_tp,oos_warm,XRP/USDT:USDT,5558,0.22215890893292115,0,0.0,0.0,2289909.695931646
no_same_step_tp,oos_warm,TRX/USDT:USDT,5832,0.21336282752248714,0,0.0,0.0,2987833.417120312
no_same_step_tp,oos_warm,DOGE/USDT:USDT,5455,0.23110821674379986,0,0.0,0.0,1752410.562675037
no_same_step_tp,oos_warm,LINK/USDT:USDT,5509,0.22531628216295627,0,0.0,0.0,1909542.0758858297
no_same_step_tp,oos_warm,LTC/USDT:USDT,5538,0.20259501055171364,0,0.0,0.0,2915147.3829355594
no_same_step_tp,oos_warm,ADA/USDT:USDT,5503,0.21082774686118075,0,0.0,0.0,2567761.6641573813
no_same_step_tp,oos_warm,DOT/USDT:USDT,5498,0.19249810998884764,0,0.0,0.0,2709458.6831326303
no_same_step_tp,oos_warm,BCH/USDT:USDT,5548,0.26590162130761597,0,0.0,0.0,1936855.496145472
