symbol,timeframe,variant,is_placebo,segment,total_return,win_rate,profit_factor,num_trades
ETH/USDT:USDT,4h,baseline,False,OOS,0.017305067983871776,0.5,1.791485271781979,4
ETH/USDT:USDT,4h,close_pct2,False,OOS,0.0,0.0,,0
ETH/USDT:USDT,4h,close_atr2,False,OOS,0.0,0.0,,0
ETH/USDT:USDT,4h,sma20_stdev2_bollinger,False,OOS,0.022535005669741804,0.5,1.9980361783010305,4
ETH/USDT:USDT,4h,sma20_atr2,False,OOS,0.021565210399038734,0.5,2.2187689991076467,4
ETH/USDT:USDT,4h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,0.01759264146446858,1.0,,1
ETH/USDT:USDT,4h,sma20_atr2_placebo_shuffled_anchor,True,OOS,0.01759264146446858,1.0,,1
ETH/USDT:USDT,1h,baseline,False,IS,0.00022560358305690896,0.36585365853658536,1.00087415442573,41
ETH/USDT:USDT,1h,close_pct2,False,IS,-0.05574621962559504,0.2,0.30913526774352107,10
ETH/USDT:USDT,1h,close_atr2,False,IS,-0.005503024061400356,0.3333333333333333,0.9100363322885854,9
ETH/USDT:USDT,1h,sma20_stdev2_bollinger,False,IS,0.01470379563937513,0.358974358974359,1.0592613846768708,39
ETH/USDT:USDT,1h,sma20_atr2,False,IS,0.006667531903406052,0.3902439024390244,1.0258437822368314,41
ETH/USDT:USDT,1h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.06708713273089907,0.38095238095238093,1.5227506751939315,21
ETH/USDT:USDT,1h,sma20_atr2_placebo_shuffled_anchor,True,IS,0.051530749026675586,0.3333333333333333,1.375875395333509,21
ETH/USDT:USDT,1h,baseline,False,OOS,-0.0586271426298008,0.3,0.727556567331108,30
ETH/USDT:USDT,1h,close_pct2,False,OOS,-0.008827795709588644,0.3333333333333333,0.7466926945846327,6
ETH/USDT:USDT,1h,close_atr2,False,OOS,0.01888228750500948,0.6666666666666666,2.9130063762594753,3
ETH/USDT:USDT,1h,sma20_stdev2_bollinger,False,OOS,-0.08366896531165476,0.2857142857142857,0.5815657632234994,28
ETH/USDT:USDT,1h,sma20_atr2,False,OOS,-0.049029278269627136,0.3103448275862069,0.7647783696180418,29
ETH/USDT:USDT,1h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,-0.01848500045368801,0.4,0.8046279823450576,15
ETH/USDT:USDT,1h,sma20_atr2_placebo_shuffled_anchor,True,OOS,-0.01848500045368801,0.4,0.8046279823450576,15
ETH/USDT:USDT,1d,baseline,False,IS,-0.010371540533980624,0.0,0.0,1
ETH/USDT:USDT,1d,close_pct2,False,IS,-0.010585028293644608,0.0,0.0,1
ETH/USDT:USDT,1d,close_atr2,False,IS,0.0,0.0,,0
ETH/USDT:USDT,1d,sma20_stdev2_bollinger,False,IS,-0.010371540533980624,0.0,0.0,1
ETH/USDT:USDT,1d,sma20_atr2,False,IS,-0.010371540533980624,0.0,0.0,1
ETH/USDT:USDT,1d,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,-0.010371540533980624,0.0,0.0,1
ETH/USDT:USDT,1d,sma20_atr2_placebo_shuffled_anchor,True,IS,-0.010371540533980624,0.0,0.0,1
ETH/USDT:USDT,1d,baseline,False,OOS,-0.0028247151077615855,0.5,0.8622817186018485,4
ETH/USDT:USDT,1d,close_pct2,False,OOS,0.01835299185242784,0.6666666666666666,2.809984303480836,3
ETH/USDT:USDT,1d,close_atr2,False,OOS,0.0,0.0,,0
ETH/USDT:USDT,1d,sma20_stdev2_bollinger,False,OOS,-0.0028247151077615855,0.5,0.8622817186018485,4
ETH/USDT:USDT,1d,sma20_atr2,False,OOS,-0.0028247151077615855,0.5,0.8622817186018485,4
ETH/USDT:USDT,1d,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,0.017898920549059585,1.0,,2
ETH/USDT:USDT,1d,sma20_atr2_placebo_shuffled_anchor,True,OOS,0.017898920549059585,1.0,,2
SOL/USDT:USDT,4h,baseline,False,IS,0.13540574061562838,0.35,2.036896290684511,20
SOL/USDT:USDT,4h,close_pct2,False,IS,0.04474153997151407,0.26666666666666666,1.3982684344190626,15
