scope,arm,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
all,off,full,,27,9,3845,0.5932379713914174,174576.13514742738,0.13342445380092155,1308426.8301214632,11,0.10790157069274135,0
all,off,is,,27,9,2470,0.6153846153846154,9792.144810056649,0.13342445380092155,73390.9304561756,11,0.10790157069274135,0
all,off,oos_warm,,27,9,1375,0.5534545454545454,16.826463156978235,0.12169017081231474,138.27298494740415,10,0.09804077401800358,0
all,off,oos,,27,9,1332,0.5480480480480481,12.784059816578146,0.12169017081231472,105.05416938148002,8,0.07593255545135892,0
all,off,full,BNB,24,8,3458,0.5919606709080393,49916.85332719207,0.12787585838200483,390354.0039440045,11,0.10761808353674925,0
all,off,is,BNB,24,8,2217,0.6129905277401895,3653.4621084752193,0.1187232529055375,30772.92795693618,11,0.10761808353674925,0
all,off,oos_warm,BNB,24,8,1241,0.5543916196615633,12.659425613259277,0.12787585838200496,98.99777622951812,10,0.0962187106242445,0
all,off,oos,BNB,24,8,1198,0.5484140233722872,9.525870818501286,0.12787585838200508,74.49311339161875,8,0.07593255545135891,0
all,off,full,BTC,24,8,3422,0.5911747516072472,52644.93936042233,0.12898217951370697,408156.6892333971,9,0.09044943542952827,0
all,off,is,BTC,24,8,2185,0.6114416475972541,3355.981509608171,0.12898217951370697,26018.954884008068,9,0.09044943542952827,0
all,off,oos_warm,BTC,24,8,1237,0.555375909458367,14.682522888416896,0.1160451085101234,126.52427212936804,9,0.09000000000000001,0
all,off,oos,BTC,24,8,1194,0.5494137353433836,11.107426508940835,0.11604510851012342,95.71645588122188,8,0.0759325554513589,0
all,off,full,DOGE,24,8,3435,0.5924308588064047,42282.6745871797,0.148665885197849,284414.1043582975,11,0.10679506675874673,0
all,off,is,DOGE,24,8,2221,0.6114362899594777,2916.05232495385,0.148665885197849,19614.804842907168,11,0.10679506675874673,0
all,off,oos_warm,DOGE,24,8,1214,0.557660626029654,13.49534320158233,0.11357943780529592,118.81854200332269,10,0.09971929940843484,0
all,off,oos,DOGE,24,8,1179,0.553011026293469,10.643269566827886,0.11357943780529539,93.70771481606741,7,0.07032588431677772,0
all,off,full,ETH,24,8,3400,0.5914705882352941,42531.99427007737,0.13755508573981448,309199.721997387,10,0.10044024295180566,0
all,off,is,ETH,24,8,2191,0.6211775445002282,4898.9167386624795,0.1364158308917708,35911.64388060773,10,0.10044024295180566,0
all,off,oos_warm,ETH,24,8,1209,0.5376344086021505,7.680350409727071,0.13755508573981484,55.8347251824221,8,0.07621871062424448,0
all,off,oos,ETH,24,8,1176,0.5331632653061225,6.228893429718452,0.13755508573981576,45.282901727823784,8,0.07593255545135891,0
all,off,full,LINK,24,8,3404,0.5990011750881316,60456.63126602088,0.13934544471030827,433861.5545826201,11,0.10791249192128075,0
all,off,is,LINK,24,8,2182,0.6209899175068744,4144.724658781097,0.13934544471030827,29744.24221328338,11,0.10791249192128075,0
all,off,oos_warm,LINK,24,8,1222,0.5597381342062193,13.583127496893683,0.11525554688410959,117.85226710651618,8,0.07832184318777924,0
all,off,oos,LINK,24,8,1184,0.5557432432432432,10.808390774904087,0.11525554688410923,93.77761910038089,8,0.07550686402201852,0
all,off,full,LTC,24,8,3433,0.5968540635013108,67825.25461681705,0.1334244538009214,508342.0069158916,11,0.1100013107306406,0
all,off,is,LTC,24,8,2212,0.6188969258589512,4724.276652611997,0.1334244538009214,35407.87702725729,11,0.1100013107306406,0
all,off,oos_warm,LTC,24,8,1221,0.556920556920557,13.353922447974435,0.10720616182446549,124.56301224401209,10,0.09804077401800362,0
all,off,oos,LTC,24,8,1178,0.5509337860780985,10.091773204578585,0.10720616182446485,94.13426460600704,8,0.0759325554513589,0
all,off,full,SOL,24,8,3355,0.5967213114754099,38918.220396151184,0.13410704495725462,290202.65421966463,11,0.10790157069274137,0
all,off,is,SOL,24,8,2154,0.6230269266480966,3775.6264047417308,0.12637858009359165,29875.524807650403,11,0.10790157069274137,0
all,off,oos_warm,SOL,24,8,1201,0.5495420482930891,9.305287371630492,0.134107044957254,69.3870137441065,9,0.0883218695488996,0
all,off,oos,SOL,24,8,1176,0.54421768707483,7.57734204470114,0.1341070449572543,56.50219231298673,7,0.0703258843167777,0
all,off,full,TRX,24,8,3429,0.5902595508894721,47148.676475266,0.13957563820245797,337800.1854942312,10,0.0980433050373153,0
all,off,is,TRX,24,8,2184,0.6103479853479854,3008.587103220158,0.13957563820245797,21555.245184379004,9,0.0904494354295283,0
all,off,oos_warm,TRX,24,8,1245,0.5550200803212851,14.666493395329013,0.1258368381195105,116.55166813234663,10,0.0980433050373153,0
all,off,oos,TRX,24,8,1201,0.5487094088259784,10.912976563885872,0.12583683811951044,86.72322609951102,8,0.07748072574516761,0
all,off,full,XRP,24,8,3444,0.591753774680604,42865.67696330548,0.12427811801596463,344917.33257337386,11,0.10790157069274134,0
all,off,is,XRP,24,8,2220,0.6094594594594595,2772.8619521971696,0.12427811801596463,22311.747204290386,11,0.10790157069274134,0
all,off,oos_warm,XRP,24,8,1224,0.559640522875817,14.453788869828532,0.10739003449002064,134.59152833377354,10,0.0980407740180036,0
all,off,oos,XRP,24,8,1182,0.5532994923857868,10.877002889935287,0.1073900344900205,101.28503023198172,8,0.07011223213683974,0
all,freeze,full,,27,9,4973,0.5897848381258798,4692390.628775958,0.19614778798847976,23922730.288712475,12,0.11360810822756046,0
all,freeze,is,,27,9,3230,0.6099071207430341,129915.2854445946,0.19614778798847976,662333.675933296,11,0.10790157069274137,0
