lens,scope,arm,segment,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,skipped_cell_busy,skipped_notional,num_seeds
pen_5bp_drop_50,2h,long_only,oos_warm,9,218.8,0.5440968973907447,0.5748966651771668,0.0694837410574416,3.2,0.0314414816902274,2.49556143699614,0.0,20.6,0.0,5
pen_5bp_drop_50,2h,long_short,full,9,1095.8,0.5612731342046431,16.90074352099375,0.1081674884933317,3.8,0.038,2.8999245409269356,0.0,107.0,0.0,5
pen_5bp_drop_50,2h,long_short,oos_warm,9,373.0,0.5394115269668875,1.0802900045335124,0.0831286999462337,3.2,0.032,2.693040189721312,0.0,34.0,0.0,5
pen_5bp_drop_50,4h,long_only,full,9,324.2,0.5998931810295602,2.7922112574590927,0.0830894382836896,4.4,0.0440421081539831,2.261781508478341,0.0,27.8,0.0,5
pen_5bp_drop_50,4h,long_only,oos_warm,9,117.6,0.5812226030533318,0.5242053855267335,0.0601373475476988,3.4,0.0340212100938577,2.1285169584518666,0.0,13.2,0.0,5
pen_5bp_drop_50,4h,long_short,full,9,575.2,0.5478169005404314,3.907347956770925,0.0993221161391845,4.4,0.0440421081539831,2.4756840635550046,0.0,50.6,0.0,5
pen_5bp_drop_50,4h,long_short,oos_warm,9,208.2,0.5123170325214381,0.4430795280959335,0.0883430969152178,3.4,0.0340212100938577,2.439027598391335,0.0,22.8,0.0,5
pen_5bp_drop_50,all,long_only,full,27,2063.8,0.5786751800169355,418.3049452096805,0.134144637956769,8.0,0.0792078977124026,4.780440051669592,0.0,198.6,0.0,5
pen_5bp_drop_50,all,long_only,oos_warm,27,769.0,0.5453117321055514,3.8562865990482194,0.1239697071440187,6.8,0.0634350050265012,4.6193944837093595,0.0,83.6,0.0,5
pen_5bp_drop_50,all,long_short,full,27,4015.6,0.5540836518429486,11284.232190171952,0.189787103718633,8.0,0.0792078977124025,4.978406700461419,0.0,396.4,0.4,5
pen_5bp_drop_50,all,long_short,oos_warm,27,1435.0,0.5275672866146028,8.989845116277719,0.1593339514011709,6.8,0.0634350050265012,4.819688266863398,0.0,146.2,0.2,5
