symbol,timeframe,entry_ms,entry_utc,day,entry_price,stop_price,take_profit_price,is_reentry,take_profit_derived,net_r
ETH/USDT:USDT,15m,1759851600000,2025-10-07 15:40,2025-10-07,4479.285678,4465.01,4500.699195,False,False,1.1535655769721938
ETH/USDT:USDT,15m,1763710440000,2025-11-21 07:34,2025-11-21,2646.799254,2628.0,2674.998135,False,False,1.3438063993032412
ETH/USDT:USDT,15m,1772721540000,2026-03-05 14:39,2026-03-05,2102.72046,2092.43,2118.1561500000003,False,False,1.2739206025998984
ETH/USDT:USDT,15m,1780640640000,2026-06-05 06:24,2026-06-05,1624.104756,1612.41,1641.6468899999998,False,False,1.3459159966379906
ETH/USDT:USDT,1h,1729706640000,2024-10-23 18:04,2024-10-23,2444.498802,2433.0,2461.747005,True,True,1.2648468322614066
ETH/USDT:USDT,1h,1741054020000,2025-03-04 02:07,2025-03-04,2002.0654402990017,1994.85,2012.8886007475044,False,False,1.1934892176547696
ETH/USDT:USDT,1h,1769848800000,2026-01-31 08:40,2026-01-31,2606.82126,2588.49,2634.318150000001,False,False,1.3422517751987837
ETH/USDT:USDT,1h,1769869560000,2026-01-31 14:26,2026-01-31,2508.2015399999996,2486.31,2541.038849999999,True,True,1.3726418029416938
ETH/USDT:USDT,2h,1738547700000,2025-02-03 01:55,2025-02-03,2432.176338,2356.0,2546.4408450000005,False,False,1.4635356225717902
ETH/USDT:USDT,2h,1741052460000,2025-03-04 01:41,2025-03-04,2034.9990617799235,2018.56,2059.657654449809,False,False,1.362505549277141
ETH/USDT:USDT,2h,1741052700000,2025-03-04 01:45,2025-03-04,2031.233108204269,2018.56,2050.2427705106725,True,True,1.3223754559447296
ETH/USDT:USDT,2h,1757175660000,2025-09-06 16:21,2025-09-06,4221.254952717743,4202.0,4250.137381794359,True,True,1.2575416218820463
ETH/USDT:USDT,2h,1757175660000,2025-09-06 16:21,2025-09-06,4221.254952717743,4202.0,4250.137381794359,False,False,1.2575416218820463
ETH/USDT:USDT,2h,1758131940000,2025-09-17 17:59,2025-09-17,4449.775150289302,4421.01,4492.922875723254,False,False,1.328518642036521
ETH/USDT:USDT,4h,1769869560000,2026-01-31 14:26,2026-01-31,2534.5095492263636,2505.37,2578.218873065909,False,False,1.4029915243413498
LINK/USDT:USDT,15m,1750114140000,2025-06-16 22:49,2025-06-16,13.627725,13.549,13.7458125,False,False,1.308268947761196
LINK/USDT:USDT,15m,1760110260000,2025-10-10 15:31,2025-10-10,21.2162424,21.12,21.360605999999997,False,False,1.2562039001646246
LINK/USDT:USDT,15m,1760131260000,2025-10-10 21:21,2025-10-10,8.2976592,8.102,8.591148,False,False,1.4520091730396552
LINK/USDT:USDT,15m,1761662700000,2025-10-28 14:45,2025-10-28,18.0926178,18.0,18.2315445,False,False,1.2838075693754467
LINK/USDT:USDT,15m,1767799080000,2026-01-07 15:18,2026-01-07,13.3046604,13.253,13.382151,False,False,1.2154069354902532
LINK/USDT:USDT,15m,1780410420000,2026-06-02 14:27,2026-06-02,8.5977192,8.559,8.655798,False,False,1.2544362775987004
LINK/USDT:USDT,1h,1779061260000,2026-05-17 23:41,2026-05-17,9.3928782,9.314,9.5111955,False,False,1.367685249525206
LINK/USDT:USDT,1h,1780686960000,2026-06-05 19:16,2026-06-05,7.124323782983883,7.1,7.160809457459707,False,False,1.1765239555199218
LINK/USDT:USDT,1h,1780687200000,2026-06-05 19:20,2026-06-05,7.126190449935483,7.1,7.165476124838708,True,True,1.1994044193013274
LINK/USDT:USDT,1h,1780687200000,2026-06-05 19:20,2026-06-05,7.126190449935483,7.1,7.165476124838708,True,True,1.1994044193013271
LTC/USDT:USDT,15m,1736262900000,2025-01-07 15:15,2025-01-07,104.550906,103.59,105.992265,False,False,1.378987100458318
LTC/USDT:USDT,15m,1740434580000,2025-02-24 22:03,2025-02-24,108.301656,107.17,109.99913999999998,False,False,1.3933973244767015
LTC/USDT:USDT,15m,1761167460000,2025-10-22 21:11,2025-10-22,90.458088,89.96,91.20521999999998,False,False,1.2989149014712464
LTC/USDT:USDT,15m,1761167460000,2025-10-22 21:11,2025-10-22,90.508098,89.83,91.52524499999998,False,False,1.3518561696819826
LTC/USDT:USDT,15m,1779478260000,2026-05-22 19:31,2026-05-22,52.750548,52.57,53.021370000000005,True,True,1.177322715698886
LTC/USDT:USDT,1h,1779478200000,2026-05-22 19:30,2026-05-22,52.850568,52.57,53.271420000000006,True,True,1.291481076544748
SOL/USDT:USDT,15m,1733778300000,2024-12-09 21:05,2024-12-09,200.120016,198.74,202.19004000000004,False,False,1.3391651972209015
SOL/USDT:USDT,15m,1738547760000,2025-02-03 01:56,2025-02-03,176.29025099999998,174.35,179.20062749999997,False,False,1.3987230132469983
SOL/USDT:USDT,15m,1760131200000,2025-10-10 21:20,2025-10-10,142.00839599999998,141.07,143.41598999999997,False,False,1.3322164768370863
