symbol,timeframe,exit_ms,day,stop_price,quantity,notional,num_ticks,minute_volume,fill_price,filled_qty,first_price,slippage_bp,first_tick_bp,size_share_of_minute,slippage_bp_x10,slippage_bp_x100,short_fill_x10,short_fill_x100,tick_high_matches_bar,note
ADA/USDT:USDT,15m,1726652100000,2024-09-18,0.3304,30111.363637422513,9948.7945458044,111,1208361.0,0.3304,30111.363637422513,0.3304,0.0,0.0,0.02491917865391428,5.3199099316627025,9.190710036445688,False,True,True,
ADA/USDT:USDT,15m,1741616040000,2025-03-10,0.7017,4475.3181727455,3140.3307618155177,572,2501259.0,0.7017,4475.3181727455,0.7017,0.0,0.0,0.0017892262147764387,0.30669322622194306,0.43580875975124866,False,False,True,
ADA/USDT:USDT,15m,1743559800000,2025-04-02,0.6666,14492.198640547678,9660.49961378908,412,2221644.0,0.6667250907314393,14492.198640547678,0.6666,1.8765486264520312,0.0,0.0065231867214313715,2.008777671702017,9.037891056956544,False,True,True,
ADA/USDT:USDT,15m,1747500360000,2025-05-17,0.7274,6390.356185673113,4648.345089458623,503,3807028.0,0.7274006728889401,6390.356185673113,0.7274,0.009250604069453543,0.0,0.001678568212703745,0.7479126697289568,3.9968853460303198,False,False,True,
ADA/USDT:USDT,1h,1753278240000,2025-07-23,0.8102,6224.62686474264,5043.192685814487,2691,14604961.0,0.8102,6224.62686474264,0.8102,0.0,0.0,0.0004261994855544386,0.9872622443102156,0.12223197569577411,False,False,True,
ADA/USDT:USDT,1h,1760131200000,2025-10-10,0.32,11953.629480519254,3825.1614337661617,11863,34161458.0,0.32,11953.629480519254,0.32,0.0,0.0,0.0003499156704763378,15.00661014118554,53.45841989800107,False,False,True,
ADA/USDT:USDT,15m,1763161440000,2025-11-14,0.4943,9614.534098906654,4752.464205089559,985,6556199.0,0.49430085287544007,9614.534098906654,0.4943,0.01725420675802987,0.0,0.0014664799068647327,2.9949099419790937,2.691900099870038,False,False,True,
BCH/USDT:USDT,15m,1727803320000,2024-10-01,310.11,31.995649001280132,9922.170711786985,2037,4980.718999999983,310.0794830712752,31.995649001280132,310.1,0.9840678702656384,0.3224662216629875,0.006423901649797999,6.895807005173949,20.844346098736086,False,True,True,
BCH/USDT:USDT,4h,1733136180000,2024-12-02,497.34,11.659537336269022,5798.754298820035,1452,4993.7410000000045,497.33742568058256,11.659537336269022,497.34,0.05176176091646965,0.0,0.002334830207707811,1.0764335374434164,11.30632906900783,False,False,True,
BCH/USDT:USDT,15m,1734552360000,2024-12-18,502.32,5.759005694767794,2892.863740595758,1856,3110.3229999999808,502.2958430225257,5.759005694767794,502.32,0.4809081357365778,0.0,0.0018515780177067879,1.0962370993512036,3.6726736443819004,False,False,True,
