symbol,timeframe,filled_setups,unfilled_setups,filled_mean_r,unfilled_mean_r,mean_r_gap,filled_resolved,unfilled_resolved
BTC/USDT:USDT,15m,698,1720,-0.06876790830945559,0.02616279069767442,-0.09493069900713001,698,1720
BTC/USDT:USDT,1h,183,415,-0.23076923076923078,0.1292270531400966,-0.35999628390932736,182,414
ETH/USDT:USDT,15m,681,1775,-0.13362701908957417,0.08450704225352113,-0.2181340613430953,681,1775
ETH/USDT:USDT,1h,204,447,-0.2647058823529412,0.13534675615212527,-0.40005263850506645,204,447
SOL/USDT:USDT,15m,702,1727,-0.18687589158345222,0.04371742906774754,-0.23059332065119975,701,1727
SOL/USDT:USDT,1h,189,413,-0.31216931216931215,0.004842615012106538,-0.3170119271814187,189,413
