symbol,timeframe,month,trigger_time,is_long,entry_price,stop_price,stop_width_pct,zone_ceiling_pct,guard_passed,path_fill_price,path_stop_width_pct,path_guard_passed
ADA/USDT:USDT,15m,2020-09,1600416900000,True,0.0929065657975733,0.0926,0.3299721552955101,0.36595906552050583,True,,,
ADA/USDT:USDT,15m,2020-09,1600426800000,True,0.0929065657975733,0.0926,0.3299721552955101,0.36595906552050583,True,,,
ADA/USDT:USDT,15m,2020-09,1600674300000,True,0.088457688,0.08802,0.49479927623702474,0.47480327543718265,True,0.088457688,0.49479927623702474,True
ADA/USDT:USDT,15m,2020-10,1601982000000,True,0.09369873599999999,0.09318,0.5536211288912072,0.5336251280913763,True,0.09369873599999999,0.5536211288912072,True
ADA/USDT:USDT,15m,2020-10,1601992800000,True,0.09294233673800668,0.0924,0.5835195854129106,0.645561561133686,True,0.09292999739402362,0.5703189593091584,True
ADA/USDT:USDT,15m,2020-10,1603192500000,True,0.10370073599999999,0.10321,0.47322325658324327,0.4532272557834095,True,0.10370073599999999,0.47322325658324327,True
ADA/USDT:USDT,15m,2020-10,1603412100000,True,0.109991994,0.109,0.901878367620098,0.8818823668202602,True,0.109991994,0.901878367620098,True
ADA/USDT:USDT,15m,2020-10,1603469700000,True,0.10581115799999999,0.1053,0.4830851581833967,0.463089157383563,True,0.10581115799999999,0.4830851581833967,True
ADA/USDT:USDT,15m,2020-10,1603530000000,True,0.107541504,0.10702,0.4849327753496846,0.4649367745498524,True,0.107541504,0.4849327753496846,True
ADA/USDT:USDT,15m,2020-10,1603576800000,True,0.107541504,0.10702,0.4849327753496846,0.4649367745498524,True,0.107541504,0.4849327753496846,True
ADA/USDT:USDT,15m,2020-10,1603724400000,True,0.103910778,0.10359,0.3087052240143884,0.2887092232145492,True,0.103910778,0.3087052240143884,True
ADA/USDT:USDT,15m,2020-10,1603729800000,True,0.09918983399999999,0.0984,0.7962852322144116,0.7762892314145753,True,0.09918983399999999,0.7962852322144116,True
ADA/USDT:USDT,15m,2020-10,1603733400000,True,0.09880262084231889,0.0984,0.4075001643543833,0.7793315535919352,True,0.09871064369791316,0.31470131920507827,True
ADA/USDT:USDT,15m,2020-10,1603791000000,True,0.10302541076095273,0.10247,0.5391007488836219,0.5920869380616857,True,0.10299887920208277,0.5134805409339528,True
ADA/USDT:USDT,15m,2020-10,1603831500000,True,0.10299367270094066,0.10247,0.5084513322106948,0.5922693928696342,True,0.10297563103487241,0.49102008872484837,True
ADA/USDT:USDT,15m,2020-10,1603834200000,True,0.10277444595831516,0.10247,0.29622729217983984,0.593532754481997,False,0.10275983288377397,0.2820488080218802,False
ADA/USDT:USDT,15m,2020-10,1603872000000,True,0.09867833596121998,0.0984,0.28206389833059975,0.7803131178687472,False,0.09866166607142239,0.26521554099133726,False
ADA/USDT:USDT,15m,2020-10,1603877400000,True,0.09867833596121998,0.0984,0.28206389833059975,0.7803131178687472,False,0.09866166607142239,0.26521554099133726,False
ADA/USDT:USDT,15m,2020-10,1603894500000,True,0.09529905600000001,0.09482,0.5026870360604678,0.48269103526062423,True,0.09529905600000001,0.5026870360604678,True
ADA/USDT:USDT,15m,2020-10,1603973700000,True,0.09529905600000001,0.09482,0.5026870360604678,0.48269103526062423,True,0.09529905600000001,0.5026870360604678,True
ADA/USDT:USDT,15m,2020-10,1604009700000,True,0.09529905600000001,0.09482,0.5026870360604678,0.48269103526062423,True,0.09529905600000001,0.5026870360604678,True
ADA/USDT:USDT,15m,2020-10,1604124000000,True,0.09223844399999999,0.09157,0.7246913228501451,0.7046953220503133,True,0.09223844399999999,0.7246913228501451,True
ADA/USDT:USDT,15m,2020-11,1604294100000,True,0.09771954,0.09697,0.7670318546321371,0.7470358538322985,True,0.09771954,0.7670318546321371,True
ADA/USDT:USDT,15m,2020-11,1604305800000,True,0.09628925399999999,0.0957,0.611962369134148,0.5919663683343118,True,0.09628925399999999,0.611962369134148,True
ADA/USDT:USDT,15m,2020-11,1604505600000,True,0.0918116212073086,0.09115,0.7206290430431198,0.8713493885415952,True,0.09187139567137365,0.7852233724129998,True
ADA/USDT:USDT,15m,2020-11,1605115800000,True,0.10749376238326633,0.10747,0.022105825249290067,0.2976916919691106,False,,,
ADA/USDT:USDT,15m,2020-11,1605126600000,True,0.10612122,0.10553,0.557117605696583,0.5371216048967408,True,0.10612122,0.557117605696583,True
