symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,baseline,0,1689433200000,1784106000000,105193,658,0.5167173252279635,0.47238228749773953,0.12164468557121023,13.921889473439956,1.1478121730918207,0.2917933130699088,0.5012396694214876,2420,1213,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp,0,1689433200000,1784106000000,105193,612,0.48856209150326796,0.18606877817342157,0.13859438515526662,6.931310865233871,1.0663331288923248,0.22140522875816993,0.4371900826446281,2420,1058,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689433200000,1784106000000,105193,327,0.4709480122324159,0.04311641803254006,0.11052293460937877,3.5873009760224326,1.0307787569332756,0.17737003058103976,0.2190082644628099,2420,530,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689433200000,1784106000000,105193,347,0.46397694524495675,0.013286906135072423,0.1744787783456223,1.6291979923600612,1.0089334543871877,0.15994236311239193,0.228099173553719,2420,552,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689433200000,1784106000000,105193,342,0.4619883040935672,-0.01692410563294361,0.18852796243793193,-0.3020329893817817,0.9881207466919034,0.15497076023391812,0.22148760330578512,2420,536,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1689433200000,1784106000000,105193,316,0.4936708860759494,0.17383592550752966,0.08886680099742605,11.753801143158531,1.1281100098635184,0.23417721518987342,0.21611570247933884,2420,523,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,4,1689433200000,1784106000000,105193,336,0.4523809523809524,-0.07713136227965388,0.2056317696137786,-4.402649363468284,0.9460566345354148,0.13095238095238096,0.22107438016528927,2420,535,1.0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,0.0,baseline,0,1689433200000,1752547500000,70128,422,0.5260663507109005,0.3374150074488183,0.11146209165889331,16.319355562125427,1.1749248719894836,0.31516587677725116,0.49247176913425345,1594,785,1.0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,0.0,pen_5bp,0,1689433200000,1752547500000,70128,391,0.5012787723785166,0.18259382066857288,0.13691403285364942,10.280742110460722,1.104609337439875,0.2531969309462916,0.42973651191969886,1594,685,1.0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689433200000,1752547500000,70128,207,0.4830917874396135,0.10296336808076376,0.07938277577362728,10.93009340889432,1.1223583382945341,0.20772946859903382,0.21329987452948557,1594,340,1.0
