segment,threshold,scope,seed,is_actual,num_trades,mean_net_r,sum_net_r,win_rate,max_drawdown,blocked_candidates,trip_days
oos_warm,-1.0,both,-1,True,418,-0.05125311501529025,-21.423802076391325,0.4019138755980861,0.3807203427015299,803,99
oos_warm,-1.0,both,0,False,632,-0.025714449416475164,-16.251532031212303,0.4098101265822785,0.3033514451596909,430,66
oos_warm,-1.0,both,1,False,678,-0.08999803911818305,-61.018670522128104,0.3834808259587021,0.7120748906751079,409,65
oos_warm,-1.0,both,2,False,710,-0.05391759518692616,-38.281492582717576,0.39859154929577467,0.6666372410656138,331,67
oos_warm,-1.0,both,3,False,695,-0.11901772909087348,-82.71732171815707,0.3726618705035971,1.014716109574849,380,70
oos_warm,-1.0,both,4,False,694,-0.05890046304678782,-40.876921354470745,0.3962536023054755,0.6327233581435668,370,67
oos_warm,-1.0,both,5,False,741,-0.08190262311131757,-60.68984372548632,0.3873144399460189,0.7059707867716526,316,67
oos_warm,-1.0,both,6,False,740,-0.09723709018745706,-71.95544673871822,0.3810810810810811,0.9062275779291171,313,71
oos_warm,-1.0,both,7,False,702,-0.03727244427278663,-26.165255879496215,0.4045584045584046,0.5323831501185411,379,71
oos_warm,-1.0,both,8,False,692,-0.10394415398330482,-71.92935455644694,0.3786127167630058,0.8310662691163808,378,65
oos_warm,-1.0,both,9,False,600,-0.056439737173013795,-33.863842303808276,0.3983333333333333,0.4974647723639264,474,68
oos_warm,-1.0,both,10,False,698,-0.14503843713476547,-101.2368291200663,0.3624641833810888,1.0047450632057442,345,67
oos_warm,-1.0,both,11,False,721,-0.11338200153747416,-81.74842310851886,0.37447988904299584,0.7867605985873645,326,66
oos_warm,-1.0,both,12,False,660,-0.0834404671419043,-55.07070831365684,0.38636363636363635,0.6553420544941776,401,70
oos_warm,-1.0,both,13,False,679,-0.08600170956372004,-58.39516079376591,0.3858615611192931,0.8443665584047654,402,66
oos_warm,-1.0,both,14,False,707,-0.09496064326697305,-67.13717478974995,0.38189533239038187,0.7933348239395288,356,72
oos_warm,-1.0,both,15,False,594,-0.11298567516740997,-67.11349104944152,0.37542087542087543,0.6869536812699095,476,70
oos_warm,-1.0,both,16,False,653,-0.06212389728679159,-40.56690492827491,0.39509954058192953,0.6405311576028331,348,59
