symbol,timeframe,min_stop_distance_fraction,total_return,win_rate,profit_factor,max_drawdown,num_trades
BTC/USDT:USDT,15m,0.0,0.029142619978163566,0.32459016393442625,1.0223294941456023,0.11960733871729,305
BTC/USDT:USDT,15m,0.003,-0.03885388084010065,0.3422222222222222,0.9627281000758298,0.1310340342487016,225
BTC/USDT:USDT,15m,0.005,-0.08413732687157172,0.391304347826087,0.8544792197189423,0.12194570457711093,115
BTC/USDT:USDT,15m,0.01,0.05438828072588185,0.5769230769230769,1.4413455899195085,0.038764587571655774,26
BTC/USDT:USDT,1h,0.0,0.19281075697199304,0.27941176470588236,1.4093137413477597,0.08025711300932653,68
BTC/USDT:USDT,1h,0.003,0.1974575556801674,0.2835820895522388,1.4210339615189143,0.07667409698256779,67
BTC/USDT:USDT,1h,0.005,0.2562893492540552,0.3275862068965517,1.6041295352205183,0.07130297519831602,58
BTC/USDT:USDT,1h,0.01,0.12183955262043128,0.3142857142857143,1.4459023403513542,0.07226315593014344,35
BTC/USDT:USDT,4h,0.0,0.05265911312970875,0.36363636363636365,1.35751502684328,0.07788619353406727,22
BTC/USDT:USDT,4h,0.003,0.05265911312970875,0.36363636363636365,1.35751502684328,0.07788619353406727,22
BTC/USDT:USDT,4h,0.005,0.05265911312970875,0.36363636363636365,1.35751502684328,0.07788619353406727,22
BTC/USDT:USDT,4h,0.01,0.03654759831681567,0.3333333333333333,1.2519869836325066,0.07788619353406687,21
BTC/USDT:USDT,1d,0.0,-0.030334659993718198,0.0,0.0,0.030334659993718198,3
BTC/USDT:USDT,1d,0.003,-0.030334659993718198,0.0,0.0,0.030334659993718198,3
BTC/USDT:USDT,1d,0.005,-0.030334659993718198,0.0,0.0,0.030334659993718198,3
BTC/USDT:USDT,1d,0.01,-0.030334659993718198,0.0,0.0,0.030334659993718198,3
ETH/USDT:USDT,15m,0.0,-0.1286851048661023,0.3382899628252788,0.9014488304428299,0.2655029862531648,269
ETH/USDT:USDT,15m,0.003,-0.1578810713598128,0.33755274261603374,0.8690495660538443,0.24337534286006515,237
ETH/USDT:USDT,15m,0.005,-0.2716032110914072,0.3333333333333333,0.7038984181174955,0.33737862905589755,177
ETH/USDT:USDT,15m,0.01,-0.17982406191498157,0.3492063492063492,0.5686366870162796,0.17982406191498157,63
ETH/USDT:USDT,1h,0.0,-0.01564000324439003,0.35526315789473684,0.9683999193460836,0.10535596778203775,76
ETH/USDT:USDT,1h,0.003,-0.01564000324439003,0.35526315789473684,0.9683999193460836,0.10535596778203775,76
ETH/USDT:USDT,1h,0.005,-0.05841476554018572,0.3380281690140845,0.8765852465130272,0.10043901088244045,71
ETH/USDT:USDT,1h,0.01,-0.04862451185444279,0.3684210526315789,0.8704512820689078,0.07066883840238901,57
ETH/USDT:USDT,4h,0.0,0.004680727427949387,0.3888888888888889,1.040644049658121,0.05335824628140254,18
ETH/USDT:USDT,4h,0.003,0.004680727427949387,0.3888888888888889,1.040644049658121,0.05335824628140254,18
ETH/USDT:USDT,4h,0.005,0.004680727427949387,0.3888888888888889,1.040644049658121,0.05335824628140254,18
ETH/USDT:USDT,4h,0.01,0.015822218653742674,0.4117647058823529,1.151759191408649,0.05335824628140254,17
ETH/USDT:USDT,1d,0.0,-0.01397468104458767,0.4,0.5443479588526262,0.020406236977801383,5
ETH/USDT:USDT,1d,0.003,-0.01397468104458767,0.4,0.5443479588526262,0.020406236977801383,5
ETH/USDT:USDT,1d,0.005,-0.01397468104458767,0.4,0.5443479588526262,0.020406236977801383,5
ETH/USDT:USDT,1d,0.01,-0.01397468104458767,0.4,0.5443479588526262,0.020406236977801383,5
SOL/USDT:USDT,15m,0.0,0.8046545970532115,0.33774834437086093,1.355281731024829,0.2145607574757131,302
SOL/USDT:USDT,15m,0.003,0.8470554731454649,0.34459459459459457,1.3746148205185704,0.21182818631861208,296
SOL/USDT:USDT,15m,0.005,0.8754550516302566,0.35918367346938773,1.4272564088268513,0.18921835394218495,245
SOL/USDT:USDT,15m,0.01,0.1239152327839478,0.422680412371134,1.1835222634074902,0.13173954341176272,97
SOL/USDT:USDT,1h,0.0,-0.020070162124436682,0.34285714285714286,0.9580504930844123,0.10728805710103492,70
SOL/USDT:USDT,1h,0.003,-0.020070162124436682,0.34285714285714286,0.9580504930844123,0.10728805710103492,70
SOL/USDT:USDT,1h,0.005,-0.01412728642262664,0.34782608695652173,0.9701248412953739,0.10728805710103492,69
SOL/USDT:USDT,1h,0.01,-0.015040321115436564,0.38596491228070173,0.9615382027386915,0.08728631847648004,57
SOL/USDT:USDT,4h,0.0,0.10053544836521978,0.2857142857142857,1.4711970493215436,0.09100394823201513,28
SOL/USDT:USDT,4h,0.003,0.10053544836521978,0.2857142857142857,1.4711970493215436,0.09100394823201513,28
SOL/USDT:USDT,4h,0.005,0.10053544836521978,0.2857142857142857,1.4711970493215436,0.09100394823201513,28
SOL/USDT:USDT,4h,0.01,0.10053544836521978,0.2857142857142857,1.4711970493215436,0.09100394823201513,28
SOL/USDT:USDT,1d,0.0,-0.018894698208181397,0.25,0.3792016545166705,0.030088860007883966,4
SOL/USDT:USDT,1d,0.003,-0.018894698208181397,0.25,0.3792016545166705,0.030088860007883966,4
SOL/USDT:USDT,1d,0.005,-0.018894698208181397,0.25,0.3792016545166705,0.030088860007883966,4
SOL/USDT:USDT,1d,0.01,-0.018894698208181397,0.25,0.3792016545166705,0.030088860007883966,4
