symbol,timeframe,variant,detail,is_total_return,is_win_rate,is_profit_factor,is_num_trades,oos_total_return,oos_win_rate,oos_profit_factor,oos_num_trades,oos_superior_to_baseline
BTC/USDT:USDT,15m,가_레짐게이트_D_btc_daily_ema200_slope_down,레짐 하락 국면에서만 숏 허용,0.1143432041004594,0.3478260869565217,1.1195347249513965,230,0.0404385048090018,0.3251533742331288,1.0662260710604163,163,True
ETH/USDT:USDT,1d,baseline_B안,게이트 없음,-0.0405217967634855,0.0,0.0,4,-0.0128648940674491,0.4,0.5783011053866145,5,
ETH/USDT:USDT,1d,나_숏제거,short_enabled=False,-0.0103715405339806,0.0,0.0,1,-0.002686505671322,0.5,0.869020085245321,4,True
ETH/USDT:USDT,1d,다_RR게이트,min_rr=0.5(IS에서 선택),-0.0306890310482092,0.0,0.0,3,-0.0128648940674491,0.4,0.5783011053866145,5,False
ETH/USDT:USDT,1d,가_레짐게이트_A_local_close_below_ema240,레짐 하락 국면에서만 숏 허용,-0.0103715405339806,0.0,0.0,1,-0.002686505671322,0.5,0.869020085245321,4,True
ETH/USDT:USDT,1d,가_레짐게이트_B_local_ema240_slope_down,레짐 하락 국면에서만 숏 허용,-0.0205881928846425,0.0,0.0,2,-0.002686505671322,0.5,0.869020085245321,4,True
ETH/USDT:USDT,1d,가_레짐게이트_C_btc_daily_close_below_ema200,레짐 하락 국면에서만 숏 허용,-0.0103715405339806,0.0,0.0,1,-0.002686505671322,0.5,0.869020085245321,4,True
ETH/USDT:USDT,1d,가_레짐게이트_D_btc_daily_ema200_slope_down,레짐 하락 국면에서만 숏 허용,-0.0103715405339806,0.0,0.0,1,-0.002686505671322,0.5,0.869020085245321,4,True
ETH/USDT:USDT,4h,baseline_B안,게이트 없음,-0.0855714318404099,0.25,0.593793438901603,28,0.0151117037162135,0.5,1.2767246881998522,10,
ETH/USDT:USDT,4h,나_숏제거,short_enabled=False,-0.0124095917274269,0.3571428571428571,0.8673780634621376,14,0.0173050679838717,0.5,1.791485271781979,4,True
ETH/USDT:USDT,4h,다_RR게이트,min_rr=2.0(IS에서 선택),-0.0572103384712589,0.2105263157894736,0.6292803944642653,19,-0.0212682292977073,0.2,0.4965994803830649,5,False
ETH/USDT:USDT,4h,가_레짐게이트_A_local_close_below_ema240,레짐 하락 국면에서만 숏 허용,-0.0438761115734678,0.2941176470588235,0.6437688182591469,17,0.0155838669920385,0.5,1.4729749033278046,6,True
ETH/USDT:USDT,4h,가_레짐게이트_B_local_ema240_slope_down,레짐 하락 국면에서만 숏 허용,-0.0648138508942356,0.2631578947368421,0.5450774353446528,19,0.0046420514426987,0.4285714285714285,1.1063328107274653,7,False
ETH/USDT:USDT,4h,가_레짐게이트_C_btc_daily_close_below_ema200,레짐 하락 국면에서만 숏 허용,-0.0234098457661028,0.3333333333333333,0.7741831978346753,15,0.0104762461159909,0.5,1.2396300465129888,8,False
ETH/USDT:USDT,4h,가_레짐게이트_D_btc_daily_ema200_slope_down,레짐 하락 국면에서만 숏 허용,-0.0641799738073425,0.2631578947368421,0.5473512381180721,19,0.0104762461159909,0.5,1.2396300465129888,8,False
ETH/USDT:USDT,1h,baseline_B안,게이트 없음,-0.0904820302700585,0.3168316831683168,0.8580860524875064,101,-0.0227353320172946,0.3125,0.9462912927062508,64,
ETH/USDT:USDT,1h,나_숏제거,short_enabled=False,0.0217472429227473,0.3777777777777777,1.079425972963791,45,-0.0365914823123866,0.3225806451612903,0.830926676119864,31,False
ETH/USDT:USDT,1h,다_RR게이트,min_rr=1.0(IS에서 선택),-0.0192169753493315,0.3012048192771084,0.9659959567309488,83,0.0110726731181806,0.2962962962962963,1.029244828072383,54,True
ETH/USDT:USDT,1h,가_레짐게이트_A_local_close_below_ema240,레짐 하락 국면에서만 숏 허용,0.0117897927865145,0.3773584905660377,1.03687787394647,53,-0.0504593026969207,0.3235294117647059,0.7849527019486339,34,False
ETH/USDT:USDT,1h,가_레짐게이트_B_local_ema240_slope_down,레짐 하락 국면에서만 숏 허용,-0.0513994044904382,0.3283582089552239,0.876975277029739,67,-0.0231403485720838,0.3409090909090909,0.9192345937762711,44,False
ETH/USDT:USDT,1h,가_레짐게이트_C_btc_daily_close_below_ema200,레짐 하락 국면에서만 숏 허용,-0.0049833915085358,0.3653846153846153,0.983999981421109,52,0.0010178978513498,0.3461538461538461,1.0029645118472152,52,True
ETH/USDT:USDT,1h,가_레짐게이트_D_btc_daily_ema200_slope_down,레짐 하락 국면에서만 숏 허용,-0.0373247041537039,0.3333333333333333,0.887769345359869,54,0.0010178978513498,0.3461538461538461,1.0029645118472152,52,True
ETH/USDT:USDT,15m,baseline_B안,게이트 없음,-0.0999222055254131,0.3378746594005449,0.9418939363391056,367,-0.0459974901993124,0.3227513227513227,0.9489988295884269,189,
ETH/USDT:USDT,15m,나_숏제거,short_enabled=False,-0.1025358260000135,0.3473053892215569,0.8780311418186443,167,-0.0291368498304975,0.3235294117647059,0.9437767505554232,102,True
ETH/USDT:USDT,15m,다_RR게이트,min_rr=3.0(IS에서 선택),0.2680287259329816,0.2747252747252747,1.2750776837338211,182,0.1103590074322814,0.25,1.2080878297644788,104,True
ETH/USDT:USDT,15m,가_레짐게이트_A_local_close_below_ema240,레짐 하락 국면에서만 숏 허용,-0.0780204273236859,0.366120218579235,0.91107880514185,183,-0.0423881716035213,0.3271028037383177,0.9214008593500312,107,True
ETH/USDT:USDT,15m,가_레짐게이트_B_local_ema240_slope_down,레짐 하락 국면에서만 숏 허용,-0.0788919986754079,0.37117903930131,0.9237983792208398,229,-0.0082709855011291,0.3495934959349593,0.9863726494294912,123,True
ETH/USDT:USDT,15m,가_레짐게이트_C_btc_daily_close_below_ema200,레짐 하락 국면에서만 숏 허용,0.0296832304729094,0.3853658536585366,1.029603709742363,205,-0.0107554393367143,0.3227848101265823,0.9863073973111054,158,True
ETH/USDT:USDT,15m,가_레짐게이트_D_btc_daily_ema200_slope_down,레짐 하락 국면에서만 숏 허용,0.0422669938312828,0.3798076923076923,1.040765416208485,208,-0.010742818912211,0.3227848101265823,0.9863635951888636,158,True
SOL/USDT:USDT,1d,baseline_B안,게이트 없음,0.0324797403109851,0.75,4.058991417488917,4,-0.0179705264873366,0.2,0.5578304193463999,5,
SOL/USDT:USDT,1d,나_숏제거,short_enabled=False,0.001244843872919,0.5,1.1208987588131996,2,-0.0201145078231364,0.0,0.0,2,False
SOL/USDT:USDT,1d,다_RR게이트,min_rr=0.5(IS에서 선택),0.0324797403109851,0.75,4.058991417488917,4,-0.0179705264873366,0.2,0.5578304193463999,5,False
SOL/USDT:USDT,1d,가_레짐게이트_A_local_close_below_ema240,레짐 하락 국면에서만 숏 허용,0.013247923289556,0.6666666666666666,2.2713915809131464,3,-0.0301008442813486,0.0,0.0,3,False
SOL/USDT:USDT,1d,가_레짐게이트_B_local_ema240_slope_down,레짐 하락 국면에서만 숏 허용,0.013247923289556,0.6666666666666666,2.2713915809131464,3,-0.0399592852074847,0.0,0.0,4,False
SOL/USDT:USDT,1d,가_레짐게이트_C_btc_daily_close_below_ema200,레짐 하락 국면에서만 숏 허용,0.013247923289556,0.6666666666666666,2.2713915809131464,3,-0.0301008442813486,0.0,0.0,3,False
SOL/USDT:USDT,1d,가_레짐게이트_D_btc_daily_ema200_slope_down,레짐 하락 국면에서만 숏 허용,0.013247923289556,0.6666666666666666,2.2713915809131464,3,-0.0301008442813486,0.0,0.0,3,False
SOL/USDT:USDT,4h,baseline_B안,게이트 없음,0.1380456201449617,0.3421052631578947,1.5469650346470212,38,-0.0915157501169511,0.0714285714285714,0.3087509595891036,14,
SOL/USDT:USDT,4h,나_숏제거,short_enabled=False,0.1354057406156283,0.35,2.036896290684511,20,-0.0209202561277686,0.1428571428571428,0.6685180835753489,7,True
SOL/USDT:USDT,4h,다_RR게이트,min_rr=3.0(IS에서 선택),0.1686840206796212,0.2727272727272727,2.012290938653295,22,-0.0521415253165556,0.1,0.4394447674929935,10,True
SOL/USDT:USDT,4h,가_레짐게이트_A_local_close_below_ema240,레짐 하락 국면에서만 숏 허용,0.1381934652873376,0.375,1.9141432934913976,24,-0.0209202561277686,0.1428571428571428,0.6685180835753489,7,True
SOL/USDT:USDT,4h,가_레짐게이트_B_local_ema240_slope_down,레짐 하락 국면에서만 숏 허용,0.1263906818153536,0.36,1.7893788569660265,25,-0.0415901797702772,0.1111111111111111,0.5035859374921926,9,True
SOL/USDT:USDT,4h,가_레짐게이트_C_btc_daily_close_below_ema200,레짐 하락 국면에서만 숏 허용,0.123406800924598,0.3333333333333333,1.8828930964321504,21,-0.0622909663596115,0.0909090909090909,0.4038115882035424,11,True
SOL/USDT:USDT,4h,가_레짐게이트_D_btc_daily_ema200_slope_down,레짐 하락 국면에서만 숏 허용,0.0996487707736427,0.32,1.5911207443130664,25,-0.0622909663596115,0.0909090909090909,0.4038115882035424,11,True
SOL/USDT:USDT,1h,baseline_B안,게이트 없음,-0.1579176458736234,0.2616822429906542,0.7825740134391129,107,-0.0430286334050579,0.2448979591836734,0.8866107788839854,49,
SOL/USDT:USDT,1h,나_숏제거,short_enabled=False,-0.0233427649006511,0.375,0.9253593960684744,48,0.0131286676447405,0.2857142857142857,1.0817908513354542,21,True
SOL/USDT:USDT,1h,다_RR게이트,min_rr=2.0(IS에서 선택),-0.041233235071439,0.217391304347826,0.9218194675090494,69,-0.0145666105601067,0.2195121951219512,0.9560847244504896,41,True
SOL/USDT:USDT,1h,가_레짐게이트_A_local_close_below_ema240,레짐 하락 국면에서만 숏 허용,-0.032431746790319,0.3636363636363636,0.9097069619038868,55,0.0296744919016529,0.3181818181818182,1.1844515624275458,22,True
SOL/USDT:USDT,1h,가_레짐게이트_B_local_ema240_slope_down,레짐 하락 국면에서만 숏 허용,0.0012742076489788,0.3188405797101449,1.002717594462288,69,0.015091666117975,0.3125,1.0655082340542592,32,True
SOL/USDT:USDT,1h,가_레짐게이트_C_btc_daily_close_below_ema200,레짐 하락 국면에서만 숏 허용,-0.1011763752529914,0.3214285714285714,0.7274922115151387,56,0.0756066046482685,0.3157894736842105,1.258190037805221,38,True
SOL/USDT:USDT,1h,가_레짐게이트_D_btc_daily_ema200_slope_down,레짐 하락 국면에서만 숏 허용,-0.1131937859425052,0.3015873015873015,0.7343770881052627,63,0.0643239712113674,0.3076923076923077,1.2118434203745403,39,True
SOL/USDT:USDT,15m,baseline_B안,게이트 없음,-0.0600599682004691,0.2853598014888337,0.9740449567584568,403,0.3111384819534769,0.3350785340314136,1.222197990426935,191,
SOL/USDT:USDT,15m,나_숏제거,short_enabled=False,0.3352289213551821,0.3397129186602871,1.2611889835862578,209,0.3806061095276933,0.3444444444444444,1.5575419108538784,90,True
SOL/USDT:USDT,15m,다_RR게이트,min_rr=3.0(IS에서 선택),0.3472845835775963,0.2211538461538461,1.2571315504572025,208,0.3962527391357122,0.2376237623762376,1.5382084997313854,101,True
SOL/USDT:USDT,15m,가_레짐게이트_A_local_close_below_ema240,레짐 하락 국면에서만 숏 허용,0.2710650364191668,0.3333333333333333,1.2022713251642014,225,0.3747840929196313,0.34375,1.5084174651256288,96,True
SOL/USDT:USDT,15m,가_레짐게이트_B_local_ema240_slope_down,레짐 하락 국면에서만 숏 허용,0.1615434126123938,0.3197026022304832,1.1047023613488431,269,0.2759046689669802,0.3412698412698413,1.2918181250495862,126,False
SOL/USDT:USDT,15m,가_레짐게이트_C_btc_daily_close_below_ema200,레짐 하락 국면에서만 숏 허용,0.3461532269682997,0.332,1.2257918622397015,250,0.3335893271473386,0.3461538461538461,1.2782129443660917,156,True
SOL/USDT:USDT,15m,가_레짐게이트_D_btc_daily_ema200_slope_down,레짐 하락 국면에서만 숏 허용,0.2359537542926176,0.3241106719367589,1.1615686126083815,253,0.3178920956393564,0.3419354838709677,1.26864243359348,155,True
