arm,segment,scope,rank_bucket,num_trades,trade_share,mean_net_r,net_r_sum,net_r_share,abs_net_r_share,stop_rate,mean_alive_zones
adopted,full,all,1,24829,0.5022859686033339,-0.07248000450500353,-1799.6060318547375,0.3689246757659205,0.36892467576592364,0.5832292883321922,48.509122397196826
adopted,full,all,2,9866,0.19958731186276096,-0.10143614549481061,-1000.7690114518006,0.20516067213106476,0.2051606721310665,0.5974052300831137,49.512568416784916
adopted,full,all,3,4683,0.0947362032691374,-0.12995409203253208,-608.5750129883478,0.12475971705572166,0.12475971705572272,0.6102925475122785,49.508434764040146
adopted,full,all,4-5,4497,0.09097345848842855,-0.14628918340857963,-657.8624577883829,0.13486379220901687,0.13486379220901804,0.6184122748498999,52.76851234156104
adopted,full,all,6-10,3786,0.07659006311700922,-0.12037542990401258,-455.7413776165903,0.09342835987109324,0.09342835987109405,0.6104067617538299,52.85604860010565
adopted,full,all,11+,1771,0.03582699465932999,-0.2006905529899667,-355.4229693452307,0.07286278296717454,0.07286278296717516,0.6374929418407679,63.391304347826086
adopted,full,15m,1,16983,0.49734969397018775,-0.0806449964886994,-1369.593975367582,0.3538314067618945,0.35383140676189373,0.579815109226874,58.949184478596244
adopted,full,15m,2,6846,0.20048613348171143,-0.11290166990179555,-772.9248321476904,0.19968332629867072,0.19968332629867028,0.5943616710487876,59.736780601811276
adopted,full,15m,3,3206,0.09388818929920638,-0.12922023646054986,-414.28007809252244,0.1070282912025537,0.10702829120255346,0.6023081721771678,59.75670617592015
adopted,full,15m,4-5,3085,0.0903446862096231,-0.18088702549904043,-558.0364736645404,0.14416742045625447,0.14416742045625414,0.6243111831442464,63.83273905996759
adopted,full,15m,6-10,2567,0.0751749787682666,-0.16285585117957713,-418.0509699779739,0.10800249231950751,0.10800249231950727,0.6201791975068173,64.48694974678614
adopted,full,15m,11+,1460,0.042756318271004776,-0.2314155204576227,-337.86665986812875,0.08728706296112128,0.08728706296112108,0.6458904109589041,70.0013698630137
adopted,full,1h,1,4647,0.5216659182757072,-0.06032471622364566,-280.3289562912814,0.36640253109304777,0.3664025310930488,0.5885517538196686,29.803959543791695
adopted,full,1h,2,1740,0.1953300404131118,-0.1303722959785591,-226.84779500269246,0.29650025228039,0.29650025228039084,0.621264367816092,30.42816091954023
adopted,full,1h,3,819,0.09193982936686125,-0.14112058361352964,-115.57775797948088,0.15106531848154486,0.1510653184815453,0.6263736263736264,31.807081807081808
adopted,full,1h,4-5,795,0.08924562191288729,-0.050126461419906065,-39.850536828825334,0.05208644070406523,0.05208644070406537,0.5937106918238994,33.02893081761006
