symbol,timeframe,segment,buy_hold_return,num_bars
BTC/USDT:USDT,15m,IS,2.7689518526868713,70128
BTC/USDT:USDT,15m,OOS,-0.4784067742175063,35064
BTC/USDT:USDT,1h,IS,2.7726185022853933,17532
BTC/USDT:USDT,1h,OOS,-0.47873631872857597,8766
BTC/USDT:USDT,4h,IS,2.805121135959656,4383
BTC/USDT:USDT,4h,OOS,-0.4786294507737844,2191
BTC/USDT:USDT,1d,IS,2.925818224786618,730
BTC/USDT:USDT,1d,OOS,-0.4709510400949137,365
ETH/USDT:USDT,15m,IS,0.478288877962979,70128
ETH/USDT:USDT,15m,OOS,-0.41078075636077854,35064
ETH/USDT:USDT,1h,IS,0.4777073111327244,17532
ETH/USDT:USDT,1h,OOS,-0.41305173763422226,8766
ETH/USDT:USDT,4h,IS,0.49707785445699576,4383
ETH/USDT:USDT,4h,OOS,-0.4059366703038054,2191
ETH/USDT:USDT,1d,IS,0.5361800631977836,730
ETH/USDT:USDT,1d,OOS,-0.4008933615469359,365
SOL/USDT:USDT,15m,IS,4.647652135892741,70128
SOL/USDT:USDT,15m,OOS,-0.5385966669222488,35064
SOL/USDT:USDT,1h,IS,4.589082363943826,17532
SOL/USDT:USDT,1h,OOS,-0.5428563213289431,8766
SOL/USDT:USDT,4h,IS,4.777735204648986,4383
SOL/USDT:USDT,4h,OOS,-0.536072905127168,2191
SOL/USDT:USDT,1d,IS,4.856138434158864,730
SOL/USDT:USDT,1d,OOS,-0.5295861298857756,365
