scenario,num_stop_trades,mean_pct,worst_pct,total_pct
alpha_0.00,66,-0.028218309635112716,-0.1034629981205765,-1.8624084359174393
alpha_0.25,66,-0.02948077397983673,-0.10699067634255147,-1.9457310826692242
alpha_0.50,66,-0.030743238324560704,-0.11051835456452647,-2.0290537294210065
alpha_1.00,66,-0.0332681670140087,-0.11757371100847627,-2.195699022924574
limit_nonfill,66,-0.028218309635112716,-0.1034629981205765,-1.8624084359174393
