arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,exclude
split_every,분리·매탭,False,every_tap,full,True,44,11,46015,0.405519939150277,-0.0948430223891386,0.0800900052065515,0.1054239860544146,0.0265424519734253,0.0109047983387417,0.0312610851508793,4.088526148635308e-06,0.0007966175520793,0.1749330275956887,5.684341886080804e-14,0.0085976085320493,0.0268135123104497,-0.0079947643979063,14543,0.3160491144192111,5792,0,-25.871911460164437,16.938501348552098,-1.5274026271737415,22,97.21662296151229,97.21662296151229,40453,0,3090,-ADA
split_every,분리·매탭,False,every_tap,oos_warm,True,44,11,13779,0.4024239785180347,-0.1156674647039968,0.080799543115105,0.118956442079049,0.0299546376820893,0.0123129187733288,0.0352545214161088,1.3653641826653144e-05,-2.5165773300873667e-05,0.1964670078191026,5.684341886080804e-14,0.0071970107601347,0.0210150107354567,-0.0091638989169684,4435,0.321866608607301,1492,0,-9.653442749466135,9.326154680902626,-1.0350935706903623,16,470.70724377587294,470.70724377587294,11376,0,685,-ADA
split_every,분리·매탭,False,every_tap,full,True,44,11,45782,0.4043510549997816,-0.0981177135349524,0.0772697922853617,0.1055120853562567,0.0265700241383879,0.0109241113469597,0.0312778857873083,2.642878319386072e-06,0.0011007563130813,0.1753875058203124,5.684341886080804e-14,0.0085821629113562,0.0266564633053803,-0.0078233618233605,14544,0.3176794373334498,5596,0,-27.264965409177115,17.264002209220607,-1.5792957553385305,23,61.55465650322021,61.55465650322021,40482,0,3109,-BCH
split_every,분리·매탭,False,every_tap,oos_warm,True,44,11,13675,0.3988299817184643,-0.1248804021912939,0.0718700380349835,0.1190213698364416,0.0299326034676065,0.0122411153635931,0.0353552676858938,8.84798941266056e-06,0.0001912358833295,0.1967504402262779,5.684341886080804e-14,0.0072055848213247,0.0211728883516743,-0.0088938477272183,4392,0.3211700182815356,1429,0,-10.59689744761624,8.306907617164761,-1.2756729623090568,16,27.104636608003823,27.104636608003823,10947,0,688,-BCH
split_every,분리·매탭,False,every_tap,full,True,44,11,46579,0.4038085832671375,-0.0981613186642734,0.0750656883051006,0.1041816346696466,0.0262228643984311,0.0107618783071411,0.0309062951536143,4.030650419499789e-06,0.0011503037901198,0.1732270069693726,5.684341886080804e-14,0.008739453701029,0.0272209602030995,-0.0076474999999992,14781,0.3173318448227742,5869,0,-27.86616830678141,19.46988445727754,-1.4312446675237187,24,131.5573183437847,131.5573183437847,41464,0,3096,-BNB
split_every,분리·매탭,False,every_tap,oos_warm,True,44,11,14075,0.4007815275310835,-0.1176494229384352,0.0756082121676229,0.1170098330176885,0.0294502236071746,0.0120822001438481,0.0347061474743422,1.333880397086186e-05,-4.10794096647908e-06,0.1932576351060589,5.684341886080804e-14,0.0073531266868543,0.02171018330672,-0.0084982142857157,4524,0.3214209591474245,1524,0,-10.389213410186224,9.797747667490752,-1.0603675214721004,16,567.4723169103185,567.4723169103185,11636,0,687,-BNB
split_every,분리·매탭,False,every_tap,full,True,44,11,46850,0.4025186766275347,-0.1003351705042674,0.0713117499587024,0.1034865646744464,0.0260111357731759,0.0106159098898555,0.0307735745053031,4.007335451224775e-06,0.0007557282847363,0.1716469204629689,5.684341886080804e-14,0.0088103768399477,0.0274027025341791,-0.0076166666666654,14805,0.316008537886873,5811,0,-28.577941258282586,26.57806445572647,-1.075245389139886,24,160.5905347808735,160.5905347808735,43918,0,3114,-BTC
split_every,분리·매탭,False,every_tap,oos_warm,True,44,11,14159,0.3997457447559855,-0.1194739860651117,0.0726057950401351,0.1164518486806778,0.0292851127572369,0.0119747367236872,0.034589953975759,1.3259669884164186e-05,-0.0002351307019984,0.1920797811052473,5.684341886080804e-14,0.0074098398072254,0.022007054095835,-0.0084676470588237,4560,0.3220566424182499,1488,0,-10.34104131171008,9.144690527654117,-1.1308246332052598,16,66.60575092197855,66.60575092197855,11492,0,691,-BTC
split_every,분리·매탭,False,every_tap,full,True,44,11,45849,0.4037383585247224,-0.0996926751599447,0.0759315249452804,0.1058471690531025,0.0266396217500908,0.0109289358753292,0.03140794968236,1.4558095197659177e-06,0.0007990679348212,0.1756242001052231,5.684341886080804e-14,0.008576825188531,0.0265692168673791,-0.0078500000000005,14496,0.316168291565792,5620,0,-27.80291301555335,25.515280264550153,-1.0896573632460365,22,307.39402241084366,307.39402241084366,43991,0,3104,-DOGE
split_every,분리·매탭,False,every_tap,oos_warm,True,44,11,13722,0.4025652237283195,-0.1151999389836742,0.0814296028701024,0.119081143812414,0.0299950681731132,0.0123439846636957,0.035282242139911,4.864262547132164e-06,-7.776119790399662e-05,0.1966295418537777,5.684341886080804e-14,0.0071926137131851,0.0208762691447492,-0.0089165009940369,4434,0.3231307389593353,1434,0,-9.47674154467485,8.49083562825963,-1.116114121104156,16,100.15123073810004,100.15123073810004,11219,0,695,-DOGE
