symbol,timeframe,segment,tp_rule,guard,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
BTC/USDT:USDT,1h,full,entry_r,0.003,1.0,636,474,295,0.7452830188679245,0.3523314915238048,0.0619154964300868,0.6305084745762712,12.018974919657296,0.2610169491525424,186,109,0
BTC/USDT:USDT,1h,full,entry_r,0.0,1.0,636,474,328,0.7452830188679245,0.3368774830233708,0.0605544936440772,0.6280487804878049,10.935067013758008,0.2865853658536585,211,117,0
BTC/USDT:USDT,1h,full,zone_height,0.003,1.0,636,474,295,0.7452830188679245,0.3004615729930812,0.0751587212664703,0.5966101694915255,10.0606046872117,0.2312147258159945,176,119,0
BTC/USDT:USDT,1h,full,zone_height,0.0,1.0,636,474,324,0.7452830188679245,0.3120719741356957,0.0725398941685252,0.5925925925925926,9.830244137988888,0.3186337711885047,192,132,0
BTC/USDT:USDT,1h,full,entry_r,0.003,1.5,636,474,261,0.7452830188679245,0.2658046681571213,0.1239321935810007,0.5057471264367817,8.556995912580076,0.2643678160919541,132,129,0
BTC/USDT:USDT,1h,full,entry_r,0.0,1.5,636,474,287,0.7452830188679245,0.2475164467477167,0.1189134765744753,0.5121951219512195,7.661707322866681,0.2891986062717773,148,139,0
BTC/USDT:USDT,1h,full,zone_height,0.003,1.5,636,474,258,0.7452830188679245,0.2192941960784786,0.134842717222003,0.4806201550387597,7.1262326877757305,0.2484755298940057,124,134,0
BTC/USDT:USDT,1h,full,zone_height,0.0,1.5,636,474,282,0.7452830188679245,0.2222276211574875,0.1201230033975397,0.4716312056737589,6.839437952720699,0.342282531293287,133,149,0
BTC/USDT:USDT,1h,full,entry_r,0.003,2.0,636,474,240,0.7452830188679245,0.372768962498871,0.0871100851627606,0.4458333333333333,10.55895606164888,0.3375,107,133,0
BTC/USDT:USDT,1h,full,entry_r,0.0,2.0,636,474,263,0.7452830188679245,0.3649601930994473,0.0832505741996487,0.4562737642585551,9.885498923686482,0.3688212927756654,120,143,0
BTC/USDT:USDT,1h,full,zone_height,0.003,2.0,636,474,236,0.7452830188679245,0.3117892395069506,0.1149865214191488,0.423728813559322,9.09176719067895,0.3036152213991086,100,136,0
BTC/USDT:USDT,1h,full,zone_height,0.0,2.0,636,474,258,0.7452830188679245,0.3301220009333907,0.0931511260389798,0.4147286821705426,9.02132395327797,0.4033472927911832,107,151,0
BTC/USDT:USDT,1h,full,entry_r,0.003,3.0,636,474,219,0.7452830188679245,0.5319285619785422,0.1140498245110959,0.3607305936073059,12.30827646126178,0.4429223744292236,79,140,0
BTC/USDT:USDT,1h,full,entry_r,0.0,3.0,636,474,241,0.7452830188679245,0.5394611180676042,0.1078999200790158,0.3734439834024896,11.82334584824426,0.4937759336099585,90,151,0
BTC/USDT:USDT,1h,full,zone_height,0.003,3.0,636,474,217,0.7452830188679245,0.551700974154609,0.1140498245110963,0.3548387096774194,12.534561234711694,0.4504249929315254,77,140,0
BTC/USDT:USDT,1h,full,zone_height,0.0,3.0,636,474,239,0.7452830188679245,0.6097311421858259,0.1084309056804074,0.3472803347280335,12.70752114558848,0.6171283473610558,83,156,0
BTC/USDT:USDT,1h,is,entry_r,0.003,1.0,361,275,176,0.7617728531855956,0.1512385749549032,0.0573058426681855,0.625,9.610675007176004,0.25,110,66,0
BTC/USDT:USDT,1h,is,entry_r,0.0,1.0,361,275,192,0.7617728531855956,0.1471192836239615,0.0548091532834496,0.6302083333333334,8.950140038553526,0.2708333333333333,122,70,0
BTC/USDT:USDT,1h,is,zone_height,0.003,1.0,361,275,176,0.7617728531855956,0.0855019706268953,0.0751587212664703,0.5852272727272727,5.595189182453559,0.1970444063745348,103,73,0
BTC/USDT:USDT,1h,is,zone_height,0.0,1.0,361,275,192,0.7617728531855956,0.1086186683512711,0.0725398941685252,0.59375,6.580322685187427,0.3184145899191926,114,78,0
BTC/USDT:USDT,1h,is,entry_r,0.003,1.5,361,275,159,0.7617728531855956,0.0542585491970803,0.1239321935810007,0.4842767295597484,3.5040037707467167,0.210691823899371,77,82,0
BTC/USDT:USDT,1h,is,entry_r,0.0,1.5,361,275,172,0.7617728531855956,0.0488854548917328,0.1189134765744753,0.4941860465116279,3.082430003125467,0.2354651162790685,85,87,0
BTC/USDT:USDT,1h,is,zone_height,0.003,1.5,361,275,157,0.7617728531855956,0.0055483768900581,0.134842717222003,0.4585987261146497,0.8001856485376413,0.1788639121991141,72,85,0
BTC/USDT:USDT,1h,is,zone_height,0.0,1.5,361,275,170,0.7617728531855956,0.0237315064850208,0.1201230033975397,0.4588235294117647,1.7443538820689606,0.312323885868325,78,92,0
BTC/USDT:USDT,1h,is,entry_r,0.003,2.0,361,275,152,0.7617728531855956,0.1219976687696917,0.0871100851627606,0.4276315789473684,6.436741799659463,0.2828947368421052,65,87,0
BTC/USDT:USDT,1h,is,entry_r,0.0,2.0,361,275,165,0.7617728531855956,0.1240293604926417,0.0832505741996487,0.4424242424242424,6.253775705700811,0.3272727272727272,73,92,0
BTC/USDT:USDT,1h,is,zone_height,0.003,2.0,361,275,150,0.7617728531855956,0.1133335717918629,0.1149865214191488,0.4133333333333333,6.018255171086477,0.2681076956593908,62,88,0
BTC/USDT:USDT,1h,is,zone_height,0.0,2.0,361,275,163,0.7617728531855956,0.1509698989944954,0.0931511260389798,0.4171779141104294,7.29696504195514,0.4656486064951806,68,95,0
BTC/USDT:USDT,1h,is,entry_r,0.003,3.0,361,275,139,0.7617728531855956,0.2037218685848163,0.1140498245110959,0.3453237410071942,8.847406603823995,0.381294964028777,48,91,0
BTC/USDT:USDT,1h,is,entry_r,0.0,3.0,361,275,152,0.7617728531855956,0.2226791733008034,0.1078999200790158,0.3684210526315789,9.09522150991375,0.4736842105263157,56,96,0
BTC/USDT:USDT,1h,is,zone_height,0.003,3.0,361,275,137,0.7617728531855956,0.2617639943634278,0.1140498245110963,0.3503649635036496,10.744021443477678,0.4458311628110984,48,89,0
