symbol,entry_tf,resistance_tf,segment,combine,n_setups,n_with_resistance,frac_no_resistance,dist_median,dist_q25,dist_q75,frac_below_near,frac_above_far,frac_within_mfe
BTC/USDT:USDT,1h,15m,is,False,267,262,0.018726591760299626,1.9324623121621465,1.249472013279969,3.59996401818779,0.0648854961832061,0.3015267175572519,0.4083969465648855
BTC/USDT:USDT,1h,15m,oos,False,200,199,0.005,1.9911800009803502,1.214401226702049,3.8092630688778826,0.03015075376884422,0.31155778894472363,0.4120603015075377
BTC/USDT:USDT,1h,1h,is,False,267,252,0.056179775280898875,2.627896948925309,1.5630536047527512,5.275497550607277,0.03968253968253968,0.4246031746031746,0.32142857142857145
BTC/USDT:USDT,1h,1h,oos,False,200,197,0.015,3.590987042518037,1.4874011271193606,6.02280589909067,0.015228426395939087,0.5736040609137056,0.3553299492385787
BTC/USDT:USDT,1h,5m,is,False,267,265,0.00749063670411985,1.7438951358710362,1.0204671588422862,3.255524536252699,0.0830188679245283,0.2679245283018868,0.43018867924528303
BTC/USDT:USDT,1h,5m,oos,False,200,200,0.0,1.5714758636688688,0.9114349569994109,3.0201262621139215,0.09,0.255,0.49
BTC/USDT:USDT,1h,combined,is,False,267,265,0.00749063670411985,1.4930179465227773,0.8579218880424553,2.5824413510066297,0.1169811320754717,0.2,0.47924528301886793
BTC/USDT:USDT,1h,combined,oos,False,200,200,0.0,1.3666162878411134,0.8044981369650841,2.7153997434006216,0.105,0.225,0.505
ETH/USDT:USDT,1h,15m,is,False,327,326,0.0030581039755351682,2.02501627396049,1.0705807778180996,3.742160923156246,0.05828220858895705,0.36809815950920244,0.39570552147239263
ETH/USDT:USDT,1h,15m,oos,False,174,174,0.0,2.305339174446927,1.2410339547680715,3.7848316372359374,0.06321839080459771,0.3563218390804598,0.4425287356321839
ETH/USDT:USDT,1h,1h,is,False,327,309,0.05504587155963303,3.2630891051362654,1.3343077462324078,6.569789569246359,0.016181229773462782,0.5598705501618123,0.2912621359223301
ETH/USDT:USDT,1h,1h,oos,False,174,174,0.0,3.4744080783453883,1.9418468841340912,6.398458976754542,0.022988505747126436,0.5574712643678161,0.3160919540229885
ETH/USDT:USDT,1h,5m,is,False,327,326,0.0030581039755351682,1.5195252715019079,0.8348835998723821,3.1211465571720374,0.07975460122699386,0.2607361963190184,0.46932515337423314
ETH/USDT:USDT,1h,5m,oos,False,174,174,0.0,1.8558315895732211,1.0601936775066845,2.901667340164879,0.1206896551724138,0.22988505747126436,0.47701149425287354
ETH/USDT:USDT,1h,combined,is,False,327,326,0.0030581039755351682,1.2541038944847844,0.7653287195533717,2.9369310324333098,0.10122699386503067,0.2361963190184049,0.49693251533742333
ETH/USDT:USDT,1h,combined,oos,False,174,174,0.0,1.721868555775553,0.9222373059396364,2.6933012778386374,0.12643678160919541,0.20689655172413793,0.5114942528735632
SOL/USDT:USDT,1h,15m,is,False,324,322,0.006172839506172839,2.274492493166273,1.241338023922507,3.815487831069878,0.059006211180124224,0.36024844720496896,0.4161490683229814
SOL/USDT:USDT,1h,15m,oos,False,151,151,0.0,1.9897096583587504,1.3537205204528764,4.336829765320013,0.033112582781456956,0.39072847682119205,0.32450331125827814
SOL/USDT:USDT,1h,1h,is,False,324,302,0.06790123456790123,3.764659749134074,1.8682566364615307,7.1392286759643095,0.013245033112582781,0.5827814569536424,0.2847682119205298
SOL/USDT:USDT,1h,1h,oos,False,151,151,0.0,3.6454807060955687,2.108221349151824,6.138874343857269,0.033112582781456956,0.5364238410596026,0.2251655629139073
SOL/USDT:USDT,1h,5m,is,False,324,324,0.0,1.695483875834692,0.9576542917166302,2.960990574566126,0.08024691358024691,0.24691358024691357,0.4382716049382716
SOL/USDT:USDT,1h,5m,oos,False,151,151,0.0,1.8392211282713762,0.9315989344629148,3.5035765501856684,0.07947019867549669,0.31788079470198677,0.37748344370860926
SOL/USDT:USDT,1h,combined,is,False,324,324,0.0,1.6219918000679319,0.8820225148394784,2.754274758251267,0.09876543209876543,0.2191358024691358,0.4567901234567901
SOL/USDT:USDT,1h,combined,oos,False,151,151,0.0,1.4863526576846315,0.8356515309734154,3.2762496318990655,0.11258278145695365,0.2913907284768212,0.3841059602649007
BNB/USDT:USDT,1h,15m,is,False,297,293,0.013468013468013467,2.1243421189223715,1.0716229306908678,3.5270731456182696,0.10238907849829351,0.310580204778157,0.447098976109215
BNB/USDT:USDT,1h,15m,oos,False,164,164,0.0,2.5808538764879305,1.339455012760447,4.0103076809993,0.036585365853658534,0.3719512195121951,0.34146341463414637
BNB/USDT:USDT,1h,1h,is,False,297,286,0.037037037037037035,3.256174473180111,1.6058287440529873,5.537956862800276,0.038461538461538464,0.5244755244755245,0.4090909090909091
BNB/USDT:USDT,1h,1h,oos,False,164,162,0.012195121951219513,3.6613503792757194,1.8602117583231286,7.047039705948797,0.018518518518518517,0.5802469135802469,0.22839506172839505
BNB/USDT:USDT,1h,5m,is,False,297,296,0.003367003367003367,1.6058443996146765,0.8936586850719528,2.5946056824128214,0.12162162162162163,0.20945945945945946,0.47297297297297297
BNB/USDT:USDT,1h,5m,oos,False,164,164,0.0,1.852603771289021,1.0744583188279422,2.9825688690814225,0.042682926829268296,0.24390243902439024,0.38414634146341464
BNB/USDT:USDT,1h,combined,is,False,297,296,0.003367003367003367,1.4244118845495701,0.7775876885727804,2.458800332387068,0.15202702702702703,0.17567567567567569,0.5
BNB/USDT:USDT,1h,combined,oos,False,164,164,0.0,1.716273525225989,0.8995239392436646,2.7916987362693293,0.07317073170731707,0.21951219512195122,0.4146341463414634
XRP/USDT:USDT,1h,15m,is,False,295,292,0.010169491525423728,1.9157828871416904,1.0056998333153246,3.4798598066048667,0.05136986301369863,0.3219178082191781,0.3835616438356164
XRP/USDT:USDT,1h,15m,oos,False,129,129,0.0,2.2552667081630062,0.9545289450470301,4.0289893777406105,0.10077519379844961,0.3798449612403101,0.3798449612403101
XRP/USDT:USDT,1h,1h,is,False,295,289,0.020338983050847456,2.455281104555162,1.5199435532644059,5.325474135227318,0.01384083044982699,0.43252595155709345,0.31141868512110726
XRP/USDT:USDT,1h,1h,oos,False,129,124,0.03875968992248062,3.070955711153604,1.377471832396635,6.215180095878656,0.056451612903225805,0.5080645161290323,0.3225806451612903
XRP/USDT:USDT,1h,5m,is,False,295,293,0.006779661016949152,1.5760158869925271,0.8579951219182592,2.849946266936993,0.10238907849829351,0.2354948805460751,0.44368600682593856
