symbol,timeframe,segment,lens,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,real_zones,fake_zones,pool_k,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold,real_mean_net_r,random_mean_net_r,real_taps,real_invalidation_taps,fake_taps,fake_invalidation_taps
ETH/USDT:USDT,2h,oos_warm,baseline,False,0.0210908425772122,145,145,0,974,722,2888,4,-0.0554328548348206,-0.2165587040374734,0.1480616373073006,0.185,200,0,-0.2809501867481839,0.0309412705384518,-0.0520949007816002,2161,229,8768,1071
ETH/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.0200815746248241,142,142,0,964,722,2888,4,-0.0644569977907509,-0.2290536041081357,0.10492134222408,0.265,200,0,-0.2809501867481839,-0.0140607030626069,-0.0605166013491256,2161,229,8768,1071
SOL/USDT:USDT,2h,is,baseline,False,-0.0295495248809545,235,235,0,1572,472,1888,4,0.0162521806813403,-0.1877246026557533,0.2897629341020449,0.625,200,0,48.82705411433984,-0.016373241667383,0.0111311141126353,1411,140,5487,642
SOL/USDT:USDT,2h,is,pen_5bp,False,-0.103004070942122,233,233,0,1561,472,1888,4,-0.0156007804360304,-0.2337246213056455,0.2245820006344671,0.79,200,0,48.82705411433984,-0.050782212949393,-0.0137000072848785,1411,140,5487,642
SOL/USDT:USDT,2h,oos_warm,baseline,False,-0.1957553733734452,125,125,0,837,716,2864,4,-0.1195975010215796,-0.2549776797012257,0.0359505679425765,0.85,200,0,-0.5136002197006577,-0.1676450362052172,-0.1362318241359963,2190,206,8521,943
SOL/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.2017690100642181,127,127,0,829,716,2864,4,-0.1323008895110313,-0.2884293642967119,0.0356732669867507,0.805,200,0,-0.5136002197006577,-0.205239700190373,-0.1629559623744665,2190,206,8521,943
BNB/USDT:USDT,2h,is,baseline,False,-0.2589821512005377,239,239,0,1608,483,1932,4,-0.0687449933343669,-0.2693569386158894,0.2066270413574844,0.975,200,0,16.456110735989196,-0.1571626948661166,-0.0445225633175116,1299,162,5260,747
BNB/USDT:USDT,2h,is,pen_5bp,False,-0.2660843848908927,237,237,0,1594,483,1932,4,-0.1158907733959928,-0.3068697625033563,0.0948876007138946,0.935,200,0,16.456110735989196,-0.1595466837561344,-0.0913752191274855,1299,162,5260,747
BNB/USDT:USDT,2h,oos_warm,baseline,False,-0.1688816371498132,137,137,0,849,710,2840,4,-0.054783018291448,-0.2432329488971108,0.1468344115361258,0.9,200,0,0.111399817727017,-0.1334623868940773,-0.0678607579747348,1979,240,8007,1018
BNB/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.1850990861890354,133,133,0,833,710,2840,4,-0.0841293690453588,-0.2278068002558728,0.1083964808760451,0.895,200,0,0.111399817727017,-0.1618482453431595,-0.1041855940487352,1979,240,8007,1018
XRP/USDT:USDT,2h,is,baseline,False,-0.1095066421742865,265,265,0,1602,470,1880,4,-0.1540460457158896,-0.3624455960262235,0.0891431215189215,0.285,200,0,1.5046728971962615,-0.06303192023403,-0.0979798069523429,1543,203,5419,887
XRP/USDT:USDT,2h,is,pen_5bp,False,-0.1182243813593,264,264,0,1593,470,1880,4,-0.1866405278226076,-0.3729838565644518,0.0806740800676992,0.245,200,0,1.5046728971962615,-0.0679254165749373,-0.1178421772284423,1543,203,5419,887
XRP/USDT:USDT,2h,oos_warm,baseline,False,-0.0781412625458415,115,115,0,690,680,2720,4,-0.0575529501016165,-0.2007726091922534,0.0874957091083206,0.585,200,0,0.8586549421918255,-0.0842651779081209,-0.080505056982373,2156,271,8011,1135
XRP/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.1018304537998765,113,113,0,684,680,2720,4,-0.0665837248886332,-0.2140689937766591,0.1132045584050078,0.63,200,0,0.8586549421918255,-0.1107651278119987,-0.0968668283809741,2156,271,8011,1135
TRX/USDT:USDT,2h,is,baseline,False,-0.1672548660476526,250,250,0,1250,469,1876,4,-0.1912113029068172,-0.3550532860399714,0.024123479349115,0.36,200,0,3.2334111370456817,-0.0535600257615032,-0.1437351168330023,1421,176,5238,700
TRX/USDT:USDT,2h,is,pen_5bp,False,-0.1814524310361638,250,250,0,1220,469,1876,4,-0.2269733024488948,-0.3943362308877444,-0.0151328380917228,0.29,200,0,3.2334111370456817,-0.065403555397716,-0.1876207681524797,1421,176,5238,700
TRX/USDT:USDT,2h,oos_warm,baseline,False,-0.1265795621355984,103,103,0,575,709,2836,4,-0.1428184376197045,-0.234747671110479,-0.0414532717342775,0.355,200,0,1.5935087442886404,-0.2018201690563784,-0.3376535943600844,2053,237,7653,983
TRX/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.1299442546164498,101,101,0,562,709,2836,4,-0.153291337316918,-0.2566719783204169,-0.0356304931538843,0.285,200,0,1.5935087442886404,-0.209538764250388,-0.3692044966620084,2053,237,7653,983
DOGE/USDT:USDT,2h,is,baseline,False,0.1208926037973351,245,245,0,1426,448,1792,4,-0.1756728990191127,-0.3542891595976968,0.0499242485441349,0.01,200,0,37.512011473646474,0.0384721046473124,-0.1250679480797053,1302,187,4911,778
DOGE/USDT:USDT,2h,is,pen_5bp,False,0.0854502845590677,242,242,0,1421,448,1792,4,-0.1968814507736313,-0.3680814455599037,0.0322177133511691,0.01,200,0,37.512011473646474,0.031360276850831,-0.1458900881994701,1302,187,4911,778
DOGE/USDT:USDT,2h,oos_warm,baseline,False,-0.1522987410124929,133,133,0,857,683,2732,4,-0.1695737829918805,-0.306604573944958,-0.029982685088031,0.405,200,0,-0.3071691697364693,-0.1044768405486828,-0.2168195502365743,2069,258,7817,1078
DOGE/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.1948686899031619,129,129,0,845,683,2732,4,-0.1712573122581691,-0.2894721794936753,-0.0108838285111402,0.625,200,0,-0.3071691697364693,-0.1521282146507956,-0.2279966727991879,2069,258,7817,1078
LINK/USDT:USDT,2h,is,baseline,False,-0.0877716017703471,262,262,0,1715,470,1880,4,-0.1387105374195243,-0.3234905092161712,0.0656239761050279,0.3,200,0,-0.107928601079286,-0.0115816652830569,-0.0843432259281122,1428,147,5687,684
LINK/USDT:USDT,2h,is,pen_5bp,False,-0.1644068029494728,260,260,0,1699,470,1880,4,-0.1690363877007798,-0.3619560421474163,0.0617738639340273,0.455,200,0,-0.107928601079286,-0.0520161708762393,-0.1079802891520694,1428,147,5687,684
