lens,symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
pen_5bp,XRP/USDT:USDT,4h,full,69,58,0.5862068965517241,0.23558748846234248,0.04197993634679853,,
pen_5bp,XRP/USDT:USDT,4h,oos_warm,31,25,0.44,0.0006997777355762082,0.04197993634679837,,
pen_5bp,TRX/USDT:USDT,1h,full,297,211,0.6113744075829384,0.8621888351363468,0.03997905408746955,,
pen_5bp,TRX/USDT:USDT,1h,oos_warm,93,59,0.5254237288135594,0.04883118134778542,0.03997905408746925,,
pen_5bp,TRX/USDT:USDT,4h,full,84,69,0.6521739130434783,0.4300277813750861,0.03174749222355513,,
pen_5bp,TRX/USDT:USDT,4h,oos_warm,35,26,0.5,0.0386721627878278,0.0226441336220704,,
pen_5bp,DOGE/USDT:USDT,1h,full,275,223,0.5964125560538116,1.2035962849195796,0.04868357314609612,,
pen_5bp,DOGE/USDT:USDT,1h,oos_warm,103,85,0.5058823529411764,0.09497862937756545,0.04799870649415473,,
pen_5bp,DOGE/USDT:USDT,4h,full,82,62,0.5806451612903226,0.25079899609645545,0.04283028776199397,,
pen_5bp,DOGE/USDT:USDT,4h,oos_warm,32,21,0.5714285714285714,0.06664086545943428,0.026503766348824783,,
pen_5bp,LINK/USDT:USDT,1h,full,314,254,0.5393700787401575,0.7415707431537728,0.06065686772608104,,
pen_5bp,LINK/USDT:USDT,1h,oos_warm,105,88,0.4659090909090909,0.043503344552021005,0.058516603183798074,,
pen_5bp,LINK/USDT:USDT,4h,full,62,55,0.6,0.27681678329969256,0.040913415986377606,,
pen_5bp,LINK/USDT:USDT,4h,oos_warm,19,18,0.7777777777777778,0.16945414933084704,0.010548949401307862,,
pen_5bp,LTC/USDT:USDT,1h,full,284,229,0.537117903930131,0.4806202923879084,0.09446372959460998,,
pen_5bp,LTC/USDT:USDT,1h,oos_warm,105,80,0.5,0.08033936377007704,0.09446372959461045,,
pen_5bp,LTC/USDT:USDT,4h,full,63,51,0.5882352941176471,0.22847236824402042,0.04105361843524239,,
pen_5bp,LTC/USDT:USDT,4h,oos_warm,33,23,0.5652173913043478,0.08106601113900179,0.04105361843524245,,
pen_5bp,ADA/USDT:USDT,1h,full,351,269,0.5315985130111525,0.588090905472239,0.05797395519523595,,
pen_5bp,ADA/USDT:USDT,1h,oos_warm,123,94,0.5,0.11598240798316274,0.05797395519523576,,
pen_5bp,ADA/USDT:USDT,4h,full,80,60,0.5333333333333333,0.18541410415842166,0.06080749854518317,,
pen_5bp,ADA/USDT:USDT,4h,oos_warm,29,23,0.5652173913043478,0.08546378359044211,0.031048004776888457,,
pen_5bp,DOT/USDT:USDT,1h,full,293,225,0.5822222222222222,1.0082049126701749,0.04983985841430004,,
pen_5bp,DOT/USDT:USDT,1h,oos_warm,111,83,0.5180722891566265,0.13554375314073258,0.04764458311198248,,
pen_5bp,DOT/USDT:USDT,4h,full,78,64,0.53125,0.17716201749819738,0.04080327012214848,,
pen_5bp,DOT/USDT:USDT,4h,oos_warm,25,22,0.4090909090909091,-0.013467467440763176,0.04080327012214838,,
pen_5bp,BCH/USDT:USDT,1h,full,294,230,0.6086956521739131,1.3481957850195763,0.05366657410636668,,
pen_5bp,BCH/USDT:USDT,1h,oos_warm,110,87,0.5977011494252874,0.36219904220714505,0.045259898565954804,,
pen_5bp,BCH/USDT:USDT,4h,full,69,55,0.5636363636363636,0.1910431552651813,0.03409164515927574,,
pen_5bp,BCH/USDT:USDT,4h,oos_warm,25,22,0.5,0.02277439810837295,0.023758974434724675,,
pen_5bp,ETC/USDT:USDT,1h,full,285,229,0.611353711790393,1.3216918580610688,0.08539980095981056,,
pen_5bp,ETC/USDT:USDT,1h,oos_warm,87,68,0.5441176470588235,0.12482743890187321,0.05283451887076946,,
pen_5bp,ETC/USDT:USDT,4h,full,78,68,0.6176470588235294,0.3759478056799424,0.040737338560171345,,
pen_5bp,ETC/USDT:USDT,4h,oos_warm,39,32,0.59375,0.14364456357608416,0.030935429095136923,,
pen_5bp,ATOM/USDT:USDT,1h,full,295,238,0.5714285714285714,0.9133598093948109,0.08907836281643547,,
pen_5bp,ATOM/USDT:USDT,1h,oos_warm,91,77,0.5064935064935064,0.07621701059453607,0.08907836281643507,,
pen_5bp,ATOM/USDT:USDT,4h,full,99,79,0.5822784810126582,0.3668489344116997,0.04486640049979246,,
pen_5bp,ATOM/USDT:USDT,4h,oos_warm,28,20,0.65,0.11851062372867964,0.020684140542324893,,
pen_5bp,XLM/USDT:USDT,1h,full,274,224,0.5803571428571429,0.9986400879949401,0.06252260445418951,,
pen_5bp,XLM/USDT:USDT,1h,oos_warm,89,73,0.5342465753424658,0.16330967068936605,0.06252260445418974,,
pen_5bp,XLM/USDT:USDT,4h,full,48,40,0.35,-0.07448472929631116,0.13682034097354798,,
pen_5bp,XLM/USDT:USDT,4h,oos_warm,14,13,0.46153846153846156,0.011791311492457681,0.021195010208774692,,
pen_5bp,ALGO/USDT:USDT,1h,full,383,292,0.565068493150685,1.1309738148654735,0.07737365919364955,,
pen_5bp,ALGO/USDT:USDT,1h,oos_warm,133,95,0.5263157894736842,0.08358201050669978,0.0773736591936498,,
pen_5bp,ALGO/USDT:USDT,4h,full,88,70,0.5428571428571428,0.23178389971930702,0.0536238869487017,,
