lens,symbol,timeframe,direction,month,net_pp_sum,num_trades,symbol_buy_hold,funding_gap,num_seeds
baseline,BNB/USDT:USDT,1h,long,2024-12,-2.4016993891702905,2.0,0.0692779799887304,False,1
baseline,BNB/USDT:USDT,1h,long,2025-01,0.8680655680587672,4.0,-0.0418981383317077,False,1
baseline,BNB/USDT:USDT,1h,long,2025-02,1.363673342983324,7.0,-0.0995818206883875,False,1
baseline,BNB/USDT:USDT,1h,long,2025-03,1.7836033995242138,3.0,-0.0043637201949676,False,1
baseline,BNB/USDT:USDT,1h,long,2025-04,1.259824554787757,1.0,-0.0191838672188301,False,1
baseline,BNB/USDT:USDT,1h,long,2025-05,-0.4229584303246231,1.0,0.0981072871115265,False,1
baseline,BNB/USDT:USDT,1h,long,2025-06,-1.7526911839110229,3.0,-0.0055550510095964,False,1
baseline,BNB/USDT:USDT,1h,long,2025-07,1.006744830823516,1.0,0.2129204005509897,False,1
baseline,BNB/USDT:USDT,1h,long,2025-08,-1.8495278755468765,2.0,0.1325695581014729,False,1
baseline,BNB/USDT:USDT,1h,long,2025-09,-1.7027540045757483,4.0,0.1921317907325777,False,1
baseline,BNB/USDT:USDT,1h,long,2025-10,-0.676282204745358,3.0,0.059677654964211,False,1
baseline,BNB/USDT:USDT,1h,long,2025-11,-1.127285103072408,4.0,-0.2001517062382336,False,1
baseline,BNB/USDT:USDT,1h,long,2025-12,-1.2352906808104889,1.0,0.0462690720776313,False,1
baseline,BNB/USDT:USDT,1h,long,2026-01,1.7608980364965665,3.0,-0.0963313363095925,False,1
baseline,BNB/USDT:USDT,1h,long,2026-02,5.6011410329287035,7.0,-0.1865715905046857,False,1
baseline,BNB/USDT:USDT,1h,long,2026-04,0.9899094776155004,2.0,0.00724827383095,False,1
baseline,BNB/USDT:USDT,1h,long,2026-05,-0.0644287128484608,3.0,0.1545994932761643,False,1
baseline,BNB/USDT:USDT,1h,long,2026-06,7.09419556908823,7.0,-0.2114211550940947,False,1
