hold,floor,threshold,segment,num_trades,mean_net_r,se_net_r,fixed_return,fixed_mdd,compound_return,compound_mdd,compound_ruined
4,0.03,15.0,full,1305,0.11376355650984077,0.042011195456311476,1.4846144124534235,0.3130218119392443,2.826118001367489,0.4961110493947265,False
4,0.03,15.0,is,906,0.10501161758115442,0.0526827820135339,0.9514052552852614,0.3130218119392443,1.3276375619574194,0.47057023754228644,False
4,0.03,15.0,oos_warm,399,0.13323020511734435,0.0676702168604499,0.5315885184182028,0.463642323967287,0.6411447864105044,0.4961110493947264,False
8,0.03,15.0,full,1305,0.13031063903608653,0.04732237193526811,1.7005538394209263,0.3411131346639409,3.561807131585641,0.5580341329096963,False
8,0.03,15.0,is,906,0.12009542832998253,0.058323086232596806,1.088064580669641,0.3411131346639409,1.6003685718197578,0.5580341329096963,False
8,0.03,15.0,oos_warm,399,0.15047117188736597,0.07992956476072621,0.6003799758305881,0.522524540773321,0.733784036440144,0.5125282510251374,False
12,0.03,15.0,full,1305,0.1138322391512801,0.05247199775773916,1.4855107209242049,0.5175657497552115,2.542898820092368,0.7247656232810138,False
12,0.03,15.0,is,906,0.09266856230885653,0.06597011894571517,0.8395771745182388,0.5175657497552115,0.96213808644911,0.7247656232810138,False
12,0.03,15.0,oos_warm,399,0.1572292076044857,0.08331655524415438,0.627344538341897,0.5361004998035348,0.7735589615066096,0.5170272675608274,False
16,0.03,15.0,full,1305,0.11844338936370909,0.053032967862677145,1.5456862311964037,0.5658942906038222,2.726373910329847,0.7630843678713087,False
16,0.03,15.0,is,906,0.09474125866840757,0.06506293024287438,0.8583558035357695,0.5658942906038222,0.998850729134938,0.7630843678713087,False
16,0.03,15.0,oos_warm,399,0.14959622116203775,0.08785561957729279,0.5968889224365292,0.5385289376079165,0.710337572174917,0.5237209899341404,False
24,0.03,15.0,full,1305,0.1240193369545453,0.05708279086787665,1.6184523472568237,0.5576024207534858,2.8662217649446053,0.7770308283885676,False
24,0.03,15.0,is,906,0.11985065504051413,0.07054708456362088,1.0858469346670603,0.5576024207534858,1.4369683221494434,0.7770308283885676,False
24,0.03,15.0,oos_warm,399,0.10150871941404414,0.08932316977443923,0.4050197904620354,0.5563883505437942,0.40923771369294304,0.5359973765694557,False
4,0.03,20.0,full,2771,0.09056059954477579,0.03138917599037131,2.509434213385745,0.507905168078744,7.668537390288471,0.6749094513956346,False
4,0.03,20.0,is,1940,0.09037334388703043,0.04048059459185389,1.7532428714083936,0.507905168078744,3.3607459514586315,0.6749094513956346,False
4,0.03,20.0,oos_warm,831,0.0922013192260787,0.045067612174703606,0.7661929627687141,0.55974527263952,1.0075854319353645,0.6156881413247959,False
8,0.03,20.0,full,2769,0.08983258175735143,0.03217939526060759,2.48746418886107,0.4878130005183473,7.255201452432278,0.7663385901440274,False
8,0.03,20.0,is,1938,0.08149358337629754,0.040201137063472156,1.579345645832651,0.4878130005183473,2.65019419529169,0.7663385901440274,False
8,0.03,20.0,oos_warm,831,0.1081743700195041,0.051977554050851735,0.8989290148620765,0.6664090006134585,1.2415667925519087,0.6291551523775396,False
12,0.03,20.0,full,2768,0.07822182538145513,0.034445956557380045,2.1651801265586887,0.5528959691971805,4.660776643222358,0.8431511309469308,False
12,0.03,20.0,is,1937,0.06051752153409359,0.04259566128445543,1.1722243921153979,0.5528959691971805,1.344920213276918,0.8418402546657013,False
