symbol,timeframe,direction,month,net_pp_sum,num_trades,symbol_buy_hold,funding_gap
BTC/USDT:USDT,1h,long,2026-01,-2.0235746712744485,7,-0.1136621621621621,False
BTC/USDT:USDT,1h,long,2026-02,0.2541329444953675,8,-0.1299129745292889,False
BTC/USDT:USDT,1h,long,2026-03,1.6641513413905975,1,0.037893536121673,False
BTC/USDT:USDT,1h,long,2026-04,-0.5173876215795876,1,0.1207126229134996,False
BTC/USDT:USDT,1h,long,2026-05,-1.1586987077460007,2,-0.0580468590137098,False
BTC/USDT:USDT,1h,long,2026-06,3.0955267765715497,6,-0.1790983520447111,False
BTC/USDT:USDT,1h,long,2026-07,1.114131131650091,2,0.1035056900379334,False
BTC/USDT:USDT,1h,short,2024-08,-0.8483591563714575,1,-0.0977668382599431,False
BTC/USDT:USDT,1h,short,2024-09,0.6950032626328979,5,0.1054863004010959,False
BTC/USDT:USDT,1h,short,2024-10,0.6717419351602334,3,0.157051703939661,False
BTC/USDT:USDT,1h,short,2024-11,1.6188564243070689,5,0.388220820053097,False
BTC/USDT:USDT,1h,short,2024-12,-1.9399780730566456,2,-0.0382069210847468,False
BTC/USDT:USDT,1h,short,2025-01,-1.1849353228365909,3,0.0824563944728797,False
BTC/USDT:USDT,1h,short,2025-02,-0.1584049786738289,2,-0.1620617950053476,False
BTC/USDT:USDT,1h,short,2025-03,-0.639037931165923,6,-0.0405800875968082,False
BTC/USDT:USDT,1h,short,2025-04,-0.8459447195260377,6,0.1057813063536687,False
BTC/USDT:USDT,1h,short,2025-05,-1.3305416658858675,2,0.0842265303095828,False
BTC/USDT:USDT,1h,short,2025-06,0.0369579656245533,3,0.0142456240712309,False
BTC/USDT:USDT,1h,short,2025-07,1.067052776900277,5,0.0952252931949613,False
BTC/USDT:USDT,1h,short,2025-08,0.1063497485742773,3,-0.0444735652321343,False
BTC/USDT:USDT,1h,short,2025-09,0.1144353931508735,3,0.0439691577546597,False
BTC/USDT:USDT,1h,short,2025-10,1.337082697643568,2,-0.0758744656371359,False
BTC/USDT:USDT,1h,short,2025-11,0.9184508081685444,1,-0.179255810234154,False
BTC/USDT:USDT,1h,short,2025-12,-0.005299983125379,2,0.0158461809613921,False
BTC/USDT:USDT,1h,short,2026-02,1.550275272469691,4,-0.1299129745292889,False
BTC/USDT:USDT,1h,short,2026-03,2.3792883741009048,4,0.037893536121673,False
BTC/USDT:USDT,1h,short,2026-04,-3.0102467744454513,4,0.1207126229134996,False
BTC/USDT:USDT,1h,short,2026-05,0.0160600943639527,2,-0.0580468590137098,False
BTC/USDT:USDT,1h,short,2026-06,2.192553345871662,2,-0.1790983520447111,False
BTC/USDT:USDT,1h,short,2026-07,-1.0508441449258692,3,0.1035056900379334,False
BTC/USDT:USDT,2h,long,2024-08,2.5344941057255483,3,-0.0977668382599431,False
BTC/USDT:USDT,2h,long,2024-09,1.3957688493125175,2,0.1054863004010959,False
BTC/USDT:USDT,2h,long,2024-10,0.3714152803241843,3,0.157051703939661,False
BTC/USDT:USDT,2h,long,2025-01,1.8976705447277225,1,0.0824563944728797,False
BTC/USDT:USDT,2h,long,2025-03,-0.6676293338848285,1,-0.0405800875968082,False
BTC/USDT:USDT,2h,long,2025-04,-1.5880128101112354,1,0.1057813063536687,False
BTC/USDT:USDT,2h,long,2025-05,-1.0646330453768875,1,0.0842265303095828,False
BTC/USDT:USDT,2h,long,2025-07,-0.6386142954282201,1,0.0952252931949613,False
BTC/USDT:USDT,2h,long,2025-08,3.0731362301060487,5,-0.0444735652321343,False
BTC/USDT:USDT,2h,long,2025-09,1.0156677161530974,2,0.0439691577546597,False
BTC/USDT:USDT,2h,long,2025-11,-0.6881884271276684,3,-0.179255810234154,False
BTC/USDT:USDT,2h,long,2025-12,0.8922632001126388,1,0.0158461809613921,False
BTC/USDT:USDT,2h,long,2026-01,-0.5378813912702843,4,-0.1136621621621621,False
BTC/USDT:USDT,2h,long,2026-02,3.5463559807629825,4,-0.1299129745292889,False
BTC/USDT:USDT,2h,long,2026-03,-0.6681567413070879,2,0.037893536121673,False
BTC/USDT:USDT,2h,long,2026-04,0.99416154078485,1,0.1207126229134996,False
BTC/USDT:USDT,2h,long,2026-06,-0.0811141360628646,3,-0.1790983520447111,False
BTC/USDT:USDT,2h,long,2026-07,1.2786079187765689,2,0.1035056900379334,False
BTC/USDT:USDT,2h,short,2024-08,4.244031493855742,2,-0.0977668382599431,False
BTC/USDT:USDT,2h,short,2024-09,1.60498533186209,3,0.1054863004010959,False
BTC/USDT:USDT,2h,short,2024-10,0.938974756535961,1,0.157051703939661,False
BTC/USDT:USDT,2h,short,2024-11,1.6363420086449558,1,0.388220820053097,False
BTC/USDT:USDT,2h,short,2024-12,-1.6342201412781576,1,-0.0382069210847468,False
BTC/USDT:USDT,2h,short,2025-01,-1.878412494573093,2,0.0824563944728797,False
BTC/USDT:USDT,2h,short,2025-03,1.5837305413508374,1,-0.0405800875968082,False
BTC/USDT:USDT,2h,short,2025-04,-0.4333016065170493,2,0.1057813063536687,False
BTC/USDT:USDT,2h,short,2025-05,-0.6780215043630671,1,0.0842265303095828,False
BTC/USDT:USDT,2h,short,2025-06,-0.8606173587008616,1,0.0142456240712309,False
BTC/USDT:USDT,2h,short,2025-07,-0.6722014694299154,1,0.0952252931949613,False
BTC/USDT:USDT,2h,short,2025-09,1.5007703298891464,3,0.0439691577546597,False
BTC/USDT:USDT,2h,short,2025-10,0.6173306512001638,1,-0.0758744656371359,False
BTC/USDT:USDT,2h,short,2025-12,-0.6897187245946435,4,0.0158461809613921,False
BTC/USDT:USDT,2h,short,2026-02,0.2252784815689048,3,-0.1299129745292889,False
BTC/USDT:USDT,2h,short,2026-03,2.7367091682001496,1,0.037893536121673,False
BTC/USDT:USDT,2h,short,2026-05,-0.1845585378903473,2,-0.0580468590137098,False
BTC/USDT:USDT,2h,short,2026-06,-1.042187329099128,1,-0.1790983520447111,False
BTC/USDT:USDT,4h,long,2024-09,0.6818865275028309,1,0.1054863004010959,False
BTC/USDT:USDT,4h,long,2024-12,2.476316459121063,1,-0.0382069210847468,False
BTC/USDT:USDT,4h,long,2025-01,2.4763164591210627,1,0.0824563944728797,False
BTC/USDT:USDT,4h,long,2025-03,0.7889688875111238,2,-0.0405800875968082,False
BTC/USDT:USDT,4h,long,2025-08,-1.1280470654711092,1,-0.0444735652321343,False
BTC/USDT:USDT,4h,long,2025-09,-0.7541937378624118,1,0.0439691577546597,False
BTC/USDT:USDT,4h,long,2025-11,-2.6455497660867024,1,-0.179255810234154,False
BTC/USDT:USDT,4h,long,2026-01,1.0465253969423236,1,-0.1136621621621621,False
BTC/USDT:USDT,4h,long,2026-02,2.302854193743703,2,-0.1299129745292889,False
BTC/USDT:USDT,4h,long,2026-03,-1.5557737443471311,1,0.037893536121673,False
BTC/USDT:USDT,4h,long,2026-06,0.7593792555942955,2,-0.1790983520447111,False
BTC/USDT:USDT,4h,long,2026-07,1.9766130404597215,1,0.1035056900379334,False
BTC/USDT:USDT,4h,short,2024-09,0.7322757382257117,2,0.1054863004010959,False
BTC/USDT:USDT,4h,short,2024-10,2.0867837007538412,1,0.157051703939661,False
BTC/USDT:USDT,4h,short,2025-01,2.1527729621629375,1,0.0824563944728797,False
BTC/USDT:USDT,4h,short,2025-04,3.3414997086568317,1,0.1057813063536687,False
BTC/USDT:USDT,4h,short,2025-06,-0.8606173587008619,1,0.0142456240712309,False
BTC/USDT:USDT,4h,short,2025-08,-0.8355984587681171,1,-0.0444735652321343,False
BTC/USDT:USDT,4h,short,2025-09,2.5409114338587777,2,0.0439691577546597,False
BTC/USDT:USDT,4h,short,2025-10,1.0494055925104178,2,-0.0758744656371359,False
ETH/USDT:USDT,15m,long,2024-08,0.90355866212155,16,-0.2154375685189292,False
ETH/USDT:USDT,15m,long,2024-09,-0.7629127871800879,6,0.0729784908539727,False
ETH/USDT:USDT,15m,long,2024-10,3.5849157121767488,18,0.0292294174142264,False
ETH/USDT:USDT,15m,long,2024-11,-1.05169931023888,15,0.4754635546689918,False
ETH/USDT:USDT,15m,long,2024-12,2.5655999602388286,18,-0.1009554757978464,False
ETH/USDT:USDT,15m,long,2025-01,7.024844969281416,15,-0.0178188702610021,False
ETH/USDT:USDT,15m,long,2025-02,3.759344041123105,13,-0.282274678937944,False
ETH/USDT:USDT,15m,long,2025-03,2.9198111526352366,12,-0.1782053595596859,False
ETH/USDT:USDT,15m,long,2025-04,-0.9680906600758624,14,-0.0585544661565688,False
ETH/USDT:USDT,15m,long,2025-05,3.725341491574321,15,0.375513692105879,False
ETH/USDT:USDT,15m,long,2025-06,0.6440986958751596,10,-0.0211159664130438,False
ETH/USDT:USDT,15m,long,2025-07,3.436554936518289,14,0.5379027728662658,False
ETH/USDT:USDT,15m,long,2025-08,-0.2032156687925521,14,0.2590508315119808,False
ETH/USDT:USDT,15m,long,2025-09,-1.4921596739237502,14,-0.0394736842105263,False
ETH/USDT:USDT,15m,long,2025-10,5.046096640769115,18,-0.1149211316543369,False
ETH/USDT:USDT,15m,long,2025-11,2.058265114166941,8,-0.2278120109293568,False
ETH/USDT:USDT,15m,long,2025-12,3.914327429651963,13,0.0618165699721535,False
ETH/USDT:USDT,15m,long,2026-01,2.463751514675447,11,-0.1838840429110504,False
ETH/USDT:USDT,15m,long,2026-02,-3.374850558157368,13,-0.1346648803018015,False
ETH/USDT:USDT,15m,long,2026-03,3.9914331056267423,12,0.0855888618930447,False
ETH/USDT:USDT,15m,long,2026-04,-1.2048288828570983,6,0.0550261829063023,False
ETH/USDT:USDT,15m,long,2026-05,-1.1657056886470316,8,-0.1255393707994456,False
ETH/USDT:USDT,15m,long,2026-06,-2.6613782690032304,14,-0.2166151545363908,False
ETH/USDT:USDT,15m,long,2026-07,-0.17172931439673,6,0.2047896971166098,False
ETH/USDT:USDT,15m,short,2024-08,1.383769071663319,6,-0.2154375685189292,False
ETH/USDT:USDT,15m,short,2024-09,0.9867934699933536,13,0.0729784908539727,False
ETH/USDT:USDT,15m,short,2024-10,-0.2994321118301132,5,0.0292294174142264,False
ETH/USDT:USDT,15m,short,2024-11,-0.8371794259639431,27,0.4754635546689918,False
ETH/USDT:USDT,15m,short,2024-12,-0.8249530136709573,15,-0.1009554757978464,False
ETH/USDT:USDT,15m,short,2025-01,-1.811770323270231,10,-0.0178188702610021,False
ETH/USDT:USDT,15m,short,2025-02,-0.3386447110651301,10,-0.282274678937944,False
ETH/USDT:USDT,15m,short,2025-03,0.7407380328557854,7,-0.1782053595596859,False
ETH/USDT:USDT,15m,short,2025-04,3.3524187264837786,17,-0.0585544661565688,False
ETH/USDT:USDT,15m,short,2025-05,-0.0653572783376269,18,0.375513692105879,False
ETH/USDT:USDT,15m,short,2025-06,1.5548705204701387,13,-0.0211159664130438,False
