arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades
기준,0.003,0.6,full,False,48,12,67207,0.6718942967250435,-0.006836669985124635,0.05439777908213205,-1.2600939190997578,1.4187493622014922,-0.8881723246341787,21,1.8500882005344574,1.8500882005344574,0.5894326483848409,0.0032729200035570517,8249,17803,105143,0,4013
기준,0.003,0.6,is,False,48,12,47152,0.66949440108585,-0.007002822134026624,0.05131286272616606,-0.04746107471279774,0.8832132480907007,-0.05373682382527371,21,0.08889031365076061,0.08889031365076061,0.5503902273498473,0.002064082154978705,0,17803,105143,0,3171
기준,0.003,0.6,oos_warm,False,48,12,20055,0.6775367738718524,-0.006446023955454622,0.06165083198753455,-1.2126328443869556,2.5675677402425237,-0.472288549735562,15,1.0805333096848433,1.0805333096848433,0.681226626776365,0.007331360641535822,8244,17803,105143,0,842
기준,0.003,0.6,oos,False,48,12,19588,0.6763835001021034,-0.008958882641734112,0.05960685278854396,-1.6722344260271609,2.7125992993459502,-0.6164693865512546,15,0.9805172457133693,0.9805172457133693,0.6867980396160915,0.00837717297695745,8000,17803,105143,0,842
기준,0.004,0.6,full,False,48,12,60029,0.6680937546852355,-0.0013201697230091566,0.05106816061649538,0.05074204949727828,1.2324141828798956,0.04117288668222291,21,344.0856759060565,344.0856759060565,0.5383564610438288,0.005657587793771646,5086,27605,95341,0,3299
기준,0.004,0.6,is,False,48,12,42724,0.6666978747308304,-0.0009206618736477443,0.04939437664739534,0.8720257958540842,0.7665239177468722,1.1376367725319325,21,0.08026128429063073,0.08026128429063073,0.5021767624754236,0.0020335252410949786,0,27605,95341,0,2679
기준,0.004,0.6,oos_warm,False,48,12,17305,0.6715400173360301,-0.0023065073916666984,0.05520053543863072,-0.8212837463568283,2.1989458925325285,-0.37348974758581027,15,26.235754514811884,26.235754514811884,0.6276798613117596,0.008936475052239325,6807,27605,95341,0,620
기준,0.004,0.6,oos,False,48,12,16862,0.6699679753291424,-0.005401400915037684,0.052485882945187357,-1.2987783488596836,2.293149467384801,-0.5663731768609318,15,127.4629309703754,127.4629309703754,0.6332582137350256,0.020254734352647425,6677,27605,95341,0,620
기준,0.005,0.6,full,False,48,12,53326,0.663522484341597,1.3646880404710245e-05,0.04577642045757488,0.2089365490309503,1.172074311582711,0.1782622031437689,21,4.931431553912541,4.931431553912541,0.47689682331320554,0.003529360238214791,3953,37148,85798,0,2811
기준,0.005,0.6,is,False,48,12,38480,0.6642931392931393,0.0033338140713880977,0.04756628672531579,1.439580081002205,0.6837334046857785,2.105469867548433,21,0.07769502812151825,0.07769502812151825,0.44454261954261953,0.0021488871820134784,0,37148,85798,0,2325
기준,0.005,0.6,oos_warm,False,48,12,14846,0.6615249898962684,-0.008592040409709638,0.04113718739939587,-1.230643531971264,2.4112519678632505,-0.5103753354577076,15,1.1298381276056269,1.1298381276056269,0.5607571062912569,0.009087799072977402,5922,37148,85798,0,486
기준,0.005,0.6,oos,False,48,12,14455,0.6596333448633691,-0.01222556360490738,0.03790044759436732,-1.6738783802663013,2.5010382897544985,-0.6692733922240787,15,1.3970830630089934,1.3970830630089934,0.5671393981321342,0.010098793394844369,5711,37148,85798,0,487
기준,0.006,0.6,full,False,48,12,47213,0.6592252133946159,0.00011043086293336554,0.040561276050261,0.17160968596320017,1.1665865737857242,0.14710411539051454,21,848.8567198416062,848.8567198416062,0.40363882828881875,0.017538660934874065,3232,46350,76596,0,2329
기준,0.006,0.6,is,False,48,12,34476,0.6606334841628959,0.00393783995421394,0.043267686115499485,1.384097330895682,0.6478840401279696,2.136334969174879,21,0.08476353318224814,0.08476353318224814,0.3757396449704142,0.002521598679956383,0,46350,76596,0,1962
기준,0.006,0.6,oos_warm,False,48,12,12737,0.6554133626442648,-0.010249446331930995,0.03323567399260375,-1.212487644932479,2.3660362988565447,-0.5124552169881962,15,2.727420884586824,2.727420884586824,0.47915521708408576,0.010113217508298744,4988,46350,76596,0,367
기준,0.006,0.6,oos,False,48,12,12378,0.6534981418645985,-0.01390071520687156,0.029970085555092948,-1.6371622591348525,2.4761491232634247,-0.6611727233039847,15,2.317094893236205,2.317094893236205,0.48553885926644047,0.011187335345309532,4802,46350,76596,0,369
기준,0.008,0.6,full,False,48,12,37503,0.652401141242034,-0.0009294435513107867,0.03205690368401505,-0.13919700509822086,1.1822983384483285,-0.11773424741584745,21,155.0400490230095,155.0400490230095,0.23190144788416928,0.008962890448816926,2346,61355,61591,0,1739
기준,0.008,0.6,is,False,48,12,27989,0.6546143127657293,0.0034819173680219087,0.035881857976966205,1.0991417011705904,0.5993746966156989,1.8338139854364377,21,0.08357094725599076,0.08357094725599076,0.21608489049269355,0.0030295694853862366,0,61355,61591,0,1463
기준,0.008,0.6,oos_warm,False,48,12,9514,0.6458902669749842,-0.013907116535460774,0.02080436577093694,-1.2383387062688036,2.1711743350374015,-0.5703543406372623,15,4.221114388816537,4.221114388816537,0.27843178473828045,0.013066329381026425,3676,61355,61591,0,276
기준,0.008,0.6,oos,False,48,12,9190,0.6435255712731229,-0.018243568998350956,0.016816977372057618,-1.5997459832185472,2.2251178775676914,-0.7189488697862841,15,1.510835899646259,1.510835899646259,0.28302502720348205,0.01212085043981542,3496,61355,61591,0,278
기준,0.003,0.8,full,False,48,12,60986,0.5883973370937592,-0.03103103232888309,0.03276082886027603,-10.58255056313036,3.709598866787275,-2.852747950156523,22,128.0201288481015,128.0201288481015,0.5962188043157446,0.011007567939082346,28104,17803,105143,0,3723
기준,0.003,0.8,is,False,48,12,42804,0.5880291561536305,-0.02745162360456823,0.03332530497344823,-5.866551997330604,2.2198504130221863,-2.642769063589138,22,128.0201288481015,128.0201288481015,0.5575179889729932,0.011007567939082346,9922,17803,105143,0,2919
기준,0.003,0.8,oos_warm,False,48,12,18182,0.5892641073589264,-0.03945766366952529,0.03143194119402933,-4.715998565799664,4.50967152434317,-1.0457521219323276,16,9.84874485569629,9.84874485569629,0.6873281267187328,0.012361094385551346,13723,17803,105143,0,804
기준,0.003,0.8,oos,False,48,12,17773,0.588420638046475,-0.04165151364427805,0.02969365910805929,-4.906452731853694,4.810929191838887,-1.0198555281538648,16,72.8728294987852,72.8728294987852,0.6921172565126877,0.020085819532753957,13523,17803,105143,0,806
기준,0.004,0.8,full,False,48,12,54477,0.5845402646988638,-0.025142980613603587,0.02940219238330548,-9.025130500713304,3.325453286182198,-2.713954978172208,22,201.78743087809315,201.78743087809315,0.5452943444022248,0.012345196058673904,23698,27605,95341,0,3052
기준,0.004,0.8,is,False,48,12,38766,0.5848423876592891,-0.02156385011326961,0.030858721668358412,-4.94562720585097,1.983257200778388,-2.493689272329334,22,201.78743087809315,201.78743087809315,0.5091575091575091,0.012345196058673904,7987,27605,95341,0,2461
기준,0.004,0.8,oos_warm,False,48,12,15711,0.5837947934568137,-0.03397428180232141,0.025808289114009654,-4.079503294862221,3.965463659993535,-1.0287582095428587,16,5103.10795516698,5103.10795516698,0.6344599325313475,0.23540693741644222,10518,27605,95341,0,591
기준,0.004,0.8,oos,False,48,12,15323,0.5827840501207335,-0.03635688685403584,0.02379394530070672,-4.284374160213327,4.183774235696868,-1.0240452564715654,16,74.05154643414984,74.05154643414984,0.639365659466162,0.08895752484402161,10755,27605,95341,0,593
기준,0.005,0.8,full,False,48,12,48544,0.5806484838497034,-0.022551563415934773,0.025099439740520885,-8.03314232460059,3.1898718347466657,-2.518327613384683,22,114.10272367735519,114.10272367735519,0.48539469347396175,0.018175085855563017,19463,37148,85798,0,2603
기준,0.005,0.8,is,False,48,12,35021,0.5824219753861969,-0.017056411839057276,0.02906708955106957,-4.180402987033451,1.843790631989922,-2.2672872475340253,22,114.10272367735519,114.10272367735519,0.4530710145341367,0.018175085855563017,5940,37148,85798,0,2133
기준,0.005,0.8,oos_warm,False,48,12,13523,0.5760556089625083,-0.036782555309288686,0.014824274169650995,-3.852739337567018,3.7707010692075813,-1.0217567679998238,16,149.9162276594429,149.9162276594429,0.5691044886489685,0.11409227814769704,8916,37148,85798,0,470
