timeframe,segment,feature,axis,n,positive_rate,correlation,p_value,hypothesis_sign,direction_matches,permutations
15m,oos,reg_1d_dev_pctl,death_vs_winner,1779,0.2034851039910062,-0.003492878552325783,0.888,1,False,2000
15m,oos,band_lower_slope_3_atr,death_vs_rest,2567,0.14102064666926373,0.09325579206186098,0.0,-1,False,2000
15m,oos,band_lower_slope_3_atr,death_vs_winner,1779,0.2034851039910062,0.12968421057153232,0.0,-1,False,2000
15m,oos,band_lower_slope_3_pct,death_vs_rest,2567,0.14102064666926373,0.09320074968164645,0.0,-1,False,2000
15m,oos,band_lower_slope_3_pct,death_vs_winner,1779,0.2034851039910062,0.12920307267518363,0.0,-1,False,2000
15m,oos,band_lower_slope_5_atr,death_vs_rest,2567,0.14102064666926373,0.09074069692686304,0.0,-1,False,2000
15m,oos,band_lower_slope_5_atr,death_vs_winner,1779,0.2034851039910062,0.12653742502944315,0.0,-1,False,2000
15m,oos,band_lower_slope_5_pct,death_vs_rest,2567,0.14102064666926373,0.08958820571309309,0.0,-1,False,2000
15m,oos,band_lower_slope_5_pct,death_vs_winner,1779,0.2034851039910062,0.12558321677326165,0.0,-1,False,2000
1h,is,rvol_sma20,death_vs_rest,1448,0.10497237569060773,0.013819429844054853,0.6085,-1,False,2000
1h,is,rvol_sma20,death_vs_winner,1044,0.14559386973180077,0.006477524736027654,0.836,-1,False,2000
1h,is,rvol_sma50,death_vs_rest,1448,0.10497237569060773,0.029109399882452362,0.266,-1,False,2000
1h,is,rvol_sma50,death_vs_winner,1044,0.14559386973180077,0.021125628271072668,0.5025,-1,False,2000
1h,is,reg_4h_trend,death_vs_rest,1448,0.10497237569060773,-0.053179205567086926,0.044,-1,True,2000
1h,is,reg_4h_trend,death_vs_winner,1044,0.14559386973180077,-0.06259821849986423,0.058,-1,True,2000
1h,is,reg_4h_ema_slope,death_vs_rest,1448,0.10497237569060773,-0.07002867896971152,0.0135,-1,True,2000
1h,is,reg_4h_ema_slope,death_vs_winner,1044,0.14559386973180077,-0.0842019757964293,0.0135,-1,True,2000
1h,is,reg_4h_vol_pctl,death_vs_rest,1448,0.10497237569060773,0.04307260777209206,0.1055,1,True,2000
1h,is,reg_4h_vol_pctl,death_vs_winner,1044,0.14559386973180077,0.02948628421142221,0.3395,1,True,2000
1h,is,reg_4h_dev_pctl,death_vs_rest,1448,0.10497237569060773,0.030179563404386867,0.247,1,True,2000
1h,is,reg_4h_dev_pctl,death_vs_winner,1044,0.14559386973180077,0.015274561740225436,0.6475,1,True,2000
1h,is,reg_1d_trend,death_vs_rest,1448,0.10497237569060773,-0.034799030500379004,0.1835,-1,True,2000
1h,is,reg_1d_trend,death_vs_winner,1044,0.14559386973180077,-0.0480680935945039,0.1225,-1,True,2000
1h,is,reg_1d_ema_slope,death_vs_rest,1447,0.1050449205252246,-0.03388710872575648,0.2775,-1,True,2000
1h,is,reg_1d_ema_slope,death_vs_winner,1044,0.14559386973180077,-0.046493815200370325,0.2345,-1,True,2000
1h,is,reg_1d_vol_pctl,death_vs_rest,1446,0.10511756569847856,0.07639326578030246,0.002,1,True,2000
1h,is,reg_1d_vol_pctl,death_vs_winner,1043,0.1457334611697028,0.08360802017267206,0.0085,1,True,2000
1h,is,reg_1d_dev_pctl,death_vs_rest,1448,0.10497237569060773,0.02296892069371856,0.3995,1,True,2000
1h,is,reg_1d_dev_pctl,death_vs_winner,1044,0.14559386973180077,0.027427276767248182,0.3845,1,True,2000
1h,is,band_lower_slope_3_atr,death_vs_rest,1448,0.10497237569060773,0.05991374702316161,0.024,-1,False,2000
1h,is,band_lower_slope_3_atr,death_vs_winner,1044,0.14559386973180077,0.09227522896734164,0.0025,-1,False,2000
1h,is,band_lower_slope_3_pct,death_vs_rest,1448,0.10497237569060773,0.05094533086888052,0.059,-1,False,2000
1h,is,band_lower_slope_3_pct,death_vs_winner,1044,0.14559386973180077,0.07916079058173921,0.0135,-1,False,2000
1h,is,band_lower_slope_5_atr,death_vs_rest,1448,0.10497237569060773,0.05735618506674168,0.0295,-1,False,2000
1h,is,band_lower_slope_5_atr,death_vs_winner,1044,0.14559386973180077,0.09235844522296956,0.003,-1,False,2000
1h,is,band_lower_slope_5_pct,death_vs_rest,1448,0.10497237569060773,0.04776197056935441,0.079,-1,False,2000
1h,is,band_lower_slope_5_pct,death_vs_winner,1044,0.14559386973180077,0.07725389194983108,0.0195,-1,False,2000
1h,oos,rvol_sma20,death_vs_rest,769,0.14044213263979194,0.01658914720853812,0.6415,-1,False,2000
1h,oos,rvol_sma20,death_vs_winner,530,0.2037735849056604,-0.006120080431520483,0.8815,-1,True,2000
1h,oos,rvol_sma50,death_vs_rest,769,0.14044213263979194,-0.002988018570364267,0.923,-1,True,2000
1h,oos,rvol_sma50,death_vs_winner,530,0.2037735849056604,-0.024150656243537558,0.5605,-1,True,2000
1h,oos,reg_4h_trend,death_vs_rest,769,0.14044213263979194,-0.009343448037848291,0.807,-1,True,2000
1h,oos,reg_4h_trend,death_vs_winner,530,0.2037735849056604,-0.0006827698724928004,0.989,-1,True,2000
1h,oos,reg_4h_ema_slope,death_vs_rest,769,0.14044213263979194,-0.008190387991021782,0.812,-1,True,2000
1h,oos,reg_4h_ema_slope,death_vs_winner,530,0.2037735849056604,-0.00420291380448949,0.927,-1,True,2000
1h,oos,reg_4h_vol_pctl,death_vs_rest,769,0.14044213263979194,-0.08372176416641937,0.017,1,False,2000
1h,oos,reg_4h_vol_pctl,death_vs_winner,530,0.2037735849056604,-0.13168255767557538,0.0,1,False,2000
1h,oos,reg_4h_dev_pctl,death_vs_rest,769,0.14044213263979194,-0.08675367754222321,0.016,1,False,2000
