symbol,timeframe,segment,arm,fill,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,mean_net_r,net_r_win,net_r_loss,hold_bars_median,n_take_profit,n_stop_loss,n_end_of_data
BTC/USDT:USDT,4h,full,fixed_1.5r,baseline,86,60,52,0.6976744186046512,0.2580248461440513,0.0525647001677471,0.6346153846153846,17.960288868970725,0.5865384615384616,0.5012970453029781,1.4064771632500153,-1.0708578963945077,2.0125,33,19,0
BTC/USDT:USDT,4h,full,ob_extend,baseline,86,60,52,0.6976744186046512,0.2683831753508357,0.0525647001677472,0.6346153846153846,18.50586617640147,0.6163812905422651,0.5311130217292441,1.4534599139823132,-1.0708578963945077,1.8979166666666667,33,19,0
BTC/USDT:USDT,4h,full,fixed_1.5r,pen_5bp,86,54,46,0.627906976744186,0.2119673542969745,0.0525647001677471,0.6086956521739131,16.429821684221135,0.5217391304347823,0.4502150506360498,1.4239029924985065,-1.064410636705549,2.1625,28,18,0
BTC/USDT:USDT,4h,full,ob_extend,pen_5bp,86,54,46,0.627906976744186,0.2169359660890433,0.0525647001677473,0.6086956521739131,16.71214142847286,0.5359063904135103,0.4643695629142491,1.447156834098405,-1.064410636705549,2.0125,28,18,0
BTC/USDT:USDT,4h,is,fixed_1.5r,baseline,61,40,37,0.6557377049180327,0.2211799469355113,0.0525647001677471,0.6756756756756757,22.27062267546892,0.6891891891891893,0.6082216614877713,1.4066828502868405,-1.0552391485102892,1.8979166666666667,25,12,0
BTC/USDT:USDT,4h,is,ob_extend,baseline,61,40,37,0.6557377049180327,0.2290934381432492,0.0525647001677472,0.6756756756756757,22.880000587007547,0.7221496661740692,0.6411524806354605,1.4554204626254204,-1.0552391485102892,1.7833333333333334,25,12,0
BTC/USDT:USDT,4h,is,fixed_1.5r,pen_5bp,61,38,33,0.6229508196721312,0.1755827587547537,0.0525647001677471,0.6363636363636364,19.46382956930017,0.5909090909090902,0.5227347293927057,1.424434088194417,-1.0552391485102892,2.0125,21,12,0
BTC/USDT:USDT,4h,is,ob_extend,pen_5bp,61,38,33,0.6229508196721312,0.1804022073455036,0.0525647001677473,0.6363636363636364,19.856210514068497,0.6106573926976201,0.5424652616592863,1.4554392103276157,-1.0552391485102892,1.8979166666666667,21,12,0
BTC/USDT:USDT,4h,oos_warm,fixed_1.5r,baseline,25,20,15,0.8,0.0301715560438087,0.0467661419317679,0.5333333333333333,7.871352314692047,0.3333333333333331,0.2375496587138213,1.4058343912599365,-1.097632892767453,2.966666666666667,8,7,0
BTC/USDT:USDT,4h,oos_warm,ob_extend,baseline,25,20,15,0.8,0.0319664363898487,0.046766141931768,0.5333333333333333,8.280914061698736,0.3554859639838146,0.2596823564272438,1.4473331994726035,-1.097632892767453,2.966666666666667,8,7,0
BTC/USDT:USDT,4h,oos_warm,fixed_1.5r,pen_5bp,25,16,13,0.64,0.0309502629834083,0.0395407056323266,0.5384615384615384,8.850623684797526,0.3461538461538467,0.2661266353306926,1.4223097054107738,-1.0827536130960689,2.966666666666667,7,6,0
BTC/USDT:USDT,4h,oos_warm,ob_extend,pen_5bp,25,16,13,0.64,0.0309502629834083,0.0395407056323266,0.5384615384615384,8.850623684797526,0.3461538461538467,0.2661266353306926,1.4223097054107738,-1.0827536130960689,2.966666666666667,7,6,0
BTC/USDT:USDT,4h,oos,fixed_1.5r,baseline,25,20,15,0.8,0.0301715560438087,0.0467661419317679,0.5333333333333333,7.871352314692047,0.3333333333333331,0.2375496587138213,1.4058343912599365,-1.097632892767453,2.966666666666667,8,7,0
BTC/USDT:USDT,4h,oos,ob_extend,baseline,25,20,15,0.8,0.0319664363898487,0.046766141931768,0.5333333333333333,8.280914061698736,0.3554859639838146,0.2596823564272438,1.4473331994726035,-1.097632892767453,2.966666666666667,8,7,0
BTC/USDT:USDT,4h,oos,fixed_1.5r,pen_5bp,25,16,13,0.64,0.0309502629834083,0.0395407056323266,0.5384615384615384,8.850623684797526,0.3461538461538467,0.2661266353306926,1.4223097054107738,-1.0827536130960689,2.966666666666667,7,6,0
BTC/USDT:USDT,4h,oos,ob_extend,pen_5bp,25,16,13,0.64,0.0309502629834083,0.0395407056323266,0.5384615384615384,8.850623684797526,0.3461538461538467,0.2661266353306926,1.4223097054107738,-1.0827536130960689,2.966666666666667,7,6,0
ETH/USDT:USDT,4h,full,fixed_1.5r,baseline,120,84,68,0.7,0.367972332430133,0.0471152411781898,0.6176470588235294,18.144179414812896,0.544117647058823,0.4828228858723105,1.4377720514020662,-1.0597873045988335,1.7229166666666669,42,26,0
ETH/USDT:USDT,4h,full,ob_extend,baseline,120,84,68,0.7,0.3805094040931561,0.0471152411781898,0.6176470588235294,18.59614373606682,0.5710042393601062,0.5096852856178409,1.4812635557519729,-1.0597873045988335,1.7229166666666669,42,26,0
ETH/USDT:USDT,4h,full,fixed_1.5r,pen_5bp,120,79,66,0.6583333333333333,0.3169563302385257,0.0471152411781897,0.6060606060606061,16.45889091823175,0.5151515151515151,0.4499268157673504,1.4314923766304444,-1.060174047098948,2.0833333333333335,40,26,0
ETH/USDT:USDT,4h,full,ob_extend,pen_5bp,120,79,66,0.6583333333333333,0.3897706565575996,0.0471152411781899,0.6060606060606061,17.825270084497287,0.6911189847091577,0.6257359497958842,1.7215774477775252,-1.060174047098948,1.8604166666666664,40,26,0
