symbol,timeframe,segment,fill,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,fill_rate,eligible_setups,funding_coverage
BTC/USDT:USDT,15m,IS,baseline,0.3434488941003754,421,421,0,1259,0.15630628642634178,-0.01180072222879553,0.3837868833479561,0.05,200,0,0.4921531701192718,1593,0.33966745843230406
BTC/USDT:USDT,15m,IS,pen_5bp,0.18792921546301294,390,390,0,1065,0.07497382110222559,-0.08120589273388086,0.2639245006179162,0.075,200,0,0.4293785310734463,1593,0.35384615384615387
BTC/USDT:USDT,15m,OOS,baseline,0.09336454411100785,233,233,0,666,0.052064416228142486,-0.07802860667285495,0.1819658497886041,0.25,200,0,0.5164835164835165,819,0.3605150214592275
BTC/USDT:USDT,15m,OOS,pen_5bp,-0.003941461615439766,218,218,0,568,0.0074471160362190834,-0.13030956573922287,0.12733315933214126,0.59,200,0,0.44932844932844934,819,0.3669724770642202
BTC/USDT:USDT,1h,IS,baseline,0.035476773400815544,131,131,0,263,-0.031151509500554547,-0.14282317150925336,0.09731716929829781,0.115,200,0,0.5029585798816568,338,0.5877862595419847
BTC/USDT:USDT,1h,IS,pen_5bp,-0.012220886446715666,123,123,0,243,-0.057759919864731994,-0.1748717502070238,0.049414405913520566,0.19,200,0,0.45857988165680474,338,0.6097560975609756
BTC/USDT:USDT,1h,OOS,baseline,0.12180139209631088,83,83,0,183,0.0688692726805717,-0.03804051178876962,0.16927170802028485,0.155,200,0,0.4838709677419355,248,0.6506024096385542
BTC/USDT:USDT,1h,OOS,pen_5bp,0.0713771644504899,79,79,0,164,0.038443305109443424,-0.053775098334094766,0.13123853562338025,0.235,200,0,0.43951612903225806,248,0.6708860759493671
BTC/USDT:USDT,4h,IS,baseline,0.0667695153124816,31,31,0,54,0.08210038952776572,0.0077336728910499,0.15034590994129393,0.67,200,0,0.44155844155844154,77,0.8387096774193549
BTC/USDT:USDT,4h,IS,pen_5bp,0.03983150006519845,29,29,0,51,0.06262772496241514,-0.007236849949397583,0.13277373343241633,0.76,200,0,0.4025974025974026,77,0.8620689655172413
BTC/USDT:USDT,4h,OOS,baseline,-0.05645344669319584,19,19,0,43,-0.018712633005326388,-0.06635744228270542,0.03355144663115243,0.9,200,0,0.6666666666666666,51,0.8947368421052632
BTC/USDT:USDT,4h,OOS,pen_5bp,-0.056456726751284804,19,19,0,42,-0.016610359403285268,-0.06333448008534778,0.028951203153045207,0.955,200,0,0.6666666666666666,51,0.8947368421052632
BTC/USDT:USDT,1d,IS,baseline,-0.010585973808534618,1,1,0,3,0.003155698314105964,-0.010585973808534618,0.014628103480714163,1.0,200,0,0.4,5,1.0
BTC/USDT:USDT,1d,IS,pen_5bp,-0.010585973808534618,1,1,0,3,0.003155698314105964,-0.010585973808534618,0.014628103480714163,1.0,200,0,0.4,5,1.0
BTC/USDT:USDT,1d,OOS,baseline,0.027513567145739763,7,7,0,7,0.036200155482170635,0.0275006010407591,0.03837201397887529,0.81,200,200,0.6363636363636364,11,0.7142857142857143
BTC/USDT:USDT,1d,OOS,pen_5bp,0.027513567145739763,7,7,0,7,0.036200155482170635,0.0275006010407591,0.03837201397887529,0.81,200,200,0.6363636363636364,11,0.7142857142857143
ETH/USDT:USDT,15m,IS,baseline,0.13721228285756207,513,513,0,1223,-0.057446575106957505,-0.2441860729692523,0.11671702103971802,0.02,200,0,0.5038709677419355,1550,0.3079922027290448
ETH/USDT:USDT,15m,IS,pen_5bp,-0.023121776084392878,481,481,0,1073,-0.14986415550975185,-0.2862880992860372,0.005811337328346235,0.09,200,0,0.4529032258064516,1550,0.3180873180873181
ETH/USDT:USDT,15m,OOS,baseline,0.5446539280905308,284,284,0,716,0.31778135757648385,0.12244607134358047,0.5656324582567324,0.04,200,0,0.5011061946902655,904,0.323943661971831
ETH/USDT:USDT,15m,OOS,pen_5bp,0.3848958063585455,264,264,0,632,0.24146366284641746,0.04627399506856909,0.45588213738528777,0.095,200,0,0.45464601769911506,904,0.3409090909090909
ETH/USDT:USDT,1h,IS,baseline,0.16554634900370838,148,148,0,321,0.062354263302731174,-0.05671555462455981,0.22242970344177793,0.075,200,0,0.466824644549763,422,0.581081081081081
ETH/USDT:USDT,1h,IS,pen_5bp,0.14718570232980346,146,146,0,307,0.05498276699661362,-0.07410921747920765,0.18346348383078057,0.07,200,0,0.45260663507109006,422,0.589041095890411
ETH/USDT:USDT,1h,OOS,baseline,0.216215553851569,85,85,0,172,0.22198969652313946,0.1105879107312605,0.3463917288234434,0.525,200,0,0.4978165938864629,229,0.5647058823529412
ETH/USDT:USDT,1h,OOS,pen_5bp,0.1742681660443184,81,81,0,164,0.1785498624609286,0.06032209913724564,0.3211677990867793,0.505,200,0,0.47161572052401746,229,0.5802469135802469
ETH/USDT:USDT,4h,IS,baseline,0.050835802423045605,30,30,0,51,0.09221424034616836,0.00921744519929398,0.17160128514341977,0.815,200,0,0.44594594594594594,74,0.7666666666666667
ETH/USDT:USDT,4h,IS,pen_5bp,0.035966777089029164,29,29,0,49,0.0637829231027841,-0.005151283568519466,0.13692400089833226,0.775,200,0,0.43243243243243246,74,0.7586206896551724
ETH/USDT:USDT,4h,OOS,baseline,0.07566882458445943,20,20,0,36,0.042076591973883186,-0.003959543098873473,0.09768643752898425,0.09,200,0,0.5813953488372093,43,0.85
ETH/USDT:USDT,4h,OOS,pen_5bp,0.07566050047828231,20,20,0,36,0.042619071278350004,0.0006062355694211874,0.09460644945844997,0.09,200,0,0.5813953488372093,43,0.85
