symbol,timeframe,segment,entry_time,exit_reason,mfe_r,mae_r,reached_arm,runner_r,runner_open_at_end
BTC/USDT:USDT,15m,full,1689352260000,stop_loss,1.9283300856046064,-2.912951262818362,True,0.0,False
BTC/USDT:USDT,15m,full,1689352200000,stop_loss,1.4779989834376606,-2.6187694508663872,False,,False
BTC/USDT:USDT,15m,full,1689455880000,stop_loss,2.8925242702023706,-1.0047527768866247,True,0.0,False
BTC/USDT:USDT,15m,full,1689471360000,stop_loss,0.7575071974427826,-1.0050942237606295,False,,False
BTC/USDT:USDT,15m,full,1689778920000,stop_loss,6.935248041775449,-1.5242819843342112,True,0.0,False
BTC/USDT:USDT,15m,full,1689801360000,stop_loss,2.7286844682968536,-1.2463542515247499,True,0.0,False
BTC/USDT:USDT,15m,full,1689806280000,stop_loss,2.9372578503034554,-1.260134698717079,True,0.0,False
BTC/USDT:USDT,15m,full,1689863820000,stop_loss,0.571367158131951,-1.2463542515247499,False,,False
BTC/USDT:USDT,15m,full,1689917820000,stop_loss,2.025029440861491,-1.0202418326897849,True,0.0,False
BTC/USDT:USDT,15m,full,1689924000000,stop_loss,2.0759490801551572,-1.020582558900672,True,0.0,False
BTC/USDT:USDT,15m,full,1689966900000,stop_loss,2.0338318596528038,-1.0245764957127657,True,0.0,False
BTC/USDT:USDT,15m,full,1690030260000,stop_loss,0.45908867116104607,-1.0162589327781093,False,,False
BTC/USDT:USDT,15m,full,1690048140000,stop_loss,0.1519754964635076,-1.0162589327781093,False,,False
BTC/USDT:USDT,15m,full,1690064820000,stop_loss,0.14073028627814088,-1.0198451789494316,False,,False
BTC/USDT:USDT,15m,full,1690064820000,stop_loss,0.16925458903286844,-1.020341413597871,False,,False
BTC/USDT:USDT,15m,full,1690064760000,stop_loss,0.11544774546607371,-1.0194053409327268,False,,False
BTC/USDT:USDT,15m,full,1690162740000,stop_loss,1.0468004718255213,-1.3562948969474606,False,,False
BTC/USDT:USDT,15m,full,1690287420000,stop_loss,1.0975315572918012,-1.0563095720078335,False,,False
BTC/USDT:USDT,15m,full,1690331100000,stop_loss,5.641086826599045,-1.5638147183398372,True,0.0,False
BTC/USDT:USDT,15m,full,1690333560000,stop_loss,5.641086826599045,-1.5638147183398372,True,0.0,False
BTC/USDT:USDT,15m,full,1690353780000,stop_loss,7.031216963170567,-1.6818339299344807,True,0.0,False
BTC/USDT:USDT,15m,full,1690366080000,stop_loss,5.438594311373147,-1.5466235170471896,True,0.0,False
BTC/USDT:USDT,15m,full,1690372200000,stop_loss,5.438594311373147,-1.5466235170471896,True,0.0,False
BTC/USDT:USDT,15m,full,1690398600000,stop_loss,3.5090608196847177,-1.3828100614262944,True,0.0,False
BTC/USDT:USDT,15m,full,1690466580000,stop_loss,0.44583993250001225,-1.497935395394938,False,,False
BTC/USDT:USDT,15m,full,1690478400000,stop_loss,2.51669935275656,-1.3828100614262944,True,0.0,False
BTC/USDT:USDT,15m,full,1690481400000,stop_loss,3.4811958785664108,-1.4878002631054073,True,0.0,False
BTC/USDT:USDT,15m,full,1690483500000,stop_loss,6.12076641919492,-1.7751305291985249,True,0.0,False
BTC/USDT:USDT,15m,full,1690523520000,stop_loss,4.179505595210398,-1.5638147183398372,True,0.0,False
BTC/USDT:USDT,15m,full,1690530360000,stop_loss,5.1941222746051094,-1.6742607458226193,True,0.0,False
BTC/USDT:USDT,15m,full,1690535340000,stop_loss,6.7661832161320525,-1.8453873293675238,True,0.0,False
BTC/USDT:USDT,15m,full,1690696860000,stop_loss,0.1808725876550766,-1.1739529024308042,False,,False
BTC/USDT:USDT,15m,full,1690746600000,stop_loss,0.8252992086625904,-1.4867464556433574,False,,False
BTC/USDT:USDT,15m,full,1690819740000,stop_loss,1.8747876946105837,-1.004636754346163,True,0.0,False
BTC/USDT:USDT,15m,full,1690988580000,stop_loss,0.8748437630198616,-1.1122953295559002,False,,False
BTC/USDT:USDT,15m,full,1691029740000,stop_loss,1.4810709372990323,-1.773978397349913,False,,False
BTC/USDT:USDT,15m,full,1691115840000,stop_loss,4.349002551127068,-1.0209108778386515,True,0.0,False
BTC/USDT:USDT,15m,full,1691303700000,stop_loss,9.581627423865225,-1.2825664781696589,True,0.0,False
BTC/USDT:USDT,15m,full,1691318280000,stop_loss,1.2189191292996744,-1.127929731112771,False,,False
BTC/USDT:USDT,15m,full,1691390160000,stop_loss,1.3759782464518477,-1.0878763761772026,False,,False
BTC/USDT:USDT,15m,full,1691399400000,stop_loss,3.37066602223135,-1.1616505925877396,True,0.0,False
