symbol,timeframe,segment,guard,lens,num_candidates,num_trades,total_return,max_drawdown,win_rate,mean_net_r,cost_r_median,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate
BTC/USDT:USDT,15m,is,0.0,baseline,937.0,767.0,1.2660670279216748,0.07265631870170067,0.5997392438070405,0.11616828068776049,0.30096829624445004,1.4520045167312619,0.9465449804432855,0.004101029369183421,0.0
BTC/USDT:USDT,15m,is,0.0015,baseline,937.0,668.0,1.3138350341992355,0.07486120594057945,0.6032934131736527,0.19679238433085888,0.27788835000172846,1.4870346217768275,0.938622754491018,0.004563352618684128,0.13020277481323372
BTC/USDT:USDT,15m,is,0.002,baseline,937.0,599.0,1.3875640702715362,0.06993834091648533,0.6076794657762938,0.24728549034145866,0.2603132545226842,1.5424411916737375,0.9315525876460768,0.004897771660594938,0.2198505869797225
BTC/USDT:USDT,15m,is,0.0022,baseline,937.0,574.0,1.3674068036932352,0.06696388822649177,0.6045296167247387,0.2503885030098002,0.25098385386582284,1.5502165509754147,0.9285714285714286,0.00501947445942442,0.2529348986125934
BTC/USDT:USDT,15m,is,0.0025,baseline,937.0,539.0,1.3332894551212768,0.07382741780497348,0.5992578849721707,0.25192869772904136,0.24191738421929262,1.5546865991006666,0.9239332096474954,0.005200808387356776,0.304162219850587
BTC/USDT:USDT,15m,is,0.003,baseline,937.0,484.0,1.3068510163713027,0.07038482531685077,0.5991735537190083,0.2701518749640224,0.23170906904795896,1.5898303411577197,0.9152892561983471,0.005483636143179449,0.3874066168623266
BTC/USDT:USDT,15m,is,0.0033,baseline,937.0,440.0,1.250193787223386,0.06185169218283749,0.5977272727272728,0.27889152069148776,0.22063085175940142,1.612540082323894,0.9068181818181819,0.005714575577319645,0.43649946638207043
BTC/USDT:USDT,15m,is,0.0055000000000000005,baseline,937.0,178.0,0.8184477860682658,0.051922491748003674,0.6179775280898876,0.40240452493915296,0.1453883112935091,1.9428950601327042,0.7696629213483146,0.007857514323239527,0.7876200640341515
BTC/USDT:USDT,15m,oos,0.0,baseline,508.0,420.0,0.0036673184850746113,0.08728401263320243,0.5476190476190477,-0.11501493922999297,0.435595266233454,1.0047798824847527,0.9952380952380953,0.0029496349336442236,0.0
BTC/USDT:USDT,15m,oos,0.0015,baseline,508.0,332.0,0.03143411279051706,0.08057105211779655,0.5481927710843374,-0.015030680965546269,0.35927328299892614,1.0440496195195061,0.9939759036144579,0.003456677750762405,0.234251968503937
BTC/USDT:USDT,15m,oos,0.002,baseline,508.0,274.0,0.02822356882215481,0.07801935364925858,0.5218978102189781,-0.026709067736219786,0.32236032430367245,1.0427073992874805,0.9927007299270073,0.003821890296702486,0.3799212598425197
BTC/USDT:USDT,15m,oos,0.0022,baseline,508.0,252.0,0.03607458259442647,0.07392054742285199,0.5198412698412699,-0.015383965219261024,0.31187543091445546,1.0574848539730675,0.9920634920634921,0.0039709466053307035,0.4468503937007874
BTC/USDT:USDT,15m,oos,0.0025,baseline,508.0,213.0,0.031096294385781768,0.0798323788447527,0.5023474178403756,-0.03062429109596691,0.2916948587480354,1.054308480417435,0.9906103286384976,0.004269318469400911,0.5275590551181102
BTC/USDT:USDT,15m,oos,0.003,baseline,508.0,174.0,0.05188189398689956,0.07786616736453107,0.5057471264367817,0.0034057036347893946,0.27361551519730665,1.1030782688701095,0.9885057471264368,0.004605041224351249,0.6259842519685039
BTC/USDT:USDT,15m,oos,0.0033,baseline,508.0,146.0,0.06936097512260876,0.06078426777272077,0.5136986301369864,0.04082563311707848,0.26123503679041216,1.157160236703179,0.9863013698630136,0.004883514943379161,0.687007874015748
