scope,symbol,timeframe,segment,straight_base,shortcut_base,straight_reentry,shortcut_reentry,base_identical,reentry_identical,width_identical
15m+1h+2h+4h,BTC/USDT:USDT,15m,is,1531,1531,487,487,True,True,True
15m+1h+2h+4h,BTC/USDT:USDT,15m,oos,761,761,137,137,True,True,True
15m+1h+2h+4h,BTC/USDT:USDT,1h,full,558,558,261,261,True,True,True
15m+1h+2h+4h,BTC/USDT:USDT,1h,is,357,357,160,160,True,True,True
15m+1h+2h+4h,BTC/USDT:USDT,1h,oos,200,200,101,101,True,True,True
15m+1h+2h+4h,BTC/USDT:USDT,2h,full,248,248,111,111,True,True,True
15m+1h+2h+4h,BTC/USDT:USDT,2h,is,166,166,74,74,True,True,True
15m+1h+2h+4h,BTC/USDT:USDT,2h,oos,82,82,37,37,True,True,True
15m+1h+2h+4h,BTC/USDT:USDT,4h,full,100,100,55,55,True,True,True
15m+1h+2h+4h,BTC/USDT:USDT,4h,is,65,65,42,42,True,True,True
15m+1h+2h+4h,BTC/USDT:USDT,4h,oos,35,35,13,13,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,15m,full,2277,2277,705,705,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,15m,is,1435,1435,437,437,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,15m,oos,820,820,248,248,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,1h,full,534,534,225,225,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,1h,is,338,338,130,130,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,1h,oos,185,185,90,90,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,2h,full,275,275,116,116,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,2h,is,172,172,69,69,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,2h,oos,94,94,42,42,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,4h,full,149,149,65,65,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,4h,is,95,95,40,40,True,True,True
15m+1h+2h+4h,ETH/USDT:USDT,4h,oos,47,47,23,23,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,15m,full,2385,2385,1042,1042,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,15m,is,1514,1514,688,688,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,15m,oos,849,849,336,336,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,1h,full,528,528,213,213,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,1h,is,333,333,140,140,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,1h,oos,185,185,67,67,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,2h,full,262,262,139,139,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,2h,is,165,165,78,78,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,2h,oos,89,89,52,52,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,4h,full,124,124,54,54,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,4h,is,65,65,26,26,True,True,True
15m+1h+2h+4h,SOL/USDT:USDT,4h,oos,51,51,20,20,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,15m,full,2205,2205,432,432,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,15m,is,1487,1487,390,390,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,15m,oos,715,715,42,42,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,1h,full,561,561,193,193,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,1h,is,384,384,151,151,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,1h,oos,177,177,42,42,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,2h,full,260,260,107,107,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,2h,is,172,172,72,72,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,2h,oos,88,88,35,35,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,4h,full,141,141,61,61,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,4h,is,93,93,46,46,True,True,True
15m+1h+2h+4h,TRX/USDT:USDT,4h,oos,48,48,15,15,True,True,True
