lens,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate
baseline,BTC/USDT:USDT,15m,is,default,-1,3001.0,1293.0,2.105065213902851,0.1602013354377374,0.5282289249806651
baseline,BTC/USDT:USDT,15m,is,filter_bot3,-1,1001.0,520.0,1.4118620493593967,0.07343867668510204,0.5980769230769231
baseline,BTC/USDT:USDT,15m,is,matched_random,0,1001.0,602.0,0.36601631818062996,0.12935259095285312,0.5099667774086378
baseline,BTC/USDT:USDT,15m,is,matched_random,1,1001.0,583.0,0.21544197549084784,0.1977323791043583,0.4922813036020583
baseline,BTC/USDT:USDT,15m,is,matched_random,2,1001.0,597.0,0.45778812671067515,0.12046827239820802,0.5125628140703518
baseline,BTC/USDT:USDT,15m,is,matched_random,3,1001.0,601.0,0.4829314373695139,0.13537137568240912,0.5141430948419301
baseline,BTC/USDT:USDT,15m,is,matched_random,4,1001.0,595.0,0.39280280374275806,0.17290924467694235,0.5058823529411764
baseline,BTC/USDT:USDT,15m,is,matched_random,5,1001.0,599.0,0.3967512693632716,0.14237604521429406,0.5091819699499165
baseline,BTC/USDT:USDT,15m,is,matched_random,6,1001.0,607.0,0.4990709512914147,0.1199331454746954,0.5222405271828665
baseline,BTC/USDT:USDT,15m,is,matched_random,7,1001.0,589.0,0.3601310741460635,0.19324424397645515,0.5059422750424448
baseline,BTC/USDT:USDT,15m,is,matched_random,8,1001.0,595.0,0.38838621924936306,0.1392351145207418,0.5008403361344538
baseline,BTC/USDT:USDT,15m,is,matched_random,9,1001.0,597.0,0.5104335322360075,0.1141975243393106,0.5125628140703518
baseline,BTC/USDT:USDT,15m,is,matched_random,10,1001.0,573.0,0.3565952632867402,0.130644966030181,0.4973821989528796
baseline,BTC/USDT:USDT,15m,is,matched_random,11,1001.0,599.0,0.4085307018345551,0.1419756327089005,0.5108514190317195
baseline,BTC/USDT:USDT,15m,is,matched_random,12,1001.0,587.0,0.2745101611835511,0.1741396644206122,0.4991482112436116
baseline,BTC/USDT:USDT,15m,is,matched_random,13,1001.0,603.0,1.0165458195351984,0.08785303800528935,0.5373134328358209
baseline,BTC/USDT:USDT,15m,is,matched_random,14,1001.0,613.0,0.40312428249647125,0.15193795694511042,0.5122349102773246
baseline,BTC/USDT:USDT,15m,is,matched_random,15,1001.0,591.0,0.4725928751730462,0.15779622739022928,0.5109983079526227
baseline,BTC/USDT:USDT,15m,is,matched_random,16,1001.0,582.0,0.08019686395035278,0.1430150823620615,0.47766323024054985
baseline,BTC/USDT:USDT,15m,is,matched_random,17,1001.0,610.0,0.8971343158997203,0.10492930455672067,0.5377049180327869
baseline,BTC/USDT:USDT,15m,is,matched_random,18,1001.0,601.0,0.7349961592970456,0.10737918746058737,0.5307820299500832
baseline,BTC/USDT:USDT,15m,is,matched_random,19,1001.0,590.0,0.8936198036078007,0.11527056456269676,0.535593220338983
baseline,BTC/USDT:USDT,15m,is,matched_random,-1,1001.0,595.7,0.4803799977022514,0.13898807803913282,0.5117638072050286
baseline,BTC/USDT:USDT,15m,oos,default,-1,1446.0,535.0,-0.10611085437252314,0.18533322294601398,0.45794392523364486
baseline,BTC/USDT:USDT,15m,oos,filter_bot3,-1,533.0,185.0,0.06800677361160269,0.08405831876381073,0.5135135135135135
baseline,BTC/USDT:USDT,15m,oos,matched_random,0,533.0,261.0,-0.08751192788337994,0.15262318869205715,0.4521072796934866
baseline,BTC/USDT:USDT,15m,oos,matched_random,1,533.0,271.0,0.022093044099214785,0.10698875693010967,0.4833948339483395
baseline,BTC/USDT:USDT,15m,oos,matched_random,2,533.0,259.0,-0.1392390999357176,0.17111919445801818,0.42857142857142855
baseline,BTC/USDT:USDT,15m,oos,matched_random,3,533.0,256.0,-0.05173592465801175,0.1385427498150129,0.4453125
baseline,BTC/USDT:USDT,15m,oos,matched_random,4,533.0,265.0,-0.10483799087718672,0.1595643214319768,0.4339622641509434
baseline,BTC/USDT:USDT,15m,oos,matched_random,5,533.0,254.0,0.09892680336144749,0.1258046250253513,0.4921259842519685
baseline,BTC/USDT:USDT,15m,oos,matched_random,6,533.0,271.0,-0.02174249443450426,0.11211247207277415,0.46863468634686345
baseline,BTC/USDT:USDT,15m,oos,matched_random,7,533.0,266.0,-0.12092940991909727,0.1711175151369365,0.44360902255639095
baseline,BTC/USDT:USDT,15m,oos,matched_random,8,533.0,268.0,0.03709230399063399,0.13929190707964154,0.48134328358208955
baseline,BTC/USDT:USDT,15m,oos,matched_random,9,533.0,269.0,-0.13118959290456259,0.16677160145614262,0.4312267657992565
baseline,BTC/USDT:USDT,15m,oos,matched_random,10,533.0,255.0,-0.23299539596992264,0.23299539596992264,0.38823529411764707
baseline,BTC/USDT:USDT,15m,oos,matched_random,11,533.0,261.0,-0.11627343734810419,0.2029230666378875,0.4444444444444444
baseline,BTC/USDT:USDT,15m,oos,matched_random,12,533.0,255.0,-0.111701727754895,0.15620480760373823,0.4470588235294118
baseline,BTC/USDT:USDT,15m,oos,matched_random,13,533.0,251.0,-0.12233515989392235,0.16640945415947087,0.4302788844621514
baseline,BTC/USDT:USDT,15m,oos,matched_random,14,533.0,262.0,0.10248450685280222,0.0809761172647905,0.4961832061068702
baseline,BTC/USDT:USDT,15m,oos,matched_random,15,533.0,266.0,-0.0604130563257444,0.15322056973410397,0.44360902255639095
baseline,BTC/USDT:USDT,15m,oos,matched_random,16,533.0,272.0,-0.0963452262864168,0.21483849555649928,0.4411764705882353
baseline,BTC/USDT:USDT,15m,oos,matched_random,17,533.0,255.0,-0.08390268191373744,0.13431984704928315,0.45098039215686275
baseline,BTC/USDT:USDT,15m,oos,matched_random,18,533.0,255.0,-0.07193001038577095,0.17062441030518685,0.4627450980392157
baseline,BTC/USDT:USDT,15m,oos,matched_random,19,533.0,259.0,-0.18950993895631135,0.2669604641262114,0.42084942084942084
baseline,BTC/USDT:USDT,15m,oos,matched_random,-1,533.0,261.55,-0.07409982085715933,0.16117044802525576,0.4492924552875709
baseline,BTC/USDT:USDT,1h,is,default,-1,743.0,393.0,1.1662258869099438,0.07783528798459599,0.55470737913486
baseline,BTC/USDT:USDT,1h,is,filter_bot3,-1,248.0,183.0,1.08814061048666,0.037903921562259045,0.6721311475409836
baseline,BTC/USDT:USDT,1h,is,matched_random,0,248.0,184.0,0.5044860161737235,0.06176971346758961,0.5543478260869565
baseline,BTC/USDT:USDT,1h,is,matched_random,1,248.0,180.0,0.3012009257160251,0.09424217061750427,0.5222222222222223
baseline,BTC/USDT:USDT,1h,is,matched_random,2,248.0,189.0,0.26103396424893743,0.07447191484422902,0.5185185185185185
baseline,BTC/USDT:USDT,1h,is,matched_random,3,248.0,175.0,0.3754299857709864,0.06356701831311733,0.5371428571428571
baseline,BTC/USDT:USDT,1h,is,matched_random,4,248.0,176.0,0.4108307116185737,0.06112953937836775,0.5568181818181818
baseline,BTC/USDT:USDT,1h,is,matched_random,5,248.0,183.0,0.19003802016824592,0.11248900589513584,0.5027322404371585
baseline,BTC/USDT:USDT,1h,is,matched_random,6,248.0,185.0,0.08612887947147156,0.12018649361684075,0.4810810810810811
baseline,BTC/USDT:USDT,1h,is,matched_random,7,248.0,184.0,0.4894461145927913,0.05224238937601023,0.5652173913043478
baseline,BTC/USDT:USDT,1h,is,matched_random,8,248.0,190.0,0.28179488871018765,0.06941494261698382,0.531578947368421
baseline,BTC/USDT:USDT,1h,is,matched_random,9,248.0,182.0,0.45464159636821116,0.0679052213189894,0.554945054945055
baseline,BTC/USDT:USDT,1h,is,matched_random,10,248.0,184.0,0.39305545353709187,0.14984750293956636,0.5434782608695652
baseline,BTC/USDT:USDT,1h,is,matched_random,11,248.0,179.0,0.15945999650485101,0.09302889421614689,0.5027932960893855
baseline,BTC/USDT:USDT,1h,is,matched_random,12,248.0,188.0,0.4374613203050909,0.07837595171252527,0.5478723404255319
baseline,BTC/USDT:USDT,1h,is,matched_random,13,248.0,182.0,0.5582575342787431,0.04276668580280796,0.5769230769230769
baseline,BTC/USDT:USDT,1h,is,matched_random,14,248.0,177.0,0.4336000417303885,0.10261824275083836,0.5536723163841808
baseline,BTC/USDT:USDT,1h,is,matched_random,15,248.0,173.0,0.4327109995483854,0.061911732504387106,0.5664739884393064
baseline,BTC/USDT:USDT,1h,is,matched_random,16,248.0,184.0,0.24721888709070172,0.12789307004375686,0.5271739130434783
baseline,BTC/USDT:USDT,1h,is,matched_random,17,248.0,183.0,0.3436060847769328,0.08134625968679955,0.5245901639344263
