threshold_atr,lens,barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate,guard,threshold_fraction,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,13,36.0,24.0,-0.0034323331487488,0.0808697098120619,0.4166666666666667,0.003,0.3333333333333333,-0.0067300216946533,1.4533439000344168,-1.0496399657868465,0.0465631286545396,0.4186252514618158,-0.0019585847951491,0.9773513026115188,0.0,0.01,0.0277777777777777
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,14,36.0,31.0,0.1015119797607256,0.0603785416895302,0.5483870967741935,0.003,0.3333333333333333,0.3197094572725153,1.4533214099344285,-1.0568193423883787,0.039793374756743,0.4159173499026972,0.1324697468714963,1.6209775105650974,0.032258064516129,0.0099959640685162,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,15,36.0,29.0,0.1265397793527785,0.0311010794956496,0.5862068965517241,0.003,0.3333333333333333,0.4192898134952395,1.4542774481736584,-1.046942668965854,0.0429756312034847,0.4171902524813939,0.1690166440703301,1.9308278052547512,0.0,0.0099999999999999,0.0277777777777777
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,16,36.0,26.0,0.1918271238274577,0.0209540806490125,0.6923076923076923,0.003,0.3333333333333333,0.6838836928643786,1.452660332119522,-1.045863745459694,0.0383442079723863,0.4153376831889545,0.2769700091187377,2.9730655930461594,0.0,0.01,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,17,36.0,27.0,0.0922260387417323,0.0413797519854683,0.5555555555555556,0.003,0.3333333333333333,0.334470283071289,1.4467556236760142,-1.0558863926846171,0.0471814125527638,0.4188725650211055,0.13668299053445,1.6612497037838776,0.037037037037037,0.0099953661527409,0.0277777777777777
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,18,36.0,29.0,0.1547351428960226,0.0417550190802904,0.6206896551724138,0.003,0.3333333333333333,0.5047485344713474,1.4566521874368086,-1.0529119885630436,0.0415511719341038,0.4166204687736415,0.2040691863987723,2.181468834362309,0.0,0.0099999999999999,0.0277777777777777
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,19,36.0,29.0,0.043813032063021,0.0606191806289378,0.4827586206896552,0.003,0.3333333333333333,0.1552062463335586,1.4423510692480406,-1.046128921719958,0.0467134844926563,0.4186853937970626,0.0640732268925926,1.2624764063694467,0.0344827586206896,0.0099956857284139,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,-1,36.0,28.0,0.0985313059666744,0.04372189689128,0.5546899609886261,0.003,0.3333333333333333,0.3381080312920857,1.4518511746749925,-1.0490885223777175,0.0427921852197569,0.4171168740879027,0.1375730869007234,1.7595128349104807,0.0193209646407644,0.0099975826792258,0.0097222222222222
1.6,baseline,atr,ETH/USDT:USDT,4h,oos,default,-1,83.0,54.0,0.059481347136967,0.0618387266761537,0.4629629629629629,0.003,0.3333333333333333,0.1148446445547413,1.4605586989970478,-1.0452536782403503,0.0413941048347101,0.416557641933884,0.0464053210290789,1.186546184934821,0.0,0.01,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,oos,filter_bot3,-1,36.0,27.0,0.043665833458716,0.062583077468404,0.4814814814814814,0.003,0.3333333333333333,0.1662256362377717,1.4642930667837708,-1.03912269212637,0.0384220676977685,0.4153688270791074,0.066112654402374,1.284734146586887,0.0,0.01,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,oos,matched_random,0,36.0,29.0,0.1279791307439369,0.0376694839236746,0.5862068965517241,0.003,0.3333333333333333,0.4237359970169637,1.4605164007966194,-1.045036241670882,0.0394784614451379,0.4157913845780552,0.1704155119736689,1.9860575689516944,0.0,0.0099999999999999,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,oos,matched_random,1,36.0,29.0,0.0211158144629525,0.0531684278645952,0.4482758620689655,0.003,0.3333333333333333,0.079806178325854,1.4604402974086186,-1.041959043428892,0.0394784614451379,0.4157913845780552,0.0324844774909103,1.122771734928412,0.0,0.0099999999999999,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,oos,matched_random,2,36.0,28.0,-0.0189485924090204,0.0962498100071931,0.3928571428571428,0.003,0.3333333333333333,-0.0608576800656432,1.4579276428755266,-1.0436011243216945,0.0424515983245595,0.4169806393298237,-0.0241234964726809,0.8958839797490291,0.0,0.01,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,oos,matched_random,3,36.0,29.0,-0.0294816348638227,0.0927255374718783,0.3793103448275862,0.003,0.3333333333333333,-0.0957599411111224,1.4602602415678112,-1.0466611638593597,0.0417400512853714,0.4166960205141485,-0.0373856756865623,0.8456954570882335,0.0,0.0099999999999999,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,oos,matched_random,4,36.0,31.0,-0.0004822663739503,0.0554140288362591,0.4193548387096774,0.003,0.3333333333333333,0.006049482742333,1.4591619332392467,-1.0434206203943268,0.0402623675918304,0.4161049470367321,0.0032498916729453,0.9975035967659404,0.0,0.01,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,oos,matched_random,5,36.0,27.0,0.0164810325890599,0.0727843350717885,0.4444444444444444,0.003,0.3333333333333333,0.0682791721576804,1.458971849635328,-1.0442749698244378,0.041347106299696,0.4165388425198785,0.0279056019245659,1.102405613796924,0.0,0.01,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,oos,matched_random,6,36.0,26.0,0.0278569903696979,0.0372935375324205,0.4615384615384615,0.003,0.3333333333333333,0.1135165251768438,1.4627322720161011,-1.042954114971091,0.0383123886771098,0.4153249554708439,0.0462135060676176,1.1867900001382858,0.0,0.01,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,oos,matched_random,7,36.0,30.0,-0.0156166763915438,0.0478127839518188,0.4,0.003,0.3333333333333333,-0.0449429854197569,1.4580691591262978,-1.0469510817837933,0.0429941646853467,0.4171976658741386,-0.0171976658741386,0.9175860388350836,0.0,0.01,0.0
