align,symbol,segment,reason,n,n_total
entry,SOLUSDT,is,hole_btc,1,1932
entry,SOLUSDT,oos_warm,no_anchor,2,955
entry,SOLUSDT,oos_warm,hole_self,12,955
entry,SOLUSDT,oos_warm,hole_btc,1,955
exit,SOLUSDT,is,no_anchor,582,1932
exit,SOLUSDT,is,hole_self,31,1932
exit,SOLUSDT,is,hole_btc,0,1932
exit,SOLUSDT,oos_warm,no_anchor,1,955
exit,SOLUSDT,oos_warm,hole_self,13,955
exit,SOLUSDT,oos_warm,hole_btc,1,955
entry,TRXUSDT,is,no_anchor,654,1627
entry,TRXUSDT,is,hole_self,15,1627
entry,TRXUSDT,is,hole_btc,1,1627
entry,TRXUSDT,oos_warm,no_anchor,1,508
entry,TRXUSDT,oos_warm,hole_self,12,508
entry,TRXUSDT,oos_warm,hole_btc,1,508
exit,TRXUSDT,is,no_anchor,656,1627
exit,TRXUSDT,is,hole_self,17,1627
exit,TRXUSDT,is,hole_btc,1,1627
exit,TRXUSDT,oos_warm,no_anchor,0,508
exit,TRXUSDT,oos_warm,hole_self,14,508
exit,TRXUSDT,oos_warm,hole_btc,1,508
entry,XRPUSDT,is,no_anchor,680,1929
entry,XRPUSDT,is,hole_self,33,1929
entry,XRPUSDT,is,hole_btc,0,1929
entry,XRPUSDT,oos_warm,no_anchor,0,835
entry,XRPUSDT,oos_warm,hole_self,19,835
entry,XRPUSDT,oos_warm,hole_btc,2,835
exit,XRPUSDT,is,no_anchor,678,1929
exit,XRPUSDT,is,hole_self,37,1929
exit,XRPUSDT,is,hole_btc,0,1929
exit,XRPUSDT,oos_warm,no_anchor,0,835
exit,XRPUSDT,oos_warm,hole_self,16,835
exit,XRPUSDT,oos_warm,hole_btc,2,835
