symbol,timeframe,combine_obs,n_zones,p33,median,p67,mean
BTC/USDT:USDT,15m,False,3020,0.8707118090458356,1.1295298953629396,1.4467572532028337,1.3217976603868762
BTC/USDT:USDT,15m,True,3041,0.9578438422969967,1.2690519589103708,1.6964440372089522,1.868027586916205
BTC/USDT:USDT,1h,False,744,0.9220709243305195,1.1408924026327971,1.4998036220842947,1.3968685451502245
BTC/USDT:USDT,1h,True,745,0.9734737620468606,1.2850565726291545,1.8265427690431977,1.833786674651676
ETH/USDT:USDT,15m,False,3055,0.912840768476338,1.1424873894249195,1.4267628137644677,1.3394105398142446
ETH/USDT:USDT,15m,True,3061,0.9850728777940296,1.274846421579446,1.6727029720528421,1.765457313325371
ETH/USDT:USDT,1h,False,730,0.9674605908428513,1.1644668270163288,1.4642479160729833,1.3947853831337447
ETH/USDT:USDT,1h,True,733,1.0166331613584398,1.2834927510279557,1.7661009804760963,1.7183775013640799
SOL/USDT:USDT,15m,False,2934,0.9062143436046854,1.121512758089976,1.3758441009842115,1.2645899506525067
SOL/USDT:USDT,15m,True,2938,0.9650569385434938,1.21638010343019,1.544021647898166,1.5081336560624623
SOL/USDT:USDT,1h,False,711,0.9113455332339637,1.1438325524515571,1.4020481220083587,1.318930681565589
SOL/USDT:USDT,1h,True,713,1.0106242937371004,1.2514017185454545,1.6850658403079222,1.6082768756520374
BNB/USDT:USDT,15m,False,2987,0.8728884505698612,1.0935344740073851,1.382667108223846,1.2769962880130512
BNB/USDT:USDT,15m,True,2995,0.9186570464236525,1.193236636889999,1.5821720726270703,1.6371953816662967
BNB/USDT:USDT,1h,False,687,0.9384374012063115,1.1483013540862508,1.4496079708097493,1.3376650838417128
BNB/USDT:USDT,1h,True,694,1.0155308364698332,1.2807254256952483,1.6900441478457116,1.718575615680884
XRP/USDT:USDT,15m,False,2902,0.8923625080904276,1.1071686180352365,1.400644039313464,1.2980066465584403
XRP/USDT:USDT,15m,True,2903,0.944107563426616,1.2060077946570193,1.5739894456423538,1.5468863005900737
XRP/USDT:USDT,1h,False,731,0.9152934574462683,1.1309526268358978,1.454341054340293,1.3642382622409996
XRP/USDT:USDT,1h,True,731,0.9743540852450829,1.2545557119635753,1.6920185776215386,1.7277629690074345
TRX/USDT:USDT,15m,False,2755,0.9099056805583982,1.1550591256787477,1.4569468098235512,1.3271910281408543
TRX/USDT:USDT,15m,True,2759,0.976737853449342,1.263206767622518,1.619571697688279,1.5602180270227635
TRX/USDT:USDT,1h,False,646,0.8957589110512397,1.1282177865583591,1.4247871588545558,1.3455754106731013
TRX/USDT:USDT,1h,True,648,0.9475093959147375,1.2117111532865472,1.5923520837298388,1.5560120816381682
