segment,scope,symbol,value,num_days
full,pair_mean,—,0.25506217740125137,2132
full,vs_btc,ADA/USDT:USDT,0.24656267193971548,2132
full,vs_btc,BCH/USDT:USDT,0.12387252530759642,2132
full,vs_btc,BNB/USDT:USDT,0.27942477685468237,2132
full,vs_btc,DOGE/USDT:USDT,0.19283715681102645,2132
full,vs_btc,DOT/USDT:USDT,0.2508831225951259,2132
full,vs_btc,ETH/USDT:USDT,0.2957324258915206,2132
full,vs_btc,LINK/USDT:USDT,0.2784220167425889,2132
full,vs_btc,LTC/USDT:USDT,0.27153980038144443,2132
full,vs_btc,SOL/USDT:USDT,0.1796725103092098,2132
full,vs_btc,TRX/USDT:USDT,0.11019426877989104,2132
full,vs_btc,XRP/USDT:USDT,0.24098057266727846,2132
is,pair_mean,—,0.2031475523787973,1423
is,vs_btc,ADA/USDT:USDT,0.2306312314414301,1423
is,vs_btc,BCH/USDT:USDT,0.087365903084332,1423
is,vs_btc,BNB/USDT:USDT,0.27328173577982784,1423
is,vs_btc,DOGE/USDT:USDT,0.1265435638091803,1423
is,vs_btc,DOT/USDT:USDT,0.24361158334736188,1423
is,vs_btc,ETH/USDT:USDT,0.3424375604750331,1423
is,vs_btc,LINK/USDT:USDT,0.2842260756165377,1423
is,vs_btc,LTC/USDT:USDT,0.2648609000655196,1423
is,vs_btc,SOL/USDT:USDT,0.13954033361333415,1423
is,vs_btc,TRX/USDT:USDT,0.14476353750452442,1423
is,vs_btc,XRP/USDT:USDT,0.23962043400003152,1423
oos_warm,pair_mean,—,0.33078823187603024,710
oos_warm,vs_btc,ADA/USDT:USDT,0.2873365037268531,710
oos_warm,vs_btc,BCH/USDT:USDT,0.22702446693472048,710
oos_warm,vs_btc,BNB/USDT:USDT,0.29711775398623524,710
oos_warm,vs_btc,DOGE/USDT:USDT,0.31143843611256344,710
oos_warm,vs_btc,DOT/USDT:USDT,0.270363020068012,710
oos_warm,vs_btc,ETH/USDT:USDT,0.1821903052665884,710
oos_warm,vs_btc,LINK/USDT:USDT,0.27581588664254053,710
oos_warm,vs_btc,LTC/USDT:USDT,0.31674207107932345,710
oos_warm,vs_btc,SOL/USDT:USDT,0.26733214906686387,710
oos_warm,vs_btc,TRX/USDT:USDT,0.0009183167403448478,710
oos_warm,vs_btc,XRP/USDT:USDT,0.24652394624692966,710
oos,pair_mean,—,0.33710583499382085,708
oos,vs_btc,ADA/USDT:USDT,0.2878084142169481,708
oos,vs_btc,BCH/USDT:USDT,0.2099278769088244,708
oos,vs_btc,BNB/USDT:USDT,0.2979878691449394,708
oos,vs_btc,DOGE/USDT:USDT,0.31457230546524995,708
oos,vs_btc,DOT/USDT:USDT,0.2698429449834599,708
oos,vs_btc,ETH/USDT:USDT,0.19569273702742584,708
oos,vs_btc,LINK/USDT:USDT,0.2736246482215386,708
oos,vs_btc,LTC/USDT:USDT,0.3093349982518962,708
oos,vs_btc,SOL/USDT:USDT,0.2769498310870983,708
oos,vs_btc,TRX/USDT:USDT,4.555733151938942e-05,708
oos,vs_btc,XRP/USDT:USDT,0.24802748557453583,708
