check,arm,segment,metric,left,right,abs_diff
a′ §1-0 발판 ≡ 공개 채택 북,base,oos_warm,num_trades,14843.0,14843.0,0.0
a′ §1-0 발판 ≡ 공개 채택 북,base,oos_warm,mean_net_r,-0.1207385168607632,-0.120738516860763,2.0816681711721683e-16
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[0–1],15224.0,15224.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[0–1],-0.1763460493636717,-0.1763460493636717,5.551115123125783e-17
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[2–3],9015.0,9015.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[2–3],-0.0659241250778731,-0.0659241250778731,8.326672684688674e-17
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[4–6],14167.0,14167.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[4–6],-0.0529508853622435,-0.0529508853622435,7.63278329429795e-17
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[7–10],9216.0,9216.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[7–10],-0.0752757532375441,-0.0752757532375441,5.551115123125783e-17
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[11+],1810.0,1810.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[11+],-0.0856807089455225,-0.0856807089455225,2.7755575615628914e-17
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[≥ 0R],19903.0,19903.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[≥ 0R],-0.076911209870483,-0.076911209870483,8.326672684688674e-17
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[[-3R ~ 0R)],7076.0,7076.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[[-3R ~ 0R)],-0.0888625829038192,-0.0888625829038192,4.163336342344337e-17
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[[-5R ~ -3R)],3318.0,3318.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[[-5R ~ -3R)],-0.0631075943811018,-0.0631075943811018,2.7755575615628914e-17
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[[-10R ~ -5R)],5866.0,5866.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[[-10R ~ -5R)],-0.1007849748333247,-0.1007849748333247,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[[-20R ~ -10R)],5936.0,5936.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[[-20R ~ -10R)],-0.1073647117817228,-0.1073647117817228,2.7755575615628914e-17
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,num_trades[< -20R],7333.0,7333.0,0.0
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,full,mean_net_r[< -20R],-0.1746227771308276,-0.1746227771308276,2.7755575615628914e-17
a″ `wan408` 규약 ≡ 공개 wan408_leading.csv,base,is,num_trades[0–1],10781.0,10781.0,0.0
