threshold_stop_distance_fraction,num_trades,pct_of_all_trades,sum_pnl,pct_of_total_pnl
0.001,1,0.0008547008547008547,-25.084377872712125,-0.0026214649939950495
0.003,119,0.10170940170940171,735.6967484977349,0.07688463641272167
0.005,355,0.3034188034188034,2667.2207269807327,0.27874025030711436
0.01,757,0.647008547008547,7734.127945951192,0.808261850155177
inf,1170,1.0,9568.839534448307,1.0
