symbol,timeframe,window_start,window_end,window_days,adopted_entries,tp_entries,reentries_total,re_is_n,re_is_wins,re_is_stops,re_is_gross_r_sum,re_is_net_pp_sum,re_oos_n,re_oos_wins,re_oos_stops,re_oos_gross_r_sum,re_oos_net_pp_sum,funding_coverage
BTC/USDT:USDT,15m,1600128000000,1784678400000,2136.0,658,378,441,322,193,129,160.50000000000017,57.03541598306081,119,65,54,43.49999999999977,7.424436841873582,0.8647003745318352
ETH/USDT:USDT,15m,1600128000000,1784678400000,2136.0,806,463,446,259,138,121,86.00000000000011,41.89270253427538,187,104,83,72.99999999999979,27.759706433641423,0.8647003745318352
SOL/USDT:USDT,15m,1600128000000,1784678400000,2136.0,1172,669,757,489,260,229,160.99999999999966,74.99902229347092,268,137,131,74.50000000000003,7.968802233312593,0.8764044943820225
BNB/USDT:USDT,15m,1600128000000,1784678400000,2136.0,769,430,484,354,197,157,138.50000000000026,75.93883328185967,130,67,63,37.50000000000022,3.456382264262358,0.8647003745318352
XRP/USDT:USDT,15m,1600128000000,1784678400000,2136.0,933,562,609,375,207,168,142.49999999999983,58.55143717952561,234,126,108,81.00000000000011,18.911479528382173,0.8647003745318352
TRX/USDT:USDT,15m,1600128000000,1784678400000,2136.0,529,278,305,267,144,123,92.99999999999993,16.338870005304763,38,19,19,9.499999999999947,0.5128054259459605,0.8647003745318352
DOGE/USDT:USDT,15m,1600128000000,1784678400000,2136.0,983,585,662,404,233,171,178.50000000000057,107.04331101814627,258,144,114,102.00000000000007,37.78028010906756,0.0
LINK/USDT:USDT,15m,1600128000000,1784678400000,2136.0,1037,590,677,420,210,210,105.00000000000011,38.202702282622326,257,123,134,50.49999999999993,-9.226916060498203,0.0
LTC/USDT:USDT,15m,1600128000000,1784678400000,2136.0,960,536,580,371,196,175,118.99999999999963,14.578888622014688,209,110,99,65.99999999999989,12.163519072987565,0.0
