symbol,timeframe,segment,cost_multiplier,total_return,num_trades
BTC/USDT:USDT,15m,IS,1.0,-0.2476787171734035,490
BTC/USDT:USDT,15m,IS,1.5,-0.4413203965075224,490
BTC/USDT:USDT,15m,IS,2.0,-0.5851973885344953,490
BTC/USDT:USDT,15m,OOS,1.0,-0.09945363162689773,259
BTC/USDT:USDT,15m,OOS,1.5,-0.23223761721161928,259
BTC/USDT:USDT,15m,OOS,2.0,-0.34550489453003286,259
BTC/USDT:USDT,1h,IS,1.0,0.08216070126671147,157
BTC/USDT:USDT,1h,IS,1.5,-0.001454941142655298,157
BTC/USDT:USDT,1h,IS,2.0,-0.07865267072889255,157
BTC/USDT:USDT,1h,OOS,1.0,0.05001044900974593,92
BTC/USDT:USDT,1h,OOS,1.5,0.0036571317810830807,92
BTC/USDT:USDT,1h,OOS,2.0,-0.040673332537948775,92
BTC/USDT:USDT,4h,IS,1.0,0.03341340205326014,43
BTC/USDT:USDT,4h,IS,1.5,0.01903713475075165,43
BTC/USDT:USDT,4h,IS,2.0,0.0048556020307582,43
BTC/USDT:USDT,4h,OOS,1.0,-0.07884184993113086,21
BTC/USDT:USDT,4h,OOS,1.5,-0.08548550661859426,21
BTC/USDT:USDT,4h,OOS,2.0,-0.09208412487452078,21
BTC/USDT:USDT,1d,IS,1.0,-0.040169044124874924,4
BTC/USDT:USDT,1d,IS,1.5,-0.04055145213540909,4
BTC/USDT:USDT,1d,IS,2.0,-0.04093378076895952,4
BTC/USDT:USDT,1d,OOS,1.0,-0.025963483158560303,5
BTC/USDT:USDT,1d,OOS,1.5,-0.026447359917999166,5
BTC/USDT:USDT,1d,OOS,2.0,-0.026931010215050084,5
ETH/USDT:USDT,15m,IS,1.0,-0.2853102270270823,554
ETH/USDT:USDT,15m,IS,1.5,-0.48495968912946247,554
ETH/USDT:USDT,15m,IS,2.0,-0.628912424748195,554
ETH/USDT:USDT,15m,OOS,1.0,0.06878596657973485,296
ETH/USDT:USDT,15m,OOS,1.5,-0.09226660809620862,296
ETH/USDT:USDT,15m,OOS,2.0,-0.2291222939978341,296
ETH/USDT:USDT,1h,IS,1.0,0.009849339446520935,155
ETH/USDT:USDT,1h,IS,1.5,-0.0563018379015155,155
ETH/USDT:USDT,1h,IS,2.0,-0.11815134590164489,155
ETH/USDT:USDT,1h,OOS,1.0,0.2784241802519875,116
ETH/USDT:USDT,1h,OOS,1.5,0.21421780532499887,116
ETH/USDT:USDT,1h,OOS,2.0,0.15320520165170584,116
ETH/USDT:USDT,4h,IS,1.0,0.04300968061085314,40
ETH/USDT:USDT,4h,IS,1.5,0.02901196088573961,40
ETH/USDT:USDT,4h,IS,2.0,0.015195898081205451,40
ETH/USDT:USDT,4h,OOS,1.0,0.009834848382707788,25
ETH/USDT:USDT,4h,OOS,1.5,0.002982660699081498,25
ETH/USDT:USDT,4h,OOS,2.0,-0.0038255500888792083,25
ETH/USDT:USDT,1d,IS,1.0,0.013321828328930679,6
ETH/USDT:USDT,1d,IS,1.5,0.012672872958402514,6
ETH/USDT:USDT,1d,IS,2.0,0.012024231623367996,6
ETH/USDT:USDT,1d,OOS,1.0,-0.024383836679872182,6
ETH/USDT:USDT,1d,OOS,1.5,-0.0251855907849862,6
ETH/USDT:USDT,1d,OOS,2.0,-0.02598674168655998,6
SOL/USDT:USDT,15m,IS,1.0,-0.03474623913139112,644
SOL/USDT:USDT,15m,IS,1.5,-0.31915687627385314,644
SOL/USDT:USDT,15m,IS,2.0,-0.5198639530504533,644
SOL/USDT:USDT,15m,OOS,1.0,-0.18034695988038457,304
SOL/USDT:USDT,15m,OOS,1.5,-0.30909400852218494,304
SOL/USDT:USDT,15m,OOS,2.0,-0.41767630003966244,304
SOL/USDT:USDT,1h,IS,1.0,-0.09746869884136394,175
SOL/USDT:USDT,1h,IS,1.5,-0.1546076989827392,175
SOL/USDT:USDT,1h,IS,2.0,-0.2081543645965181,175
SOL/USDT:USDT,1h,OOS,1.0,-0.07684351804951693,95
SOL/USDT:USDT,1h,OOS,1.5,-0.11078031065542981,95
SOL/USDT:USDT,1h,OOS,2.0,-0.14348484574921605,95
SOL/USDT:USDT,4h,IS,1.0,0.07997855783657724,57
SOL/USDT:USDT,4h,IS,1.5,0.06782136874844473,57
SOL/USDT:USDT,4h,IS,2.0,0.05579784234532017,57
SOL/USDT:USDT,4h,OOS,1.0,-0.016122946902159128,18
SOL/USDT:USDT,4h,OOS,1.5,-0.020768327147398305,18
SOL/USDT:USDT,4h,OOS,2.0,-0.025393246412649933,18
SOL/USDT:USDT,1d,IS,1.0,-0.0010916662357389215,5
SOL/USDT:USDT,1d,IS,1.5,-0.0014505048621533206,5
SOL/USDT:USDT,1d,IS,2.0,-0.0018092514193873285,5
SOL/USDT:USDT,1d,OOS,1.0,-0.02575249094542123,5
SOL/USDT:USDT,1d,OOS,1.5,-0.026131063106526017,5
SOL/USDT:USDT,1d,OOS,2.0,-0.02650953635717815,5
