scenario,k,variant,scope,segment,exclude,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,max_open_notional_ratio,liquidation_events
k1.00_pure,1.0,pure,4h,full,,12,12,883,0.5866364665911665,26.016379856437254,0.15868281230649592,7,0.06999999999999999,0.06999999999999999,3.4278398192736965,0
k1.00_pure,1.0,pure,4h,oos_warm,,12,12,334,0.5508982035928144,1.5156507483786468,0.08282456378986311,6,0.060000000000000005,0.060000000000000005,3.4278398192736965,0
k1.00_pure,1.0,pure,4h,oos,,12,12,301,0.5282392026578073,0.9553985381493261,0.1041516191514626,6,0.06,0.06,3.4278398192736965,0
k1.00_observed,1.0,observed,4h,full,,12,12,883,0.5866364665911665,26.016379856437254,0.15868281230649592,7,0.06999999999999999,0.06999999999999999,3.4278398192736965,0
k1.00_observed,1.0,observed,4h,oos_warm,,12,12,334,0.5508982035928144,1.5156507483786468,0.08282456378986311,6,0.060000000000000005,0.060000000000000005,3.4278398192736965,0
k1.00_observed,1.0,observed,4h,oos,,12,12,301,0.5282392026578073,0.9553985381493261,0.1041516191514626,6,0.06,0.06,3.4278398192736965,0
k1.25_pure,1.25,pure,4h,full,,12,12,883,0.5866364665911665,9.869824747685518,0.21744356865376366,7,0.07000000000000002,0.08750000000000002,3.4278398192736965,0
k1.25_pure,1.25,pure,4h,oos_warm,,12,12,334,0.5508982035928144,0.742651685238595,0.12597496047502205,6,0.060000000000000005,0.07500000000000001,3.4278398192736965,0
k1.25_pure,1.25,pure,4h,oos,,12,12,301,0.5282392026578073,0.38274155761224704,0.14684667328519874,6,0.060000000000000005,0.075,3.427839819273697,0
k1.25_observed,1.25,observed,4h,full,,12,12,883,0.5866364665911665,16.73445297027018,0.18421219822265444,7,0.06999999999999999,0.0875,3.427839819273697,0
k1.25_observed,1.25,observed,4h,oos_warm,,12,12,334,0.5508982035928144,1.1316702012765119,0.1028968822013331,6,0.06000000000000001,0.07500000000000001,3.4278398192736965,0
k1.25_observed,1.25,observed,4h,oos,,12,12,301,0.5282392026578073,0.6668657376054398,0.12585087777196785,6,0.060000000000000005,0.07500000000000001,3.427839819273697,0
k1.50_pure,1.5,pure,4h,full,,12,12,883,0.5866364665911665,3.352120832038614,0.33919585115694445,7,0.06999999999999999,0.105,3.427839819273696,0
k1.50_pure,1.5,pure,4h,oos_warm,,12,12,334,0.5508982035928144,0.20473932320998084,0.17097678781203818,6,0.060000000000000005,0.09000000000000001,3.4278398192736974,0
k1.50_pure,1.5,pure,4h,oos,,12,12,301,0.5282392026578073,-0.024008973503151173,0.2147188449103771,6,0.06000000000000001,0.09000000000000002,3.4278398192736965,0
k1.50_observed,1.5,observed,4h,full,,12,12,883,0.5866364665911665,14.294008913059015,0.1920745536576931,7,0.07,0.10500000000000001,3.4278398192736965,0
k1.50_observed,1.5,observed,4h,oos_warm,,12,12,334,0.5508982035928144,0.9952808054639805,0.1117231010193809,6,0.06000000000000001,0.09000000000000001,3.427839819273697,0
k1.50_observed,1.5,observed,4h,oos,,12,12,301,0.5282392026578073,0.5642198466123187,0.1344512508425596,6,0.060000000000000005,0.09,3.4278398192736965,0
k2.00_pure,2.0,pure,4h,full,,12,12,883,0.5866364665911665,-0.3129754595468309,0.5714995599701782,7,0.07,0.14,3.427839819273697,0
k2.00_pure,2.0,pure,4h,oos_warm,,12,12,334,0.5508982035928144,-0.42777254761702577,0.49229292656822105,6,0.06,0.12,3.427839819273697,0
k2.00_pure,2.0,pure,4h,oos,,12,12,301,0.5282392026578073,-0.516493100770692,0.5451108085065536,6,0.060000000000000005,0.12000000000000001,3.427839819273697,0
k2.00_observed,2.0,observed,4h,full,,12,12,883,0.5866364665911665,13.250038223249042,0.19529220886709928,7,0.06999999999999999,0.13999999999999999,3.4278398192736965,0
k2.00_observed,2.0,observed,4h,oos_warm,,12,12,334,0.5508982035928144,0.9171814528166189,0.11216912511162641,6,0.06000000000000002,0.12000000000000004,3.4278398192736965,0
