arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades
기준,0.003,1.0,full,False,48,12,56585,0.5207210391446496,-0.05555003610509637,0.010355929360006172,-18.68938300709383,7.5731292762721605,-2.4678547434348825,21,3.4660387817037375,3.4660387817037375,0.6014491473005213,0.008588247082485123,42780,17803,105143,0,3478
기준,0.003,1.0,is,False,48,12,39751,0.5219491333551357,-0.04833207335011044,0.014436802000039498,-10.827992336965021,4.593563049457161,-2.357209908818952,21,3.4660387817037375,3.4660387817037375,0.5630801740836708,0.008588247082485123,25946,17803,105143,0,2718
기준,0.003,1.0,oos_warm,False,48,12,16834,0.5178210763930141,-0.07259418707773875,0.0007195524849932135,-7.861390670128651,7.35824386575753,-1.068378653052337,17,6.231374538382605,6.231374538382605,0.6920517999287157,0.014727791605106812,12832,17803,105143,0,760
기준,0.003,1.0,oos,False,48,12,16497,0.5172455597987513,-0.07446413407870663,-0.0006803628382087057,-7.822719200149739,7.950780018511812,-0.9838933012781251,17,42.700651541181415,42.700651541181415,0.6960053343032067,0.025366792261088643,12670,17803,105143,0,763
기준,0.004,1.0,full,False,48,12,50599,0.5186663768058657,-0.04553948837771141,0.010714219925998487,-15.727519528454033,6.307045858903333,-2.493642805252843,21,21.706864855797157,21.706864855797157,0.5509397418921322,0.008778217083326321,37553,27605,95341,0,2848
기준,0.004,1.0,is,False,48,12,36020,0.5199888950583009,-0.03959347740539119,0.014497911512057487,-9.166619124025171,3.8786126495137587,-2.3633757614786157,21,21.706864855797157,21.706864855797157,0.5148806218767351,0.008778217083326321,22974,27605,95341,0,2284
기준,0.004,1.0,oos_warm,False,48,12,14579,0.5153988613759517,-0.06023016093570396,0.001365940144816721,-6.560900404428705,5.5496962527724785,-1.1822089183982016,17,556.9618897250583,556.9618897250583,0.6400301803964606,0.03567362910130948,10983,27605,95341,0,564
기준,0.004,1.0,oos,False,48,12,14254,0.5147327066086712,-0.06217745272443091,-0.00018572253031140068,-6.609894927235254,5.959966019706251,-1.1090490961492152,17,27.398704053402778,27.398704053402778,0.6448014592395117,0.015567174256475073,10763,27605,95341,0,568
기준,0.005,1.0,full,False,48,12,45165,0.5158197719473043,-0.040816192390312145,0.008318316618983685,-14.1030794862399,5.939626300636203,-2.374405185176262,21,22.191199077432493,22.191199077432493,0.4911989372301561,0.009392531096619819,32942,37148,85798,0,2437
기준,0.005,1.0,is,False,48,12,32560,0.5182739557739557,-0.03342727772629851,0.0141484570550136,-8.092176009405637,3.579530307628729,-2.2606809592195702,21,22.191199077432493,22.191199077432493,0.4581081081081081,0.009392531096619819,20337,37148,85798,0,1986
기준,0.005,1.0,oos_warm,False,48,12,12605,0.5094803649345497,-0.05990251222056089,-0.006741530473212615,-6.010903476834186,5.136783350374399,-1.1701687742770144,16,26.684710076106366,26.684710076106366,0.5766759222530742,0.016120327054305373,9471,37148,85798,0,451
