symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,sym
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,baseline,0,1689433200000,1784106000000,105193,658,0.5167173252279635,0.4723822874977395,0.1216446855712102,13.921889473439956,1.1478121730918207,0.2917933130699088,0.5012396694214876,2420,1213,1.0,BTC
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp,0,1689433200000,1784106000000,105193,612,0.4885620915032679,0.1860687781734215,0.1385943851552666,6.931310865233871,1.0663331288923248,0.2214052287581699,0.4371900826446281,2420,1058,1.0,BTC
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689433200000,1784106000000,105193,327,0.4709480122324159,0.04311641803254,0.1105229346093787,3.5873009760224326,1.0307787569332756,0.1773700305810397,0.2190082644628099,2420,530,1.0,BTC
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689433200000,1784106000000,105193,347,0.4639769452449567,0.0132869061350724,0.1744787783456223,1.6291979923600612,1.0089334543871875,0.1599423631123919,0.228099173553719,2420,552,1.0,BTC
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689433200000,1784106000000,105193,342,0.4619883040935672,-0.0169241056329436,0.1885279624379319,-0.3020329893817817,0.9881207466919034,0.1549707602339181,0.2214876033057851,2420,536,1.0,BTC
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1689433200000,1784106000000,105193,316,0.4936708860759494,0.1738359255075296,0.088866800997426,11.753801143158531,1.1281100098635184,0.2341772151898734,0.2161157024793388,2420,523,1.0,BTC
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,4,1689433200000,1784106000000,105193,336,0.4523809523809524,-0.0771313622796538,0.2056317696137786,-4.402649363468284,0.9460566345354148,0.1309523809523809,0.2210743801652892,2420,535,1.0,BTC
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,0.0,baseline,0,1689433200000,1752547500000,70128,422,0.5260663507109005,0.3374150074488183,0.1114620916588933,16.319355562125427,1.1749248719894836,0.3151658767772511,0.4924717691342534,1594,785,1.0,BTC
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,0.0,pen_5bp,0,1689433200000,1752547500000,70128,391,0.5012787723785166,0.1825938206685728,0.1369140328536494,10.280742110460722,1.104609337439875,0.2531969309462916,0.4297365119196988,1594,685,1.0,BTC
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689433200000,1752547500000,70128,207,0.4830917874396135,0.1029633680807637,0.0793827757736272,10.93009340889432,1.122358338294534,0.2077294685990338,0.2132998745294855,1594,340,1.0,BTC
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689433200000,1752547500000,70128,223,0.4663677130044843,0.0268474822099828,0.1632841481618555,3.387062114569519,1.0280540452823357,0.1659192825112107,0.2208281053952321,1594,352,1.0,BTC
