arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades,exclude
기준,0.003,1.5,full,False,44,11,46015,0.40551993915027706,-0.09484302238913869,-0.025333980847863247,-25.871911460164437,16.938501348552098,-1.5274026271737415,22,97.21662296151227,97.21662296151227,0.6068238617842008,0.052121395425067246,40453,16704,95866,0,3090,-ADA
기준,0.003,1.5,oos_warm,False,44,11,13779,0.4024239785180347,-0.11566746470399684,-0.03815689896394379,-9.653442749466135,9.326154680902626,-1.0350935706903623,16,470.70724377587294,470.70724377587294,0.6976558531098048,0.04872024678330066,11376,16704,95866,0,685,-ADA
기준,0.003,1.5,full,False,44,11,45782,0.4043510549997816,-0.09811771353495244,-0.028242293070895416,-27.264965409177115,17.264002209220607,-1.5792957553385303,23,61.55465650322021,61.55465650322021,0.6077716132978026,0.04368180611080264,40482,16564,95938,0,3109,-BCH
기준,0.003,1.5,oos_warm,False,44,11,13675,0.39882998171846434,-0.12488040219129397,-0.0471513318014577,-10.59689744761624,8.306907617164761,-1.2756729623090568,16,27.104636608003826,27.104636608003826,0.6992321755027422,0.023151111693537358,10947,16564,95938,0,688,-BCH
기준,0.003,1.5,full,False,44,11,46579,0.40380858326713753,-0.09816131866427345,-0.029115946364546452,-27.86616830678141,19.46988445727754,-1.4312446675237187,24,131.5573183437847,131.5573183437847,0.5971145795315486,0.08904299267655011,41464,15874,97253,0,3096,-BNB
기준,0.003,1.5,oos_warm,False,44,11,14075,0.4007815275310835,-0.11764942293843529,-0.04140162085006543,-10.389213410186223,9.797747667490752,-1.0603675214721004,16,567.4723169103185,567.4723169103185,0.688809946714032,0.0830381193070313,11636,15874,97253,0,687,-BNB
기준,0.003,1.5,full,False,44,11,46850,0.4025186766275347,-0.10033517050426746,-0.0321748147157445,-28.577941258282582,26.57806445572647,-1.075245389139886,24,160.5905347808735,160.5905347808735,0.5933617929562434,0.14979595764541814,43918,15596,96843,0,3114,-BTC
기준,0.003,1.5,oos_warm,False,44,11,14159,0.39974574475598557,-0.11947398606511178,-0.0438460536405425,-10.34104131171008,9.144690527654117,-1.1308246332052598,16,66.60575092197855,66.60575092197855,0.6851472561621583,0.05740338339384349,11492,15596,96843,0,691,-BTC
기준,0.003,1.5,full,False,44,11,45849,0.40373835852472245,-0.0996926751599447,-0.029915644107822274,-27.80291301555335,25.515280264550153,-1.0896573632460365,22,307.39402241084366,307.39402241084366,0.6084756483238457,0.10196227871442136,43991,16746,95723,0,3104,-DOGE
기준,0.003,1.5,oos_warm,False,44,11,13722,0.4025652237283195,-0.11519993898367421,-0.03765154094231135,-9.47674154467485,8.49083562825963,-1.1161141211041559,16,100.15123073810003,100.15123073810003,0.6999708497303601,0.04888473691573967,11219,16746,95723,0,695,-DOGE
기준,0.003,1.5,full,False,44,11,45675,0.4044006568144499,-0.09852720886830595,-0.028443963499611435,-26.827943584818147,20.06140848084553,-1.3372911284087183,21,382.1138418403372,382.1138418403372,0.607991242474001,0.09659302798197009,41194,16557,95695,0,3080,-DOT
기준,0.003,1.5,oos_warm,False,44,11,13755,0.400945110868775,-0.11967707743824867,-0.04202192624399377,-9.988390475727707,8.740381870978773,-1.1427865078633204,16,81.14821599255887,81.14821599255887,0.6949472918938567,0.05627907464857279,11079,16557,95695,0,686,-DOT
기준,0.003,1.5,full,False,44,11,46217,0.4046130211826817,-0.0961759175112619,-0.027260415475098193,-26.893293288051105,21.900930460292482,-1.2279520880087735,24,315.032227879577,315.032227879577,0.5988056342904127,0.11753345414390713,41259,16244,96209,0,3119,-ETH
기준,0.003,1.5,oos_warm,False,44,11,13717,0.3979004155427572,-0.12588222697943022,-0.04922370816638612,-10.835460309981794,10.191858579363618,-1.063148612748742,17,117.40040990501547,117.40040990501547,0.6889990522709047,0.053851462822326106,11207,16244,96209,0,698,-ETH
기준,0.003,1.5,full,False,44,11,45847,0.4040613344384584,-0.09929478363611195,-0.029336418530824155,-26.916957583185507,19.395145776025508,-1.3878192973655177,24,3268.931257534906,3268.931257534906,0.6100944445656205,0.20700164274082564,41649,16637,95965,0,3082,-LINK
기준,0.003,1.5,oos_warm,False,44,11,13826,0.4017069289743961,-0.11734822086606284,-0.039984203904019085,-9.865725388488837,8.82884346447075,-1.1174425538509922,16,154.3637470941669,154.3637470941669,0.6963691595544627,0.04523796265884856,11298,16637,95965,0,686,-LINK
기준,0.003,1.5,full,False,44,11,45875,0.40479564032697546,-0.09667040132165511,-0.027157230215917923,-26.64021032145935,20.146525143919206,-1.3223228388593913,22,107.61369091678797,107.61369091678797,0.6061471389645776,0.10015438748943735,41326,16383,95854,0,3090,-LTC
기준,0.003,1.5,oos_warm,False,44,11,13776,0.4011324041811847,-0.11846572701324096,-0.0413085133093951,-9.978337789623357,8.923027411181703,-1.1182681986518628,17,111.09731538029575,111.09731538029575,0.6955574912891986,0.061088708136875884,11058,16383,95854,0,689,-LTC
