symbol,timeframe,detector,direction,num_zones,born_dead,born_dead_share,num_taps,width_atr_p10,width_atr_p50,width_atr_p90,delay_bars_p50,delay_move_atr_p50
BTC/USDT:USDT,1h,flux,bullish,783,0,0.0,1741,0.8326709751168496,1.327622680573651,2.345136474414049,10.0,3.0305056405963255
BTC/USDT:USDT,1h,flux,bearish,725,0,0.0,1698,0.7335117253912731,1.2526817137815103,2.3907751229942438,9.0,3.024208488971065
BTC/USDT:USDT,1h,lux,bullish,1875,241,0.12853333333333333,2873,0.538172855276817,0.8537935245342598,1.3939365002019128,5.0,0.7091694432475503
BTC/USDT:USDT,1h,lux,bearish,2260,350,0.15486725663716813,3397,0.5766293011528634,0.9131500763752727,1.5646438550774477,5.0,0.5985933109450785
BTC/USDT:USDT,2h,flux,bullish,392,0,0.0,947,0.8426546224275024,1.400454897102605,2.4946772905952996,10.0,3.083034859686715
BTC/USDT:USDT,2h,flux,bearish,335,0,0.0,772,0.7432674814949087,1.259053188956021,2.2936624322963644,10.0,3.12304433702874
BTC/USDT:USDT,2h,lux,bullish,969,129,0.13312693498452013,1560,0.537564023419295,0.8680278114953464,1.3909061491728172,5.0,0.6611035566938741
BTC/USDT:USDT,2h,lux,bearish,1220,148,0.12131147540983607,1801,0.5784244676357634,0.9370572449078441,1.5765160206162512,5.0,0.5789378547291884
BTC/USDT:USDT,4h,flux,bullish,197,0,0.0,428,0.7830262939148003,1.312064633869951,2.3605303798521025,9.0,3.0387907942992256
BTC/USDT:USDT,4h,flux,bearish,166,0,0.0,340,0.6849404560646104,1.2546545539896161,2.2863201717907393,9.0,3.030421420465311
BTC/USDT:USDT,4h,lux,bullish,541,74,0.1367837338262477,812,0.5434914823879344,0.8442265645480872,1.3721414996692098,5.0,0.7361351359601448
BTC/USDT:USDT,4h,lux,bearish,647,98,0.15146831530139104,926,0.5683950481678226,0.8906732366986047,1.4631665369211355,5.0,0.6297506618433261
ETH/USDT:USDT,1h,flux,bullish,773,0,0.0,1726,0.8471634692142045,1.3355991783424261,2.435265734527928,10.0,3.0348011294269526
ETH/USDT:USDT,1h,flux,bearish,697,0,0.0,1542,0.6988962903049879,1.1716143148169922,2.128800284011364,10.0,3.224420588542418
ETH/USDT:USDT,1h,lux,bullish,1940,281,0.14484536082474228,2918,0.5548992892508948,0.8508240853571299,1.369312264699018,5.0,0.7103645625544954
ETH/USDT:USDT,1h,lux,bearish,2240,312,0.1392857142857143,3227,0.5777823198274441,0.9357019278141854,1.5465150114136657,5.0,0.6166773755270918
ETH/USDT:USDT,2h,flux,bullish,392,0,0.0,806,0.8368251507090588,1.394099042855912,2.2580825620689695,10.0,3.093933155041497
ETH/USDT:USDT,2h,flux,bearish,330,0,0.0,701,0.7439019551091458,1.245143945262968,2.274275232597346,10.0,3.2459300729932954
ETH/USDT:USDT,2h,lux,bullish,1010,136,0.13465346534653466,1588,0.5428031243404293,0.8542432720130353,1.3592454526830373,5.0,0.6586595666367724
ETH/USDT:USDT,2h,lux,bearish,1183,156,0.13186813186813187,1700,0.5820072648446276,0.9281902146452103,1.5657335620416137,5.0,0.5671476938451073
ETH/USDT:USDT,4h,flux,bullish,200,0,0.0,408,0.7619742574676669,1.3697173584926057,2.2538424417660137,9.5,3.0119480664431384
ETH/USDT:USDT,4h,flux,bearish,166,0,0.0,335,0.7223788310558108,1.1776404927516253,1.9329545225439377,9.0,3.2200564759197734
ETH/USDT:USDT,4h,lux,bullish,533,71,0.13320825515947468,771,0.5510895587134368,0.8351871247289098,1.3252554471536202,5.0,0.7350240187561746
ETH/USDT:USDT,4h,lux,bearish,641,94,0.14664586583463338,889,0.5706955195069205,0.852992514083835,1.4414279032776192,5.0,0.6020039607647677
SOL/USDT:USDT,1h,flux,bullish,734,0,0.0,1634,0.7678206441310818,1.2327665071768688,2.102699464425445,10.0,3.196935859510787
SOL/USDT:USDT,1h,flux,bearish,726,0,0.0,1536,0.7119775451303767,1.1643094475523799,1.9912440734957764,10.0,3.1223969796211284
SOL/USDT:USDT,1h,lux,bullish,1961,370,0.18867924528301888,2761,0.5161975507085469,0.7943075517806211,1.2430439144851213,5.0,0.751097873943682
SOL/USDT:USDT,1h,lux,bearish,2220,350,0.15765765765765766,3001,0.5461920521118786,0.8490770495022575,1.4210749785598848,5.0,0.6712951306800609
SOL/USDT:USDT,2h,flux,bullish,360,0,0.0,749,0.7353066850389465,1.2313862591310456,2.181757853191832,9.0,3.1757217936450957
SOL/USDT:USDT,2h,flux,bearish,356,0,0.0,747,0.7201724476559466,1.1719885810907047,2.136882404969091,11.0,3.163234916148073
SOL/USDT:USDT,2h,lux,bullish,967,172,0.1778697001034126,1436,0.5229217389493971,0.8205593749713462,1.2873729479601546,5.0,0.7705424394014057
SOL/USDT:USDT,2h,lux,bearish,1203,211,0.17539484621778886,1571,0.5515624021584442,0.8328136484583685,1.405734046493547,5.0,0.6453950196405672
SOL/USDT:USDT,4h,flux,bullish,176,0,0.0,365,0.773500463537277,1.2286406526739548,2.1076789126564988,10.5,3.310823097004471
SOL/USDT:USDT,4h,flux,bearish,173,0,0.0,338,0.7123758150920917,1.180303112352866,1.888080628753693,10.0,3.1138266625570057
SOL/USDT:USDT,4h,lux,bullish,508,93,0.1830708661417323,711,0.5124672887808618,0.8084444989696324,1.2181963449423558,5.0,0.8342268202888072
SOL/USDT:USDT,4h,lux,bearish,645,97,0.15038759689922482,830,0.5362116524016969,0.830981757156189,1.348691376094287,5.0,0.6324410977569931
BNB/USDT:USDT,1h,flux,bullish,747,0,0.0,1603,0.832114702674081,1.361312322800241,2.3145059449606706,10.0,3.064079569414806
BNB/USDT:USDT,1h,flux,bearish,668,0,0.0,1419,0.6937362531419801,1.1250056577900631,2.027743227982106,9.0,3.187990110615332
BNB/USDT:USDT,1h,lux,bullish,2037,379,0.18605792832596957,2789,0.4989825112474064,0.7839100383213091,1.248547817624453,5.0,0.7261698050500303
BNB/USDT:USDT,1h,lux,bearish,2251,359,0.15948467347845402,2995,0.5332693747193358,0.8595631493359077,1.5011465193863132,5.0,0.6580274987815671
BNB/USDT:USDT,2h,flux,bullish,387,0,0.0,779,0.8497604367315823,1.4264978570952487,2.264919793353604,10.0,3.173173020492028
BNB/USDT:USDT,2h,flux,bearish,323,0,0.0,667,0.7172425543382741,1.175972678975948,2.2182482073771412,10.0,3.301203868922171
BNB/USDT:USDT,2h,lux,bullish,1012,173,0.17094861660079053,1443,0.5326842223159561,0.8055215128945753,1.2776214872514209,5.0,0.7724564409667822
BNB/USDT:USDT,2h,lux,bearish,1188,174,0.14646464646464646,1580,0.53619580390767,0.8692999230157021,1.4947785921245225,5.0,0.6071686298859382
