entry_time,entry_price,exit_time,exit_price,reason,quantity,realized_pnl
1602010920000,10554.100397999999,1602017220000,10508.743,stop_loss,0.9474990404577731,-48.95890064622663
1608762120000,22777.954680000003,1608763620000,23352.704506650007,take_profit,0.25453183216411956,142.7549808400794
1608778500000,22777.954680000003,1608797700000,23352.704506650007,take_profit,0.2581832779235124,144.80290571057108
1609755360000,27937.796442,1609755360000,28728.619609447498,take_profit,0.1907352244690259,147.58026609934058
1610374440000,31293.2574,1610375220000,33366.45192825,take_profit,0.07454601893378622,153.0869065417397
1610381520000,30999.65228168627,1610386140000,32632.806138863572,take_profit,0.09584180685174391,154.67916916028045
1611113340000,35537.106,1611116100000,34791.06576500001,stop_loss,0.14676663420014666,-112.57941360522821
1612711080000,37707.54,1612723740000,38374.65307500001,take_profit,0.2312664666280661,148.9868776185355
1614071460000,45297.0576,1614071760000,47563.850178,take_profit,0.07026816009899753,157.30986590734034
1614080280000,45297.0576,1614082860000,47563.850178,take_profit,0.07129831027740167,159.6160709680801
1614883740000,47686.995491999995,1614900000000,48606.08353063499,take_profit,0.17565042630150327,156.34788586020707
1615555620000,55211.04,1615561620000,56464.693530000004,take_profit,0.13109790094143156,159.94277488062406
1615801260000,55211.04,1615806060000,56464.693530000004,take_profit,0.13296945225058934,162.2261150986485
1615810860000,55211.04,1615813020000,56464.693530000004,take_profit,0.13486772179304954,164.54205224113642
1615856580000,53748.117474,1615868460000,54751.4042881575,take_profit,0.17013593743469768,165.14017277442733
1615873320000,53748.117474,1615876560000,54751.4042881575,take_profit,0.1725393135533849,167.47297766836266
1616450520000,53748.117474,1616454240000,54751.4042881575,take_profit,0.1749766402697822,169.83873625601007
1617786600000,57406.989102,1617792780000,56780.53553000001,stop_loss,0.20387605971815317,-134.69014474441752
1618571940000,60244.59651,1618579620000,61105.92302936251,take_profit,0.20015237875529615,165.0927335355531
1618674060000,60244.59651,1618682460000,59620.175,stop_loss,0.2028927528817649,-133.97383810213856
1619142600000,49949.58792,1619142840000,50883.5153151,take_profit,0.18901573678975933,170.7916090052637
1619164260000,47716.212594585595,1619166840000,48631.20372072076,take_profit,0.19578031341227536,173.4604575104471
1620074100000,56806.699067999994,1620089460000,56221.875,stop_loss,0.21887331009491076,-135.41126079084262
1620553260000,57648.117318,1620562920000,56791.590000000004,stop_loss,0.14850624099359608,-132.28543556553606
1620676440000,55960.63989,1620676980000,55272.350000000006,stop_loss,0.1841513621622559,-132.88195783561451
1620833580000,55348.347455999996,1620837900000,54514.059335000005,stop_loss,0.1491032383119447,-129.2968732066182
1621197780000,43967.151672,1621201320000,45392.096777909996,take_profit,0.1233403182124014,172.42912803815318
1621423920000,36108.500256,1621423980000,36854.62910718,take_profit,0.23691938153228406,171.56879488134763
1622085060000,37242.867084,1622103180000,38428.963616145,take_profit,0.1524191039949012,177.3055425140422
1622177220000,37242.867084,1622183640000,36421.100340000005,stop_loss,0.15462563981644173,-130.47060337832198
1622772720000,37434.475397999995,1622774940000,37842.03301325249,take_profit,0.32842526747128137,126.42202135459755
1623842280000,39106.8198,1623855240000,38700.64,stop_loss,0.3176133901992677,-136.40904982109043
1624042380000,35257.049999999996,1624065060000,36016.017982499994,take_profit,0.2371559405928456,174.90491695016627
1624274520000,31839.356598000002,1624283880000,33128.3190492525,take_profit,0.1431521920135877,181.70926898629105
1624357380000,31188.27524608159,1624357380000,31501.429521146376,take_profit,0.4053143257510979,119.29051063679283
1624357380000,31188.27524608159,1624357380000,31501.429521146376,take_profit,0.4091391769073599,120.41622571408426
1624626900000,32783.095308,1624638120000,32283.850000000002,stop_loss,0.26662981974265004,-138.3050114803593
1625448180000,34641.926999999996,1625457060000,34233.874500000005,stop_loss,0.3259548835863439,-139.7285256220547
1626689700000,31301.249531929603,1626698040000,31003.080705,stop_loss,0.4026269922259161,-127.56443440618304
1627934760000,38807.069862,1627945620000,39517.905817672494,take_profit,0.2561267795614006,176.02758057641708
1627949220000,38807.069862,1627950780000,39517.905817672494,take_profit,0.2597407904930895,178.51137239846437
1629126060000,46082.2146,1629159840000,45457.26,stop_loss,0.21304203635252938,-141.32753973445358
1629249240000,44270.0990028335,1629250980000,44952.75988333021,take_profit,0.26990856935048435,177.01299174565116
1629343200000,44222.76306731254,1629360060000,44834.47921444721,take_profit,0.29092229951689946,168.88491188299227
1629812100000,48559.71,1629821760000,48051.772095,stop_loss,0.2684174356563614,-149.49482900901558
1629882120000,47246.717454,1629901380000,47993.284988182495,take_profit,0.2508144877126875,180.0649569068571
1629955800000,47237.411340195744,1629959940000,46709.6335,stop_loss,0.25901168195870494,-143.986970656755
1631026740000,46924.192961999994,1631026740000,47460.25540629749,take_profit,0.275355955554125,139.79642979658757
1631259180000,46093.606878,1631282760000,45477.25,stop_loss,0.22002191863845408,-142.65690073000678
