symbol,timeframe,engine,axis,quantile,quantile_rank,axis_min,axis_max,n,win_rate,avg_r,profit_factor,total_return_sum
BTC/USDT:USDT,4h,B,relative_volume,Q1,1,0.39341471423759244,1.1009610275075719,6,0.3333333333333333,-0.23366393310606684,0.6603600414164178,-0.05529016092174876
BTC/USDT:USDT,4h,B,relative_volume,Q2,2,1.124217304061468,1.3567969757264167,5,0.2,0.7701662475808201,1.8110813835331419,0.20126829135143595
BTC/USDT:USDT,4h,B,relative_volume,Q3,3,1.384432671886663,1.7440784591119938,5,0.4,-0.2947959329533688,0.5384084042226852,-0.049383722264688595
BTC/USDT:USDT,4h,B,relative_volume,Q4,4,2.0258372411348233,3.0135971535427615,6,0.5,0.7935709633228475,2.4744549492627126,0.08782685132872058
BTC/USDT:USDT,4h,B,volume_percentile,Q1,1,0.0,0.23809523809523808,6,0.0,-1.0677664442241774,0.0,-0.13909512397877158
BTC/USDT:USDT,4h,B,volume_percentile,Q2,2,0.2857142857142857,0.47619047619047616,5,0.4,1.2355885045495394,2.8219789119285794,0.2586708131734698
BTC/USDT:USDT,4h,B,volume_percentile,Q3,3,0.5238095238095238,0.7142857142857143,5,0.6,0.9840013351874454,3.199142137760248,0.07484046266925808
BTC/USDT:USDT,4h,B,volume_percentile,Q4,4,0.7619047619047619,1.0,6,0.5,0.17415720351634678,1.3331415206199309,-0.00999489237023711
BTC/USDT:USDT,4h,B,imbalance,Q1,1,0.0967142995987066,0.18575653164489644,6,0.8333333333333334,2.8687757076235343,16.737216717531304,0.4131750904784643
BTC/USDT:USDT,4h,B,imbalance,Q2,2,0.1926612198046168,0.2182716597443127,5,0.4,-0.4146448161136706,0.3610429301670983,-0.03358161763066924
BTC/USDT:USDT,4h,B,imbalance,Q3,3,0.22948464888614586,0.30443455580885526,5,0.0,-1.0530909927014878,0.0,-0.13152386582867232
BTC/USDT:USDT,4h,B,imbalance,Q4,4,0.4860348319035933,0.9814371103892635,6,0.16666666666666666,-0.6896135745379124,0.21843167708109051,-0.06364834752540356
BTC/USDT:USDT,4h,A,relative_volume,Q1,1,0.39341471423759244,0.9495389335441011,3,0.6666666666666666,0.267732136965475,1.5382441187860776,0.0026619754209040933
BTC/USDT:USDT,4h,A,relative_volume,Q2,2,1.3022694001225545,1.384432671886663,3,0.6666666666666666,0.4365616502444459,3.6914218974948874,0.09850344215815046
BTC/USDT:USDT,4h,A,relative_volume,Q3,3,1.4310344740121075,1.7440784591119938,3,0.0,-1.047885003670948,0.0,-0.09945534894120264
BTC/USDT:USDT,4h,A,relative_volume,Q4,4,2.371235149452346,3.0135971535427615,3,0.0,-1.079504525557541,0.0,-0.04985799468091033
BTC/USDT:USDT,4h,A,volume_percentile,Q1,1,0.0,0.18181818181818182,3,0.3333333333333333,-0.270480635236973,0.6766541396445951,-0.023082627433360276
