timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,death_rate,ambiguous_rate,winner_rate,mean_r
15m,is,trend_dev,Q1,1,-0.39332150809010924,-0.020211719487656765,1760,0.08579545454545455,0.2863636363636364,0.6278409090909091,0.5696022727272727
15m,is,trend_dev,Q2,2,-0.020203899154736082,0.00021355327577832206,1760,0.10340909090909091,0.33295454545454545,0.5636363636363636,0.4090909090909091
15m,is,trend_dev,Q3,3,0.00021822104497326578,0.3079885168938936,1760,0.1,0.34488636363636366,0.5551136363636363,0.3877840909090909
15m,is,volume_pctl,Q1,1,0.0,0.36553030303030304,1760,0.11079545454545454,0.3255681818181818,0.5636363636363636,0.4090909090909091
15m,is,volume_pctl,Q2,2,0.3658301158301158,0.6934306569343066,1760,0.10227272727272728,0.33636363636363636,0.5613636363636364,0.4034090909090909
15m,is,volume_pctl,Q3,3,0.6940104166666666,1.0,1760,0.07613636363636364,0.30227272727272725,0.6215909090909091,0.5539772727272727
15m,is,vol_balance,Q1,1,0.011022293155893996,0.21595006709572284,1760,0.08693181818181818,0.30113636363636365,0.6119318181818182,0.5298295454545454
15m,is,vol_balance,Q2,2,0.21597992820963322,0.3664619645045379,1760,0.09204545454545454,0.34488636363636366,0.5630681818181819,0.40767045454545453
15m,is,vol_balance,Q3,3,0.36652963672318595,0.996871497045874,1760,0.11022727272727273,0.3181818181818182,0.571590909090909,0.4289772727272727
15m,is,rsi_slope_5_3,Q1,1,-23.50880351837764,-5.469044828000094,1760,0.08522727272727272,0.29545454545454547,0.6193181818181818,0.5482954545454546
15m,is,rsi_slope_5_3,Q2,2,-5.466437101897462,-1.670287566740292,1760,0.10227272727272728,0.3340909090909091,0.5636363636363636,0.4090909090909091
15m,is,rsi_slope_5_3,Q3,3,-1.6684514572997031,14.978840303269848,1760,0.10170454545454545,0.3346590909090909,0.5636363636363636,0.4090909090909091
15m,is,rsi_slope_10_5,Q1,1,-23.412941954230327,-5.188622936236079,1760,0.08409090909090909,0.32443181818181815,0.5914772727272727,0.4786931818181818
15m,is,rsi_slope_10_5,Q2,2,-5.184390864687586,-1.3178583875196423,1760,0.10170454545454545,0.3068181818181818,0.5914772727272727,0.4786931818181818
15m,is,rsi_slope_10_5,Q3,3,-1.3162716418627838,12.628139721356511,1760,0.10340909090909091,0.33295454545454545,0.5636363636363636,0.4090909090909091
15m,is,rsi_slope_14_5,Q1,1,-18.955164828806716,-4.133339441982443,1760,0.09147727272727273,0.3068181818181818,0.6017045454545454,0.5042613636363636
15m,is,rsi_slope_14_5,Q2,2,-4.132745861256851,-0.9884327120277305,1760,0.09886363636363636,0.3210227272727273,0.5801136363636363,0.4502840909090909
15m,is,rsi_slope_14_5,Q3,3,-0.9869204653242818,8.110551416989303,1760,0.09886363636363636,0.33636363636363636,0.5647727272727273,0.4119318181818182
15m,is,zone_width_atr,Q1,1,0.08196382252394975,0.8509044769228179,1760,0.048295454545454544,0.28295454545454546,0.66875,0.671875
15m,is,zone_width_atr,Q2,2,0.8509500084259336,1.0826481847109937,1760,0.10454545454545454,0.3397727272727273,0.5556818181818182,0.38920454545454547
15m,is,zone_width_atr,Q3,3,1.0827372739991852,1.2797328412323448,1760,0.13636363636363635,0.34147727272727274,0.522159090909091,0.3053977272727273
15m,is,freshness_bars,Q1,1,1.0,36.0,1797,0.11407902058987202,0.3617139677239844,0.5242070116861436,0.3105175292153589
15m,is,freshness_bars,Q2,2,37.0,139.0,1727,0.09727851766068327,0.32889403590040533,0.5738274464389114,0.43456861609727854
15m,is,freshness_bars,Q3,3,140.0,69593.0,1756,0.0774487471526196,0.2727790432801822,0.6497722095671982,0.6244305239179955
15m,is,prior_taps,Q1,1,0.0,1.0,4536,0.09237213403880071,0.3185626102292769,0.5890652557319224,0.47266313932980597
15m,is,prior_taps,Q2,2,2.0,12.0,744,0.12096774193548387,0.3387096774193548,0.5403225806451613,0.35080645161290325
15m,is,approach_mom,Q1,1,-8.663751419056409,-2.076280571234315,1760,0.07613636363636364,0.2863636363636364,0.6375,0.59375
15m,is,approach_mom,Q2,2,-2.075760082581597,-0.9648759337732288,1760,0.10852272727272727,0.32897727272727273,0.5625,0.40625
15m,is,approach_mom,Q3,3,-0.9647168086845609,2.9112298001993153,1760,0.10454545454545454,0.3488636363636364,0.5465909090909091,0.3664772727272727
15m,is,tap_rsi,Q1,1,2.715243749221969,34.40277872722443,1760,0.07215909090909091,0.28238636363636366,0.6454545454545455,0.6136363636363636
15m,is,tap_rsi,Q2,2,34.40633408868426,42.19072200820415,1760,0.10681818181818181,0.3221590909090909,0.5710227272727273,0.4275568181818182
15m,is,tap_rsi,Q3,3,42.198591883810394,70.40368436640813,1760,0.11022727272727273,0.35965909090909093,0.5301136363636364,0.3252840909090909
15m,is,stop_width_frac,Q1,1,0.0030001179148966945,0.00495033026881331,1760,0.08238636363636363,0.32897727272727273,0.5886363636363636,0.4715909090909091
15m,is,stop_width_frac,Q2,2,0.004951216138306677,0.007734564086182737,1760,0.09545454545454546,0.3301136363636364,0.5744318181818182,0.43607954545454547
