symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,level
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1752479100000,70208,561,0.48128342245989303,0.04686523478637136,0.21952852645822787,2.6543442465573936,1.020924545176398,0.20320855614973263,1.0,844,844,1.0,L0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752479100000,70208,539,0.46382189239332094,-0.08424266058939847,0.27174446073713543,-3.0669333318095324,0.9596671405095577,0.15955473098330242,0.9348341232227488,844,789,1.0,L0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752479100000,70208,273,0.45054945054945056,-0.1123241468664346,0.15507508010625942,-9.497424949928433,0.8862887358141456,0.12637362637362637,0.4549763033175355,844,384,1.0,L0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1689292800000,1752479100000,70208,278,0.4892086330935252,0.057567514714045136,0.09766968895252919,5.292797695469853,1.0535219175883834,0.22302158273381295,0.48104265402843605,844,406,1.0,L0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1689292800000,1752479100000,70208,279,0.48028673835125446,0.030856446992424024,0.17103914328112513,3.2570596320827563,1.0267271552758495,0.2007168458781362,0.466824644549763,844,394,1.0,L0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1689292800000,1752479100000,70208,263,0.40304182509505704,-0.234627561674552,0.24435929222484973,-23.12667357128025,0.7633028773624759,0.0076045627376425855,0.46327014218009477,844,391,1.0,L0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1689292800000,1752479100000,70208,282,0.46099290780141844,-0.04035007078014278,0.198521500353659,-2.625170830340259,0.9623735212788745,0.1524822695035461,0.471563981042654,844,398,1.0,L0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1752479100000,70208,710,0.48450704225352115,0.0842151330438146,0.1871453835274515,3.4162252582841552,1.028611048522049,0.2112676056338028,1.0,1725,1725,1.0,L0r
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752479100000,70208,672,0.46726190476190477,-0.048243962073152034,0.26555912187702324,-0.9561399776306012,0.9823738247339381,0.16815476190476192,0.9420289855072463,1725,1625,1.0,L0r
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752479100000,70208,425,0.4329411764705882,-0.2329978282786954,0.30680539965186726,-13.823456714119011,0.8519505070664066,0.08235294117647059,0.46956521739130436,1725,810,1.0,L0r
