symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,level
ETH/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752480000000,1784070000000,8776,97,0.5979381443298969,0.3684743347071447,0.0425358515989968,27.589232365625463,1.7498326478846449,0.4948453608247423,0.7586206896551724,232,176,1.0,L2u
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,once,single,,baseline,0,1689292800000,1752476400000,17552,172,0.4883720930232558,0.2802590470744815,0.0911082428396779,11.602497039837932,1.280208660972593,0.2209302325581395,1.0,187,187,1.0,L0
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,233,0.4592274678111588,0.1730384179157401,0.093442464236767,5.862868778624648,1.1264705181339667,0.148068669527897,1.0,418,418,1.0,L0r
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,195,0.4615384615384615,0.1663349187391308,0.1010756537704224,6.627365114141423,1.1460406852455267,0.1538461538461538,0.5933014354066986,418,248,1.0,L1
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,154,0.487012987012987,0.1923185867729988,0.1071178308675071,9.61076271325545,1.2374053272746324,0.2175324675324675,0.4903381642512077,414,203,1.0,L2
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,177,0.4689265536723164,0.1484904065769091,0.1156787342853798,6.785090045085389,1.1571648064266704,0.1723163841807909,0.7922705314009661,414,328,1.0,L2u
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,once,single,,baseline,0,1752480000000,1784070000000,8776,92,0.5108695652173914,0.1430425830074176,0.0513915961182065,12.160651952028648,1.274987476907355,0.2771739130434782,1.0,96,96,1.0,L0
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752480000000,1784070000000,8776,121,0.4710743801652892,0.065018915769622,0.0533481320762345,4.7472735974285145,1.091608622408854,0.1776859504132231,1.0,207,207,1.0,L0r
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752480000000,1784070000000,8776,107,0.4859813084112149,0.1073306156847924,0.0516818173667345,8.146139381249533,1.173950306646234,0.2149532710280373,0.6618357487922706,207,137,1.0,L1
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752480000000,1784070000000,8776,66,0.3939393939393939,-0.0723738465052883,0.1082990538046986,-8.863757798534415,0.817990662083505,-0.0151515151515151,0.4545454545454545,198,90,1.0,L2
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752480000000,1784070000000,8776,71,0.3943661971830985,-0.0840189793175503,0.135625243926641,-9.771514633874265,0.8049534081482249,-0.0140845070422535,0.6666666666666666,198,132,1.0,L2u
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,once,single,,baseline,0,1689292800000,1752476400000,17552,163,0.4601226993865031,0.1208310361855772,0.0901414101124225,6.503050891829877,1.1356589660571046,0.1503067484662576,1.0,187,187,1.0,L0
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,209,0.4497607655502392,0.0935252960544899,0.1548270789641096,4.17857164794195,1.077641670853759,0.124401913875598,1.0,407,407,1.0,L0r
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,184,0.4402173913043478,0.0575383799455568,0.1364875184186427,3.103260161406745,1.05487165475676,0.1005434782608695,0.5896805896805897,407,240,1.0,L1
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,125,0.488,0.139317416943142,0.0888805950162352,9.41422207095124,1.2030197319203022,0.22,0.4175,400,167,1.0,L2
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,137,0.4890510948905109,0.1532373322022391,0.0849774880351791,9.3674845319532,1.201397079927265,0.2226277372262773,0.7175,400,287,1.0,L2u
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,once,single,,baseline,0,1752480000000,1784070000000,8776,95,0.431578947368421,-0.0535191767543103,0.1742714693792153,-4.576015751128765,0.8885543531899199,0.0789473684210526,1.0,98,98,1.0,L0
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752480000000,1784070000000,8776,123,0.4227642276422764,-0.0913401524347664,0.2117289114413036,-6.347548781411686,0.8513950654004842,0.056910569105691,1.0,195,195,1.0,L0r
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752480000000,1784070000000,8776,107,0.4205607476635514,-0.0785935427006872,0.1985683688289597,-6.129820968999504,0.8571881193623604,0.0514018691588785,0.6717948717948717,195,131,1.0,L1
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752480000000,1784070000000,8776,78,0.4230769230769231,-0.0827614565319629,0.1387234963365395,-9.138296201748568,0.7989805213778083,0.0576923076923076,0.5543478260869565,184,102,1.0,L2
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752480000000,1784070000000,8776,88,0.4431818181818182,-0.0602078416024012,0.1529810899377996,-5.680930084183913,0.8639012447261502,0.1079545454545454,0.7771739130434783,184,143,1.0,L2u
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,once,single,,baseline,0,1689292800000,1752476400000,17552,187,0.4919786096256685,0.299750643376687,0.136435323464311,11.809013657463067,1.2746563145550192,0.2299465240641711,1.0,198,198,1.0,L0
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,247,0.4979757085020243,0.4055216311292244,0.1520452097383949,11.634220250057766,1.259379067387743,0.2449392712550607,1.0,415,415,1.0,L0r
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,205,0.4975609756097561,0.352529424622252,0.1452879722102576,12.332372074128608,1.289338464844274,0.2439024390243902,0.6096385542168675,415,253,1.0,L1
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,151,0.5231788079470199,0.3202141291597218,0.0790845667191977,15.57346761866968,1.3735526183861582,0.3079470198675497,0.4676616915422885,402,188,1.0,L2
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689292800000,1752476400000,17552,181,0.5303867403314917,0.448181484701583,0.0957616156406909,17.200307990857052,1.4077948769373696,0.3259668508287293,0.746268656716418,402,300,1.0,L2u
