arm,segment,timeframe,num_trades,same_step_tp_trades,same_step_tp_trade_share,same_step_tp_pnl,net_pnl,same_step_tp_pnl_share,net_r,same_step_tp_net_r_share
base,oos_warm,15m,4245,336,0.07915194346289753,4257142.421307396,5595414.045549956,0.7608270606342545,713.4814669255359,0.6005477242726748
base,oos_warm,1h,1187,70,0.05897219882055602,1412568.5666816274,4160547.535653435,0.33951506492276534,280.15326090603253,0.33281165882266733
base,oos_warm,2h,589,40,0.06791171477079797,949819.4151357582,3722697.4287003186,0.25514279184042166,184.21966666608674,0.2970990885897854
base,oos_warm,4h,315,21,0.06666666666666667,742736.3476449646,1719349.7254416915,0.431986777706996,80.04620356241882,0.3696634109279382
no_same_step_tp,oos_warm,15m,4062,0,0.0,0.0,957092.2508336348,0.0,472.07073413305534,0.0
no_same_step_tp,oos_warm,1h,1141,0,0.0,0.0,1014912.6398002444,0.0,225.57901672497994,0.0
no_same_step_tp,oos_warm,2h,550,0,0.0,0.0,829245.1255034003,0.0,132.39855919615266,0.0
no_same_step_tp,oos_warm,4h,297,0,0.0,0.0,257008.07147495105,0.0,66.75433008596971,0.0
