symbol,timeframe,segment,gate,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count
BTC/USDT:USDT,15m,IS,new_engine,-0.2476787171734035,490,245,245,2394,-0.004951540736699551,-0.20825201053035125,0.1864022855510939,0.995,200,0
BTC/USDT:USDT,15m,OOS,new_engine,-0.09945363162689773,259,158,101,1226,-0.00028610734843900103,-0.13592506710961005,0.14843157869417029,0.905,200,0
BTC/USDT:USDT,1h,IS,new_engine,0.08216070126671147,157,68,89,574,0.05422698553720618,-0.12625851083128217,0.2348870501099047,0.34,200,0
BTC/USDT:USDT,1h,OOS,new_engine,0.05001044900974593,92,49,43,324,0.07473832947585421,-0.07308662077524278,0.2357024304785513,0.595,200,0
BTC/USDT:USDT,4h,IS,new_engine,0.03341340205326014,43,22,21,108,0.08932706875081892,-0.008283654992212541,0.2106896928558168,0.85,200,0
BTC/USDT:USDT,4h,OOS,new_engine,-0.07884184993113086,21,13,8,80,-0.030348270429948396,-0.08851912663981165,0.02268734650299866,0.95,200,0
BTC/USDT:USDT,1d,IS,new_engine,-0.040169044124874924,4,1,3,13,-0.01969410111046164,-0.04033273117198351,0.000584762818213494,0.75,200,0
BTC/USDT:USDT,1d,OOS,new_engine,-0.025963483158560303,5,4,1,9,-0.0014596796860954658,-0.0015240340398953776,-0.0013825997790618202,1.0,200,0
ETH/USDT:USDT,15m,IS,new_engine,-0.2853102270270823,554,269,285,2363,-0.24128962971672646,-0.436349112392168,-0.05033620037660912,0.675,200,0
ETH/USDT:USDT,15m,OOS,new_engine,0.06878596657973485,296,165,131,1359,0.24378784254795005,0.033180748866105385,0.5128759840359438,0.93,200,0
ETH/USDT:USDT,1h,IS,new_engine,0.009849339446520935,155,78,77,592,0.1257800129719665,-0.07303317737481775,0.3502020298748481,0.87,200,0
ETH/USDT:USDT,1h,OOS,new_engine,0.2784241802519875,116,57,59,339,0.32000732590256825,0.12069089142123285,0.5164243445572368,0.66,200,0
ETH/USDT:USDT,4h,IS,new_engine,0.04300968061085314,40,19,21,108,0.10906421375352698,0.008496948028400403,0.21388870583044936,0.87,200,0
ETH/USDT:USDT,4h,OOS,new_engine,0.009834848382707788,25,13,12,60,0.04288555613861793,-0.037982293804631626,0.11637622457416037,0.775,200,0
ETH/USDT:USDT,1d,IS,new_engine,0.013321828328930679,6,3,3,16,0.014646594944391014,-0.011904815678462546,0.044955044865490894,0.47,200,200
ETH/USDT:USDT,1d,OOS,new_engine,-0.024383836679872182,6,5,1,10,-0.010730719054314164,-0.024630705543838484,0.010544514902663468,0.88,200,0
SOL/USDT:USDT,15m,IS,new_engine,-0.03474623913139112,644,325,319,2510,0.14540030205491833,-0.20072728102451184,0.5791089974403336,0.81,200,0
SOL/USDT:USDT,15m,OOS,new_engine,-0.18034695988038457,304,163,141,1243,0.020411506033811887,-0.186281767061116,0.2550904035463016,0.975,200,0
SOL/USDT:USDT,1h,IS,new_engine,-0.09746869884136394,175,89,86,656,0.1702756320017909,-0.03309096089852228,0.4461328721577014,1.0,200,0
SOL/USDT:USDT,1h,OOS,new_engine,-0.07684351804951693,95,45,50,300,-0.01464334019828563,-0.17296482271071653,0.12926473989051174,0.77,200,0
SOL/USDT:USDT,4h,IS,new_engine,0.07997855783657724,57,27,30,130,0.11176148272347644,-0.012479911624283887,0.22194430709115603,0.7,200,0
SOL/USDT:USDT,4h,OOS,new_engine,-0.016122946902159128,18,10,8,67,-0.01142343754705359,-0.08090917153164427,0.06440392573637674,0.57,200,0
SOL/USDT:USDT,1d,IS,new_engine,-0.0010916662357389215,5,2,3,19,0.007340824200545384,-0.026379802120753085,0.049610771411593126,0.47,200,200
SOL/USDT:USDT,1d,OOS,new_engine,-0.02575249094542123,5,2,3,10,-0.02680843321511852,-0.04981169264098098,-0.0014873098105681493,0.475,200,400
