symbol,timeframe,bucket,bucket_lo,bucket_hi,narrow,active_taps,break_bar_taps,break_bar_share
BCH/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,652,53,0.075177304964539
BCH/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,454,19,0.040169133192389
BCH/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,40,62,0.6078431372549019
BCH/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,133,69,0.3415841584158416
BCH/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,228,74,0.24503311258278146
BCH/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,334,53,0.13695090439276486
BCH/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,311,19,0.05757575757575758
BCH/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,200,6,0.02912621359223301
BCH/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,23,27,0.54
BCH/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,77,41,0.3474576271186441
BCH/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,154,43,0.2182741116751269
BCH/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,166,32,0.16161616161616163
BCH/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,158,7,0.04242424242424243
BCH/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,115,1,0.008620689655172414
