symbol,timeframe,entry_mode,num_trades,win_rate,total_return,max_drawdown,profit_factor,sharpe,total_funding_cost,funding_coverage,eligible_setups,num_filled,fill_rate,num_penetrations
BTC/USDT:USDT,15m,close,1014,0.5463510848126233,-0.4661544801642833,0.5631951632129016,0.8605600152942007,-13.446854510532509,244.5691303885911,1.0,,,,
BTC/USDT:USDT,15m,zone_limit,819,0.49572649572649574,0.2635678548312619,0.18533322294601487,1.0684292828091366,7.554427166640717,312.5617381083158,1.0,2840.0,2273.0,0.8003521126760563,3.0
BTC/USDT:USDT,1h,close,349,0.5816618911174785,0.05889736215497378,0.11877301913271586,1.035948120226046,1.9280662391622219,180.43273173146258,1.0,,,,
BTC/USDT:USDT,1h,zone_limit,273,0.5018315018315018,0.19918823255781845,0.14226507795464371,1.150815730161573,6.582598970661334,185.95843216098615,1.0,684.0,509.0,0.7441520467836257,0.0
BTC/USDT:USDT,4h,close,94,0.6276595744680851,0.28906787913512433,0.06002511282573468,1.5436646319003604,10.349718651868184,101.09726484023872,1.0,,,,
BTC/USDT:USDT,4h,zone_limit,72,0.5277777777777778,0.14918135476768402,0.08340052611814014,1.3735432680715414,7.74465502440226,83.56528301700321,1.0,160.0,128.0,0.8,0.0
BTC/USDT:USDT,1d,close,17,0.5882352941176471,0.050821130122810976,0.024293344309220127,1.6302688587315195,4.642792407085465,17.413670101758118,1.0,,,,
BTC/USDT:USDT,1d,zone_limit,13,0.6153846153846154,0.06574627794132484,0.020587782106668277,2.2281987846550226,7.531394273697588,8.59009785388843,1.0,21.0,16.0,0.7619047619047619,0.0
ETH/USDT:USDT,15m,close,1290,0.548062015503876,-0.5989815569396436,0.6303575275766387,0.8082717314355855,-13.289228175426825,160.27692723963364,1.0,,,,
ETH/USDT:USDT,15m,zone_limit,1035,0.5014492753623189,0.4469680352637779,0.2829992927952577,1.1069784753987597,8.386286375535166,204.5393529696405,1.0,2898.0,2265.0,0.7815734989648033,2.0
ETH/USDT:USDT,1h,close,388,0.6005154639175257,0.36708012577323007,0.15372592412045744,1.1678888424830811,6.802992947201078,128.49831392935153,1.0,,,,
ETH/USDT:USDT,1h,zone_limit,305,0.5672131147540984,1.0212763664894584,0.08348008881978422,1.5988194327182654,20.176490607370155,131.92731615151055,1.0,775.0,599.0,0.7729032258064517,0.0
ETH/USDT:USDT,4h,close,94,0.6170212765957447,0.16908555544637893,0.06899689440049242,1.2915948294818171,5.847764397585892,53.16438577333657,1.0,,,,
ETH/USDT:USDT,4h,zone_limit,62,0.532258064516129,0.1837231668386603,0.051298947263019395,1.5584762057191954,10.442783339605768,38.97051817787054,1.0,148.0,105.0,0.7094594594594594,0.0
ETH/USDT:USDT,1d,close,15,0.5333333333333333,0.002844183901123688,0.061709673436808124,1.02726522582082,0.375107482990009,19.52909656903124,1.0,,,,
ETH/USDT:USDT,1d,zone_limit,12,0.5833333333333334,0.04181761740686179,0.020408287751396092,1.7791980836779273,5.379049866384921,12.142407678196209,1.0,26.0,20.0,0.7692307692307693,0.0
SOL/USDT:USDT,15m,close,1465,0.5767918088737202,-0.00305803058494148,0.42044896256036873,0.9996253763587615,0.9070195232392976,132.5452447017769,1.0,,,,
SOL/USDT:USDT,15m,zone_limit,1194,0.5150753768844221,1.6052295097450624,0.12571276085727912,1.1805867515665953,16.707163759281396,105.92635650379715,1.0,2781.0,2153.0,0.7741819489392305,3.0
SOL/USDT:USDT,1h,close,379,0.5963060686015831,0.3270774478881498,0.12112582918655983,1.145625938820721,6.167453479865528,22.284601187206015,1.0,,,,
SOL/USDT:USDT,1h,zone_limit,276,0.4673913043478261,0.19572560293182031,0.10015388627009152,1.1186168708883752,5.741605358790909,11.177982038795308,1.0,690.0,530.0,0.7681159420289855,0.0
SOL/USDT:USDT,4h,close,89,0.550561797752809,0.1647453508351253,0.14392096839873078,1.3064912898585703,6.219636032311225,-3.7987908687007614,1.0,,,,
SOL/USDT:USDT,4h,zone_limit,74,0.5,0.15004097942229147,0.08665661406064282,1.3736347965552513,7.415192638392178,-0.5589425098672265,1.0,132.0,109.0,0.8257575757575758,0.0
SOL/USDT:USDT,1d,close,10,0.4,-0.007738582262396267,0.039754923495806276,0.8756535978362753,-1.0767761181185054,-2.2232031683536793,1.0,,,,
SOL/USDT:USDT,1d,zone_limit,7,0.2857142857142857,-0.02114371267584629,0.039683628431722656,0.5773801041711566,-4.740005542718764,0.1589244849957261,1.0,19.0,10.0,0.5263157894736842,0.0
