arm,arm_label,invalidation_cancel,segment,num_cells,num_trades,win_rate,total_return,mean_net_r,net_r,profit_factor,max_drawdown,return_over_mdd,ruin,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,revived_trades,revived_share,revived_win_rate,revived_mean_net_r,revived_net_r,revived_stop_losses,revived_take_profits,revived_other_exits,reentry_trades
A,현행(소급 취소) = 인자 없는 backtest.run,bar_open,full,48,19018,0.5833946787254181,6841306.433543502,0.2911037979602372,5536.212029607791,1.662030506334334,0.17452819639866443,39198860.55498053,False,17,0.12819436927633865,0.12819436927633865,0,0,0.0,0.0,0.0,0.0,0,0,0,3091
A,현행(소급 취소) = 인자 없는 backtest.run,bar_open,is,48,12556,0.5969257725390251,1091185.4282908884,0.3333758338156852,4185.866969389744,2.0688984894254463,0.13622818281308482,8009982.99880485,False,16,0.12819436927633865,0.12819436927633865,0,0,0.0,0.0,0.0,0.0,0,0,0,2090
A,현행(소급 취소) = 인자 없는 backtest.run,bar_open,oos_warm,48,6336,0.5533459595959596,1519.800873534539,0.19853229136049186,1257.9005980600764,1.4869638579717064,0.22896037925774845,6637.83349093621,False,14,0.10718393808081722,0.10718393808081722,0,0,0.0,0.0,0.0,0.0,0,0,0,987
A,현행(소급 취소) = 인자 없는 backtest.run,bar_open,oos,48,6160,0.5483766233766234,880.814617457925,0.1843773053448251,1135.7642009241226,1.3895994108822947,0.22896037925774657,3847.017638219272,False,11,0.09563161310694611,0.09563161310694611,0,0,0.0,0.0,0.0,0.0,0,0,0,927
B,인과 — 무효화 봉 안의 체결은 살리고 손절에 맡긴다,bar_close,full,48,30251,0.4075237182241909,-0.9999999999994214,-0.15032244873161155,-4547.404396579981,0.8786517914871665,0.9999999999994831,-0.9999999999999383,True,14,0.14366598438510683,0.14366598438510683,0,11790,0.38973918217579584,0.13129770992366413,-0.8415540692942299,-9921.92247697897,10242,1548,0,6175
B,인과 — 무효화 봉 안의 체결은 살리고 손절에 맡긴다,bar_close,is,48,20738,0.4097309287298679,-0.999999977154855,-0.13674700429020564,-2835.8593749702845,0.8786517923289431,0.9999999795711202,-0.9999999975837348,True,14,0.14366598438510683,0.14366598438510683,0,8481,0.40895939820619154,0.13689423417049876,-0.8203957802736518,-6957.776612500841,7320,1161,0,4380
B,인과 — 무효화 봉 안의 체결은 살리고 손절에 맡긴다,bar_close,oos_warm,48,9514,0.40277485810384694,-0.9999746780257376,-0.17975157663463676,-1710.1565001019342,0.8257346429723034,0.9999775596032764,-0.999997118357796,True,11,0.10436434001260118,0.10436434001260118,0,3309,0.3478032373344545,0.11695376246600181,-0.8957829750613802,-2964.145864478107,2922,387,0,1795
B,인과 — 무효화 봉 안의 체결은 살리고 손절에 맡긴다,bar_close,oos,48,9225,0.4009756097560976,-0.9999735577514981,-0.18565156906946473,-1712.6357246658122,0.8199734235983327,0.9999745815304082,-0.9999989761950664,True,11,0.10436434001260117,0.10436434001260117,0,3183,0.34504065040650406,0.11687087653157399,-0.8970536093131957,-2855.321638443902,2811,372,0,1700
