symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,baseline,0,1689415200000,1784088000000,26299,221,0.5067873303167421,0.23988155326191718,0.09936575966948967,9.043706735711394,1.2221842071680298,0.2669683257918552,0.5016722408026756,598,300,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp,0,1689415200000,1784088000000,26299,209,0.4880382775119617,0.12960364906277919,0.11184398651020046,5.6006713180414485,1.1271863918982892,0.22009569377990432,0.45819397993311034,598,274,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689415200000,1784088000000,26299,123,0.4634146341463415,-0.036418556455977705,0.12609526242453423,-2.2137832624708036,0.939516915697075,0.15853658536585366,0.24581939799331104,598,147,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689415200000,1784088000000,26299,113,0.4690265486725664,0.013353293048612613,0.0838748098668048,1.5128193218424775,1.022898869112316,0.17256637168141592,0.22742474916387959,598,136,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689415200000,1784088000000,26299,114,0.47368421052631576,0.031305736470429474,0.11190329119125741,2.8457637743003,1.0532277130924603,0.18421052631578946,0.225752508361204,598,135,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1689415200000,1784088000000,26299,117,0.452991452991453,-0.012548259176683133,0.08095102751489354,-0.4607716157382224,0.9785796845275059,0.13247863247863248,0.23411371237458195,598,140,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,4,1689415200000,1784088000000,26299,119,0.5042016806722689,0.12246217047181145,0.06190478818507328,9.027474460966758,1.2150703973163202,0.2605042016806723,0.22408026755852842,598,134,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,baseline,0,1689415200000,1784088000000,26299,223,0.5022421524663677,0.23312422974672753,0.10451718031183647,8.731291900697139,1.213001856498955,0.2556053811659193,0.5117056856187291,598,306,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,pen_5bp,0,1689415200000,1784088000000,26299,215,0.4930232558139535,0.18004066859883916,0.09930370764026035,7.2104515052939835,1.170229354120486,0.23255813953488372,0.4765886287625418,598,285,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689415200000,1784088000000,26299,125,0.448,-0.026309470257487193,0.11374485920732462,-1.3599248910187005,0.9602763922706701,0.12,0.2508361204013378,598,150,1.0
