level,segment,excluded,num_trades,total_return,max_drawdown,mean_net_r
L2,oos_warm,-,11378,-0.9999908448539016,0.999991339150646,-0.4267280856737228
L2,oos_warm,BTC/USDT:USDT,10527,-0.9999793590769664,0.9999802913510132,-0.4093166823466186
L2,oos_warm,ETH/USDT:USDT,10415,-0.9999806618776536,0.9999816061847516,-0.4323146319960335
L2,oos_warm,SOL/USDT:USDT,10400,-0.99998322334876,0.9999841238184056,-0.4400546473936432
L2,oos_warm,BNB/USDT:USDT,10490,-0.999968334113588,0.9999700379143556,-0.4123595478568704
L2,oos_warm,XRP/USDT:USDT,10515,-0.999972529680438,0.9999746073150916,-0.4292525018267255
L2,oos_warm,TRX/USDT:USDT,10522,-0.999971773864497,0.9999732603694512,-0.3921580548216082
L2,oos_warm,DOGE/USDT:USDT,10445,-0.9999733281311076,0.999974542098646,-0.4353504018393784
L2,oos_warm,LINK/USDT:USDT,10476,-0.9999725002181312,0.9999738708721374,-0.4353546432250407
L2,oos_warm,LTC/USDT:USDT,10443,-0.999960499044797,0.9999627756326324,-0.4256653852510947
L2,oos_warm,ADA/USDT:USDT,10492,-0.9999668642839876,0.9999686533189608,-0.4250358437720646
L2,oos_warm,DOT/USDT:USDT,10494,-0.9999767539567942,0.999977556539436,-0.4296491440470885
L2,oos_warm,BCH/USDT:USDT,10461,-0.9999798312400132,0.9999810194144242,-0.4342170151095184
L3,oos_warm,-,7844,-0.9996112455415432,0.9996349366766014,-0.1652153742607889
L3,oos_warm,BTC/USDT:USDT,7438,-0.9994255541521536,0.9994575893864128,-0.1633165376796331
L3,oos_warm,ETH/USDT:USDT,7165,-0.9993816147567306,0.9994161450836708,-0.1680414569486533
L3,oos_warm,SOL/USDT:USDT,7065,-0.9994463803277804,0.9994781175114869,-0.1726108227843903
L3,oos_warm,BNB/USDT:USDT,7370,-0.999185492446588,0.9992349794125944,-0.1569940983740145
L3,oos_warm,XRP/USDT:USDT,7225,-0.9991014631994174,0.9991764157314066,-0.1620328892170491
