window_index,symbol,timeframe,variant,is_start_time,is_end_time,oos_start_time,oos_end_time,is_num_bars,oos_num_bars,is_total_return,is_max_drawdown,is_win_rate,is_profit_factor,is_sharpe,is_num_trades,is_avg_trade_return,is_fill_rate,is_num_penetrations,oos_total_return,oos_max_drawdown,oos_win_rate,oos_profit_factor,oos_sharpe,oos_num_trades,oos_avg_trade_return,oos_fill_rate,oos_num_penetrations,return_gap,profit_factor_gap
0,BTC/USDT:USDT,4h,A,1689249600000,1720800000000,1720814400000,1728691200000,2192,548,-0.05851029636317744,0.08525884219718746,0.4444444444444444,0.5104782503037748,-11.325456583390773,9,-0.0063643811121054,,,0.0058848681297404256,0.0,1.0,,,1,0.005997872953345418,,,-0.06439516449291786,
0,BTC/USDT:USDT,4h,B,1689249600000,1720800000000,1720814400000,1728691200000,2192,548,-0.055604691601532065,0.12858659272632317,0.46153846153846156,0.7051769595053702,-6.513463440849922,13,-0.0040080891360658715,0.34210526315789475,0.0,0.048532709350522056,0.018318321448924854,0.75,3.583558049536365,22.97725971632346,4,0.012145408959071872,0.4,0.0,-0.10413740095205412,-2.8783810900309947
1,BTC/USDT:USDT,4h,A,1697140800000,1728691200000,1728705600000,1736582400000,2192,548,-0.08558172914359675,0.08787759921705801,0.2857142857142857,0.2850110114899352,-20.29563131652808,7,-0.011975802978784979,,,-0.04896778352320307,0.04896778352320307,0.0,0.0,-38.137433070238586,2,-0.02455842038651833,,,-0.03661394562039368,0.2850110114899352
1,BTC/USDT:USDT,4h,B,1697140800000,1728691200000,1728705600000,1736582400000,2192,548,-0.04682023797173679,0.12858659272632306,0.42857142857142855,0.7650411978788375,-4.64942333076501,14,-0.0029975849803686233,0.4,0.0,-0.042993773206371405,0.042993773206371405,0.3333333333333333,0.20842100833351168,-27.595515400311182,3,-0.014342283510615663,0.375,0.0,-0.003826464765365384,0.5566201895453258
2,BTC/USDT:USDT,4h,A,1705032000000,1736582400000,1736596800000,1744473600000,2192,548,-0.12111337759763191,0.12111337759763191,0.25,0.21581517879475817,-25.737520500018416,8,-0.015648501630196023,,,0.024407667748916357,0.0,1.0,,,1,0.025580993077335586,,,-0.14552104534654828,
2,BTC/USDT:USDT,4h,B,1705032000000,1736582400000,1736596800000,1744473600000,2192,548,-0.12870032662321354,0.12870032662321354,0.3333333333333333,0.46327761029445663,-14.397329193818432,15,-0.008765022981446935,0.4166666666666667,0.0,0.04332799610139391,0.012839618606063231,0.6666666666666666,4.374554761379993,19.671968850789174,3,0.014633144096183992,0.3,0.0,-0.17202832272460744,-3.911277151085536
3,BTC/USDT:USDT,4h,A,1712923200000,1744473600000,1744488000000,1752364800000,2192,548,-0.07597131015450832,0.09984376455253896,0.2857142857142857,0.2526910867557198,-22.43921667315178,7,-0.010640408484796424,,,-0.02651651866040629,0.027769219596572112,0.5,0.04511113219474034,-30.156150887874134,2,-0.013240369273600214,,,-0.049454791494102035,0.20757995456097944
3,BTC/USDT:USDT,4h,B,1712923200000,1744473600000,1744488000000,1752364800000,2192,548,-0.0289228677734136,0.08158677432951897,0.5,0.8087229348910943,-3.190084442836476,14,-0.001780805369843397,0.3888888888888889,0.0,-0.013970283110877427,0.01819429367907831,0.3333333333333333,0.6048577472034468,-9.270013691237478,3,-0.004506783841313673,0.3333333333333333,0.0,-0.014952584662536171,0.2038651876876475
4,BTC/USDT:USDT,4h,A,1720814400000,1752364800000,1752379200000,1760256000000,2192,548,-0.04396342437243875,0.05075560750570612,0.5,0.4143476993921876,-13.465230489677444,6,-0.007336452214926014,,,-0.026892629320755077,0.026892629320755077,0.0,0.0,-128.67053943991945,2,-0.01351429028483372,,,-0.01707079505168367,0.4143476993921876
4,BTC/USDT:USDT,4h,B,1720814400000,1752364800000,1752379200000,1760256000000,2192,548,0.0324746817641566,0.05527728086531313,0.5384615384615384,1.2584746170007972,4.944523220279189,13,0.0027769022296728232,0.3611111111111111,0.0,-0.016924119381192215,0.026393769559182538,0.25,0.3649601733933824,-20.198447885933593,4,-0.004222284156238449,0.36363636363636365,0.0,0.04939880114534881,0.8935144436074148
5,BTC/USDT:USDT,4h,A,1728705600000,1760256000000,1760270400000,1768147200000,2192,548,-0.07600422482240156,0.07600422482240156,0.2857142857142857,0.2515910833024113,-22.72275308003735,7,-0.011006452401795565,,,0.0019313137641622233,0.0,1.0,,,1,0.0019508985254729973,,,-0.07793553858656378,
5,BTC/USDT:USDT,4h,B,1728705600000,1760256000000,1760270400000,1768147200000,2192,548,-0.03266636520063021,0.05528136816202932,0.38461538461538464,0.7450568894975216,-4.750102445726682,13,-0.0023144087834254313,0.34210526315789475,0.0,0.01855742465325675,0.01905332903239032,0.6666666666666666,1.97397282237185,11.15651665689515,3,0.006384988210992263,0.3333333333333333,0.0,-0.05122378985388696,-1.2289159328743284
6,BTC/USDT:USDT,4h,A,1736596800000,1768147200000,1768161600000,1776038400000,2192,548,-0.0032112517976240268,0.05030444346898403,0.5714285714285714,0.9391325078333843,-0.7485854894739137,7,-0.0003112151536260645,,,-0.005407951920091909,0.005407951920091909,0.0,0.0,,1,-0.005397422097280976,,,0.0021967001224678824,0.9391325078333843
6,BTC/USDT:USDT,4h,B,1736596800000,1768147200000,1768161600000,1776038400000,2192,548,0.0885286438525769,0.03549108535155909,0.5,1.9081220899214533,11.490635273847607,14,0.00638485508885582,0.358974358974359,0.0,0.0013341363655807073,0.0,1.0,,,1,0.0013341363655806665,0.2,0.0,0.0871945074869962,
0,BTC/USDT:USDT,1h,A,1689256800000,1720810800000,1720814400000,1728702000000,8766,2192,0.016712618827412918,0.0629544636340838,0.6153846153846154,1.1260852445904266,4.972674212030399,26,0.0007286902958018849,,,0.06846057591473909,0.015420142665501697,0.8333333333333334,4.08517658181469,56.88582574185979,12,0.0053591721358145425,,,-0.05174795708732617,-2.9590913372242635
0,BTC/USDT:USDT,1h,B,1689256800000,1720810800000,1720814400000,1728702000000,8766,2192,-0.03661381304479619,0.12627548338811628,0.47619047619047616,0.8652153395602862,-4.8504548388009745,42,-0.0007780490640140076,0.2781456953642384,0.0,0.0665264267447139,0.0241605286936187,0.5,2.1123740023239903,27.908007776880307,14,0.004726336918387502,0.35,0.0,-0.10314023978951009,-1.2471586627637041
1,BTC/USDT:USDT,1h,A,1697148000000,1728702000000,1728705600000,1736593200000,8766,2192,0.13006008145713294,0.06359383472034036,0.6944444444444444,1.8695788947854872,21.957051237346615,36,0.0034759805005998823,,,-0.0040181815995190846,0.01323467726874401,0.6666666666666666,0.8295682825200351,-6.743190690368559,6,-0.0006241790402740964,,,0.13407826305665202,1.0400106122654522
1,BTC/USDT:USDT,1h,B,1697148000000,1728702000000,1728705600000,1736593200000,8766,2192,0.16474795682758867,0.11914693309508602,0.46153846153846156,1.5182012726662804,11.487289939377089,52,0.0032622853438994165,0.33548387096774196,0.0,0.01818360515522072,0.041014094573255,0.5454545454545454,1.2927106350621824,11.526325084347038,11,0.001729161678368074,0.23404255319148937,0.0,0.14656435167236795,0.22549063760409793
2,BTC/USDT:USDT,1h,A,1705039200000,1736593200000,1736596800000,1744484400000,8766,2192,0.16436690274321772,0.04212084973267683,0.717948717948718,2.233251140035917,28.024116854431114,39,0.004043116219932944,,,-0.01976913851001118,0.0372234979378,0.3333333333333333,0.7009376435078125,-13.16870170250987,9,-0.002116383077358286,,,0.1841360412532289,1.5323134965281047
2,BTC/USDT:USDT,1h,B,1705039200000,1736593200000,1736596800000,1744484400000,8766,2192,0.23046239362391988,0.11526743869448947,0.49122807017543857,1.6604209135496468,14.346030004939307,57,0.003952356417842604,0.3275862068965517,0.0,-0.05333117380854637,0.07544874424506623,0.25,0.5236044861899193,-24.57643724720657,16,-0.0033440932752994163,0.4,0.0,0.28379356743246625,1.1368164273597277
3,BTC/USDT:USDT,1h,A,1712930400000,1744484400000,1744488000000,1752375600000,8766,2192,0.23334316625372248,0.044154406224158796,0.6976744186046512,2.409563364790678,32.08919704547283,43,0.004973733098580619,,,-0.0016876288620094784,0.01832674205857292,0.5,0.9534289737615775,-1.5739022414639958,10,-0.00014097768053887666,,,0.23503079511573197,1.4561343910291005
3,BTC/USDT:USDT,1h,B,1712930400000,1744484400000,1744488000000,1752375600000,8766,2192,0.23982747567029727,0.10746286998503929,0.42857142857142855,1.5673513437909679,13.589545819663238,63,0.003723223209921172,0.3539325842696629,0.0,-0.011324076373627213,0.02678298078826683,0.3,0.7225339560636137,-11.664585929694761,10,-0.0011031556514839937,0.23809523809523808,0.0,0.2511515520439245,0.8448173877273542
4,BTC/USDT:USDT,1h,A,1720821600000,1752375600000,1752379200000,1760266800000,8766,2192,0.08940700240821098,0.05195805167909058,0.6216216216216216,1.5639350547279385,17.13453955485196,37,0.0023071410540368665,,,-0.007376076924198242,0.03705220429060268,0.6666666666666666,0.8064903754269334,-6.243410425586375,9,-0.0007595092945323609,,,0.09678307933240922,0.7574446793010051
4,BTC/USDT:USDT,1h,B,1720821600000,1752375600000,1752379200000,1760266800000,8766,2192,0.07632074054174154,0.09917687321967877,0.4230769230769231,1.2584610752505352,9.26120395691407,52,0.001531334671929147,0.3076923076923077,0.0,0.008832343511352701,0.052566015664934504,0.38461538461538464,1.1453718262364385,5.957873614926587,13,0.0007384509472423172,0.35135135135135137,0.0,0.06748839703038884,0.11308924901409667
5,BTC/USDT:USDT,1h,A,1728712800000,1760266800000,1760270400000,1768158000000,8766,2192,0.018973790811757135,0.04503750568413066,0.5588235294117647,1.1191363116176023,4.492481580579044,34,0.0006219586361612747,,,0.04187477830838488,0.011950879195328497,0.7777777777777778,3.282367935922767,40.678728585818845,9,0.004642341668960884,,,-0.022900987496627747,-2.1632316243051646
5,BTC/USDT:USDT,1h,B,1728712800000,1760266800000,1760270400000,1768158000000,8766,2192,0.03063333205574145,0.09917687330153376,0.39215686274509803,1.1121950931290387,4.557710398102156,51,0.0006885685500171079,0.3072289156626506,0.0,0.044127044670458235,0.018806616924865797,0.6666666666666666,2.1149937993892625,24.821749666504456,12,0.003692797716153171,0.36363636363636365,0.0,-0.013493712614716786,-1.0027987062602237
6,BTC/USDT:USDT,1h,A,1736604000000,1768158000000,1768161600000,1776049200000,8766,2192,0.0381818272037015,0.037223607381318885,0.5945945945945946,1.2570859588514702,8.799015228732996,37,0.0010776799228931204,,,-0.00631390572635064,0.035910531359516995,0.5714285714285714,0.8592476729798091,-4.461042734775329,7,-0.0007652026180837645,,,0.04449573293005214,0.39783828587166115
6,BTC/USDT:USDT,1h,B,1736604000000,1768158000000,1768161600000,1776049200000,8766,2192,0.04483228025266253,0.07544874424507052,0.4230769230769231,1.1896622424544765,6.687126754882411,52,0.0009251589571894211,0.34210526315789475,0.0,0.029886684291458368,0.028105586066144942,0.5555555555555556,1.6163725491092262,19.080468226322303,9,0.0034001488032128183,0.24324324324324326,0.0,0.014945595961204164,-0.42671030665474974
0,BTC/USDT:USDT,15m,A,1689257700000,1720814400000,1720815300000,1728703800000,35064,8766,0.10286936084938006,0.06862988792727621,0.5981308411214953,1.330308835799068,20.971840041494993,107,0.0009510424449045674,,,-0.06070878456013325,0.0745169557013558,0.34375,0.5527181227837887,-35.540327141705625,32,-0.0018498853905544162,,,0.16357814540951332,0.7775907130152793
0,BTC/USDT:USDT,15m,B,1689257700000,1720814400000,1720815300000,1728703800000,35064,8766,0.4176928236436059,0.06791344033608902,0.5087719298245614,1.8235228315116327,43.43165027086055,171,0.0020828360162772133,0.2775974025974026,1.0,0.04794206316810742,0.03815150158643313,0.4489795918367347,1.3874708025286222,23.74638924403439,49,0.0009854995752213408,0.28488372093023256,0.0,0.3697507604754985,0.43605202898301054
