symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,baseline,0,1689396300000,1784069100000,105193,658,0.5167173252279635,0.4723822874977397,0.12164468557120924,13.921889473439917,1.147812173091821,0.2917933130699088,0.5012406947890818,2418,1212,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp,0,1689396300000,1784069100000,105193,612,0.48856209150326796,0.18606877817341974,0.13859438515526515,6.931310865233734,1.066333128892325,0.22140522875816993,0.43755169561621177,2418,1058,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689396300000,1784069100000,105193,327,0.4709480122324159,0.04311641803253861,0.11052293460937805,3.5873009760222447,1.0307787569332747,0.17737003058103976,0.21918941273779982,2418,530,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689396300000,1784069100000,105193,347,0.46397694524495675,0.01328690613507315,0.17447877834562298,1.6291979923601971,1.008933454387188,0.15994236311239193,0.228287841191067,2418,552,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689396300000,1784069100000,105193,342,0.4619883040935672,-0.01692410563294452,0.18852796243793324,-0.3020329893818098,0.9881207466919029,0.15497076023391812,0.22167080231596362,2418,536,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1689396300000,1784069100000,105193,316,0.4936708860759494,0.17383592550753454,0.08886680099742619,11.75380114315894,1.1281100098635208,0.23417721518987342,0.2162944582299421,2418,523,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,4,1689396300000,1784069100000,105193,336,0.4523809523809524,-0.07713136227965552,0.20563176961378077,-4.4026493634682975,0.9460566345354147,0.13095238095238096,0.22125723738626965,2418,535,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,baseline,0,1689393600000,1784066400000,26299,221,0.5067873303167421,0.23988155326192137,0.09936575966948717,9.043706735711703,1.2221842071680393,0.2669683257918552,0.5016722408026756,598,300,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp,0,1689393600000,1784066400000,26299,209,0.4880382775119617,0.1296036490627859,0.11184398651019853,5.600671318041685,1.1271863918982994,0.22009569377990432,0.45819397993311034,598,274,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689393600000,1784066400000,26299,123,0.4634146341463415,-0.03641855645595769,0.12609526242453883,-2.2137832624695393,0.9395169156971057,0.15853658536585366,0.24581939799331104,598,147,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689393600000,1784066400000,26299,113,0.4690265486725664,0.013353293048620799,0.08387480986680705,1.5128193218429944,1.0228988691123324,0.17256637168141592,0.22742474916387959,598,136,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689393600000,1784066400000,26299,114,0.47368421052631576,0.03130573647041492,0.11190329119125823,2.84576377429924,1.0532277130924357,0.18421052631578946,0.225752508361204,598,135,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1689393600000,1784066400000,26299,117,0.452991452991453,-0.012548259176646752,0.08095102751489419,-0.46077161573545244,0.9785796845275654,0.13247863247863248,0.23411371237458195,598,140,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,4,1689393600000,1784066400000,26299,119,0.5042016806722689,0.12246217047180853,0.06190478818506923,9.02747446096668,1.2150703973163206,0.2605042016806723,0.22408026755852842,598,134,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,baseline,0,1689396300000,1784069100000,105193,797,0.5169385194479298,0.7565994198296179,0.21217538159114274,14.936625420762377,1.2041519236721465,0.29234629861982436,0.5028524857375714,2454,1234,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp,0,1689396300000,1784069100000,105193,745,0.4966442953020134,0.3528745555766245,0.2482503904544121,8.877736015602144,1.110927535761435,0.24161073825503357,0.45354523227383864,2454,1113,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689396300000,1784069100000,105193,411,0.4744525547445255,-0.019730881493630115,0.23057326956038923,-0.07132668527559947,0.9881853052710983,0.18613138686131386,0.2273838630806846,2454,558,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689396300000,1784069100000,105193,433,0.49191685912240185,0.17545687635066223,0.22515639335382126,8.12015729268909,1.0944778874233578,0.22979214780600463,0.23675631621841892,2454,581,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689396300000,1784069100000,105193,408,0.47549019607843135,-0.013763989052801117,0.1766651047429262,0.22933323864400942,0.9919982788467444,0.18872549019607843,0.2269763651181744,2454,557,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1689396300000,1784069100000,105193,399,0.46867167919799496,-0.04934834222597092,0.2859715193955305,-1.635804273159705,0.9676020961376162,0.17167919799498746,0.22330888345558272,2454,548,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,4,1689396300000,1784069100000,105193,409,0.4718826405867971,0.030639132886555308,0.25521773770624057,2.3278281792815747,1.0183873134517623,0.17970660146699266,0.22982885085574573,2454,564,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,baseline,0,1689393600000,1784066400000,26299,234,0.5341880341880342,0.4374018718374089,0.1207636871739241,13.505667200795443,1.3550559908925845,0.33547008547008544,0.4792626728110599,651,312,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp,0,1689393600000,1784066400000,26299,228,0.5219298245614035,0.3659635723601676,0.12076368717392395,11.894627886129037,1.3018614393205405,0.3048245614035088,0.4608294930875576,651,300,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689393600000,1784066400000,26299,135,0.5185185185185185,0.19293341693611565,0.1098126524510722,11.422270956751033,1.2934798908494258,0.2962962962962963,0.23809523809523808,651,155,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689393600000,1784066400000,26299,121,0.47107438016528924,0.03702294132260231,0.07807633037234081,3.0121943977479573,1.0580008223561277,0.17768595041322313,0.22887864823348694,651,149,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689393600000,1784066400000,26299,130,0.47692307692307695,0.00926056545722313,0.10720443125090953,1.112249699907197,1.0137888215920585,0.19230769230769232,0.22887864823348694,651,149,1.0
