timeframe,segment,feature,n,positive_rate,correlation,p_value,partial_correlation,p_partial,hypothesis_sign,direction_matches
15m,is,band_lower_slope_3_atr,3583,0.14205972648618476,0.07653169691664817,0.0,0.054658359006988816,0.001,1,True
15m,is,band_lower_slope_3_pct,3583,0.14205972648618476,0.07703496566847798,0.0,0.029699768999056964,0.072,1,True
15m,is,band_lower_slope_5_atr,3583,0.14205972648618476,0.0691720738468577,0.0,0.04550938685041404,0.007,1,True
15m,is,band_lower_slope_5_pct,3583,0.14205972648618476,0.07343641316771686,0.0,0.026433297713994882,0.1145,1,True
15m,oos,band_lower_slope_3_atr,1779,0.2034851039910062,0.12968421057153232,0.0,0.1097216543189314,0.0,1,True
15m,oos,band_lower_slope_3_pct,1779,0.2034851039910062,0.12920307267518363,0.0,0.07084503788376889,0.003,1,True
15m,oos,band_lower_slope_5_atr,1779,0.2034851039910062,0.12653742502944315,0.0,0.10702593483275982,0.0,1,True
15m,oos,band_lower_slope_5_pct,1779,0.2034851039910062,0.12558321677326165,0.0,0.07092686440669135,0.001,1,True
1h,is,band_lower_slope_3_atr,1044,0.14559386973180077,0.09227522896734164,0.0025,0.056868932325172865,0.0685,1,True
1h,is,band_lower_slope_3_pct,1044,0.14559386973180077,0.07916079058173921,0.0175,0.019132722900169916,0.579,1,True
1h,is,band_lower_slope_5_atr,1044,0.14559386973180077,0.09235844522296956,0.004,0.05331218514671436,0.079,1,True
1h,is,band_lower_slope_5_pct,1044,0.14559386973180077,0.07725389194983108,0.0175,0.015420171672020975,0.6405,1,True
1h,oos,band_lower_slope_3_atr,530,0.2037735849056604,0.08187597852556362,0.051,0.044723703763191965,0.3145,1,True
1h,oos,band_lower_slope_3_pct,530,0.2037735849056604,0.09271727214064157,0.028,0.04292250848864272,0.335,1,True
1h,oos,band_lower_slope_5_atr,530,0.2037735849056604,0.08923625123326251,0.0365,0.04223012941345127,0.3325,1,True
1h,oos,band_lower_slope_5_pct,530,0.2037735849056604,0.08711722397285152,0.039,0.02960214823463464,0.5135,1,True
4h,is,band_lower_slope_3_atr,256,0.1484375,0.12223706714828943,0.057,0.10273117237834406,0.1105,1,True
4h,is,band_lower_slope_3_pct,256,0.1484375,0.10260039299806294,0.12,0.06725934988615914,0.278,1,True
4h,is,band_lower_slope_5_atr,256,0.1484375,0.12209528273956509,0.0595,0.095528371676844,0.1375,1,True
4h,is,band_lower_slope_5_pct,256,0.1484375,0.09916072903759085,0.127,0.06116072079629116,0.3185,1,True
4h,oos,band_lower_slope_3_atr,148,0.16891891891891891,0.029038427145047386,0.715,-0.0015109102150855842,0.988,1,True
4h,oos,band_lower_slope_3_pct,148,0.16891891891891891,0.09294290336369992,0.2785,0.053930149821107054,0.511,1,True
4h,oos,band_lower_slope_5_atr,148,0.16891891891891891,0.01001147565529405,0.915,-0.0253840057491824,0.7635,1,True
4h,oos,band_lower_slope_5_pct,148,0.16891891891891891,0.07617244854523418,0.357,0.03594128293330534,0.6635,1,True
