scenario,num_stop_trades,mean_pct,worst_pct,total_pct
alpha_0.00,20,-0.046447022315823275,-0.1034629981205765,-0.9289404463164656
alpha_0.25,20,-0.04812250608963967,-0.10699067634255147,-0.9624501217927934
alpha_0.50,20,-0.04979798986345606,-0.11051835456452647,-0.9959597972691211
alpha_1.00,20,-0.05314895741108877,-0.11757371100847627,-1.0629791482217754
limit_nonfill,20,-0.046447022315823275,-0.1034629981205765,-0.9289404463164656
